Player,Team,Line,Direction,Odds,Projected_SOG,Model_Win_Prob,Edge,Units
"Kyle Connor",WPG,3.5,Over,120,7.49,82.71%,81.97%%,3.00
"Jason Robertson",DAL,3.5,Over,126,4.70,72.96%,64.89%%,3.00
"Morgan Geekie",BOS,2.5,Over,150,3.08,63.95%,59.87%%,3.00
"Jordan Eberle",SEA,2.5,Over,126,3.63,68.50%,54.82%%,3.00
"Jack Eichel",VGK,3.5,Over,100,5.52,76.66%,53.33%%,3.00
"Jonathan Huberdeau",CGY,2.5,Over,154,2.53,58.27%,48.01%%,3.00
"William Eklund",SJS,2.5,Over,120,3.08,63.94%,40.67%%,3.00
"Nick Suzuki",MTL,2.5,Over,135,2.66,59.76%,40.44%%,3.00
"Jack Roslovic",EDM,2.5,Over,130,2.62,59.31%,36.41%%,3.00
"Shane Pinto",OTT,2.5,Over,115,2.86,61.83%,32.94%%,3.00
"Bobby McMann",TOR,1.5,Under,100,1.10,63.00%,25.99%%,3.00
"Alex Laferriere",LAK,2.5,Over,140,1.77,47.88%,14.90%%,2.66
"Gabriel Vilardi",WPG,2.5,Over,148,4.09,71.69%,77.78%%,2.49
"Miro Heiskanen",DAL,2.5,Over,135,3.07,66.09%,55.30%%,2.49
"Alex DeBrincat",DET,3.5,Over,105,5.22,75.41%,54.59%%,2.49
"Cutter Gauthier",ANA,3.5,Over,105,5.12,74.99%,53.73%%,2.49
"Shea Theodore",VGK,2.5,Over,144,2.48,59.50%,45.17%%,2.49
"Blake Coleman",CGY,1.5,Under,150,1.49,54.48%,36.21%%,2.49
"Fabian Zetterlund",OTT,1.5,Under,100,1.02,65.02%,30.05%%,2.49
"Ivan Demidov",MTL,1.5,Under,-120,0.97,66.43%,21.79%%,2.49
"John Tavares",TOR,2.5,Over,-135,3.73,69.30%,20.62%%,2.49
"Evan Bouchard",EDM,2.5,Over,-120,2.91,64.42%,18.10%%,2.49
"John Klingberg",SJS,1.5,Under,-110,1.22,59.21%,13.04%%,2.49
"Kevin Fiala",LAK,2.5,Over,-168,3.84,70.03%,11.72%%,2.49
"Zach Werenski",CBJ,3.5,Over,120,5.15,77.69%,70.91%%,2.01
"Moritz Seider",DET,2.5,Over,130,2.90,64.36%,48.02%%,2.01
"David Pastrnak",BOS,3.5,Over,-110,5.71,77.43%,47.82%%,2.01
"Mikko Rantanen",DAL,2.5,Over,-120,5.76,79.62%,45.97%%,2.01
"Pavel Dorofeyev",VGK,3.5,Over,122,3.05,61.60%,36.75%%,2.01
"MacKenzie Weegar",CGY,2.5,Over,140,2.21,55.97%,34.33%%,2.01
"Drake Batherson",OTT,2.5,Over,115,2.55,58.45%,25.66%%,2.01
"Brendan Gallagher",MTL,1.5,Under,-130,1.00,65.59%,16.04%%,2.01
"William Nylander",TOR,2.5,Over,-175,4.38,73.41%,15.36%%,2.01
"Connor McDavid",EDM,2.5,Over,-175,3.96,70.83%,11.31%%,2.01
"Adrian Kempe",LAK,2.5,Over,-154,3.27,65.66%,8.29%%,2.01
"Jeff Skinner",SJS,1.5,Under,-105,1.39,56.43%,10.18%%,1.79
"Roope Hintz",DAL,2.5,Over,120,3.35,66.32%,45.91%%,1.50
"Adam Fantilli",CBJ,2.5,Over,120,2.94,62.67%,37.87%%,1.50
"Mason McTavish",ANA,1.5,Under,130,1.23,59.90%,37.77%%,1.50
"Tomas Hertl",VGK,2.5,Over,-105,3.62,68.46%,33.66%%,1.50
"Rasmus Andersson",CGY,2.5,Over,148,2.05,53.64%,33.03%%,1.50
"Brandon Montour",SEA,2.5,Over,100,2.93,64.61%,29.22%%,1.50
