Game,Time,Spread,Total,Key_Injuries,Top_Pick,Units,Confidence,Edge,Win_Probability,Notes
WAS @ ATL,Sun 1:00 PM,ATL -3.0,48.5,ATL: Casey Washington QUEST (-1.5 pts); Nathan Carter QUEST (-1.4 pts) | WAS: Jayden Daniels OUT → Marcus Mariota (-8.5 pts); Noah Brown OUT (-3.2 pts); Terry McLaurin OUT (-1.8 pts); Jacory Croskey-Merritt QUEST (-1.4 pts); John Bates OUT (-1.5 pts),ML ATL (2.5u),2.5,High,65.9%,87%,Line adjusted +13.5 pts due to injuries
MIA @ BUF,Sun 1:00 PM,BUF -6.5,47.0,BUF: No significant injuries | MIA: Jaylen Waddle QUEST (-1.5 pts),ML MIA (2.5u),2.5,High,127.5%,71%,Line adjusted +1.5 pts due to injuries
LV @ KC,Sun 1:00 PM,KC -9.5,44.0,None,ML LV (2.5u),2.5,High,281.1%,85%,No injury adjustment
LAR @ SF,Sun 4:25 PM,SF -3.5,51.0,SF: Ricky Pearsall QUEST (-1.5 pts) | LAR: Davante Adams QUEST (-1.5 pts),ML LAR (2.5u),2.5,High,56.6%,65%,No injury adjustment
NYG @ DAL,Sun 4:25 PM,DAL -4.5,43.5,DAL: No significant injuries | NYG: Beaux Collins QUEST (-1.5 pts),ML NYG (2.5u),2.5,High,70.6%,63%,Line adjusted +1.5 pts due to injuries
CIN @ BAL,Sun 8:20 PM,BAL -1.5,50.5,BAL: No significant injuries | CIN: Joe Burrow OUT → Joe Burrow (-8.5 pts),ML BAL (2.5u),2.5,High,48.7%,78%,Line adjusted +8.5 pts due to injuries
MIN @ GB,Sun 1:00 PM,GB -3.0,46.5,GB: Josh Jacobs QUEST (-1.4 pts) | MIN: J.J. McCarthy OUT → J.J. McCarthy (-8.5 pts),ML GB (1.8u),2.5,High,29.2%,68%,Line adjusted +7.1 pts due to injuries
CHI @ DET,Sun 1:00 PM,DET -7.0,48.0,DET: No significant injuries | CHI: D'Andre Swift QUEST (-1.4 pts),ML CHI (2.5u),2.5,High,163.7%,73%,Line adjusted +1.4 pts due to injuries
JAX @ HOU,Sun 1:00 PM,HOU -4.0,45.5,HOU: No significant injuries | JAX: Dyami Brown QUEST (-1.5 pts); Bhayshul Tuten QUEST (-1.4 pts),ML JAX (2.5u),2.5,High,40.1%,55%,Line adjusted +2.9 pts due to injuries
IND @ PIT,Mon 8:15 PM,PIT -6.0,42.5,PIT: Jaylen Warren QUEST (-1.4 pts) | IND: Alec Pierce OUT (-1.8 pts),ML IND (2.5u),2.5,High,127.1%,73%,Line adjusted +0.4 pts due to injuries
TB @ PHI,Sun 1:00 PM,PHI -2.5,49.0,PHI: Darius Cooper OUT (-3.2 pts) | TB: Mike Evans OUT (-3.2 pts); Ko Kieft OUT (-1.5 pts),ML TB (1.5u),1.5,High,17.1%,54%,Line adjusted +1.5 pts due to injuries
CLE @ CAR,Sun 1:00 PM,CAR +2.5,41.0,CAR: Xavier Legette OUT (-3.2 pts); Chuba Hubbard QUEST (-1.4 pts); Ja'Tavion Sanders OUT (-1.5 pts) | CLE: Cedric Tillman QUEST (-1.5 pts),CLE -2.5 (1.5u),1.5,High,13.3%,59%,Line adjusted -4.6 pts due to injuries
