Rank,Player,Position,Team,Game,First TD Probability (%),Recent TD Rate,Red Zone Opps,Explosiveness,Consistency,Season TDs,Implied Odds
1,Hassan Haskins,RB,LAC,DEN @ LAC,12.9,2.00,5.3,0.200,1.00,4,+677
2,Trevor Etienne,RB,CAR,ATL @ CAR,11.4,2.00,5.3,0.000,1.00,4,+773
3,Jerome Ford,RB,CLE,GB @ CLE,11.4,2.00,5.0,0.000,1.00,4,+773
4,Chris Brooks,RB,GB,GB @ CLE,11.4,2.00,5.0,1.000,1.00,4,+773
5,MarShawn Lloyd,RB,GB,GB @ CLE,11.4,2.00,5.0,0.000,1.00,4,+773
6,Tyjae Spears,RB,TEN,IND @ TEN,11.4,2.00,5.7,0.000,1.00,4,+773
7,Jarquez Hunter,RB,LAR,LAR @ PHI,11.4,3.00,8.2,0.000,1.00,6,+773
8,Braelon Allen,RB,NYJ,NYJ @ TB,11.4,3.00,8.2,0.000,1.00,6,+773
9,Devin Neal,RB,NO,NO @ SEA,11.4,2.00,5.7,0.000,1.00,4,+773
10,Roschon Johnson,RB,CHI,DAL @ CHI,11.4,2.00,5.3,0.000,1.00,4,+773
11,Christian McCaffrey,RB,SF,ARI @ SF,11.4,6.00,16.8,0.000,1.00,12,+773
12,Brian Robinson Jr.,RB,SF,ARI @ SF,11.4,2.00,5.0,0.000,1.00,4,+773
13,Isaac Guerendo,RB,SF,ARI @ SF,11.4,2.00,5.3,0.000,1.00,4,+773
14,D'Ernest Johnson,RB,BAL,DET @ BAL,11.4,2.00,5.0,0.000,1.00,4,+773
15,Xazavian Valladay,RB,MIN,CIN @ MIN,10.8,1.50,3.8,0.400,0.50,3,+826
16,Carson Steele,RB,KC,KC @ NYG,10.0,1.50,4.5,0.143,0.50,3,+899
17,De'Von Achane,RB,MIA,MIA @ BUF,9.7,2.50,6.6,0.000,0.50,5,+934
18,Rhamondre Stevenson,RB,NE,PIT @ NE,9.7,2.50,7.0,0.000,0.50,5,+934
19,Saquon Barkley,RB,PHI,LAR @ PHI,9.7,4.50,13.0,0.333,0.50,9,+934
20,Rachaad White,RB,TB,NYJ @ TB,9.7,2.50,6.6,0.000,0.50,5,+934
21,Phil Mafah,RB,DAL,DAL @ CHI,9.7,1.50,4.1,0.111,0.50,3,+936
22,Derrick Henry,RB,BAL,DET @ BAL,9.7,3.50,9.1,0.200,0.50,7,+934
23,Pat Bryant,WR,DEN,DEN @ LAC,9.3,2.00,6.4,0.500,1.00,4,+977
24,Cooper Kupp,WR,SEA,NO @ SEA,9.3,2.00,5.7,0.400,1.00,4,+977
25,Dylan Sampson,RB,CLE,GB @ CLE,8.4,1.50,4.1,0.000,0.50,3,+1088
26,Josh Jacobs,RB,GB,GB @ CLE,8.4,1.50,4.5,0.250,0.50,3,+1088
27,Ja'Quinden Jackson,RB,JAX,HOU @ JAX,8.4,1.50,4.1,0.000,0.50,3,+1088
28,Chase Brown,RB,CIN,CIN @ MIN,8.4,1.50,4.5,0.200,0.50,3,+1088
29,Cam Akers,RB,MIN,CIN @ MIN,8.4,1.50,4.1,0.000,0.50,3,+1088
30,Aaron Jones Sr.,RB,MIN,CIN @ MIN,8.4,1.50,4.1,0.000,0.50,3,+1088
