week,date,homeTeam,awayTeam,predictedWinner,confidence,edge,betRecommendation,actualWinner,actualScore,correct
1,2024-09-05,KC,BAL,KC,70,2.5,NO BET,KC,27-20,true
1,2024-09-08,PHI,GB,PHI,70,2.5,NO BET,PHI,34-29,true
1,2024-09-08,PIT,ATL,PIT,70,2.5,NO BET,PIT,18-10,true
1,2024-09-08,BUF,ARI,BUF,70,2.5,NO BET,BUF,34-28,true
1,2024-09-08,CIN,NE,CIN,70,2.5,NO BET,CIN,16-10,true
1,2024-09-08,NO,CAR,NO,70,2.5,NO BET,NO,47-10,true
1,2024-09-08,HOU,IND,HOU,70,2.5,NO BET,HOU,29-27,true
1,2024-09-08,JAX,MIA,JAX,70,2.5,NO BET,MIA,20-17,false
1,2024-09-08,CHI,TEN,CHI,70,2.5,NO BET,CHI,24-17,true
1,2024-09-08,MIN,NYG,MIN,70,2.5,NO BET,MIN,28-6,true
1,2024-09-08,LAC,LV,LAC,70,2.5,NO BET,LAC,22-10,true
1,2024-09-08,CLE,DAL,CLE,70,2.5,NO BET,DAL,33-17,false
1,2024-09-08,SEA,DEN,SEA,70,2.5,NO BET,SEA,26-20,true
1,2024-09-08,TB,WAS,TB,70,2.5,NO BET,TB,37-20,true
1,2024-09-09,DET,LAR,DET,70,2.5,NO BET,DET,26-20,true
1,2024-09-09,NYJ,SF,NYJ,70,2.5,NO BET,SF,32-19,false
2,2024-09-12,BUF,MIA,BUF,99,15.2,BET,BUF,31-10,true
2,2024-09-15,PHI,ATL,PHI,100,16.4,BET,PHI,22-21,true
2,2024-09-15,LAC,CAR,LAC,100,27.2,BET,LAC,26-3,true
2,2024-09-15,NYG,WAS,NYG,58,1.0,NO BET,WAS,21-18,false
2,2024-09-15,IND,GB,IND,76,3.4,BET,GB,16-10,false
2,2024-09-15,NO,DAL,NO,100,28.4,BET,NO,44-19,true
2,2024-09-15,LV,BAL,LV,58,1.0,NO BET,BAL,23-26,false
2,2024-09-15,LAR,ARI,LAR,70,2.5,NO BET,ARI,41-10,false
2,2024-09-15,CLE,JAX,CLE,89,6.4,BET,CLE,18-13,true
2,2024-09-15,SEA,NE,SEA,100,16.1,BET,SEA,23-20,true
2,2024-09-15,SF,MIN,MIN,100,18.0,BET,MIN,23-17,true
2,2024-09-15,TEN,NYJ,NYJ,99,13.5,BET,NYJ,24-17,true
2,2024-09-15,DET,TB,TB,57,0.8,NO BET,DET,20-16,false
2,2024-09-15,PIT,DEN,PIT,100,16.7,BET,PIT,13-6,true
2,2024-09-16,CHI,HOU,CHI,79,4.0,BET,HOU,19-13,false
2,2024-09-16,KC,CIN,KC,72,2.8,NO BET,KC,26-25,true
3,2024-09-19,NYJ,NE,NYJ,96,9.8,BET,NYJ,24-3,true
3,2024-09-22,ATL,KC,KC,97,10.1,BET,KC,22-17,true
3,2024-09-22,CAR,LV,LV,80,4.3,BET,CAR,36-22,false
3,2024-09-22,GB,TEN,TEN,80,4.2,BET,GB,30-14,false
3,2024-09-22,DEN,TB,TB,89,6.4,BET,DEN,26-7,false
3,2024-09-22,HOU,MIN,MIN,54,0.5,NO BET,HOU,34-7,false
3,2024-09-22,PHI,NO,NO,88,5.9,BET,PHI,15-12,false
3,2024-09-22,LAC,PIT,LAC,86,5.5,BET,LAC,20-10,true
3,2024-09-22,BAL,DAL,BAL,99,13.1,BET,BAL,28-25,true
3,2024-09-22,ARI,DET,DET,99,14.6,BET,ARI,20-13,false
3,2024-09-22,MIA,SEA,SEA,98,12.4,BET,SEA,24-3,true
3,2024-09-22,CHI,IND,CHI,95,8.8,BET,IND,21-16,false
3,2024-09-22,LAR,SF,LAR,92,7.3,BET,SF,27-24,false
3,2024-09-23,CIN,WAS,CIN,98,11.3,BET,CIN,38-33,true
3,2024-09-23,CLE,NYG,CLE,99,13.5,BET,NYG,21-15,false
3,2024-09-23,JAX,BUF,BUF,91,6.8,BET,BUF,47-10,true
4,2024-09-26,NYG,DAL,NYG,93,7.7,BET,DAL,20-15,false
4,2024-09-29,NO,ATL,NO,98,12.1,BET,ATL,26-24,false
4,2024-09-29,MIN,GB,MIN,57,0.9,NO BET,MIN,31-29,true
4,2024-09-29,PIT,IND,PIT,90,6.4,BET,PIT,27-24,true
4,2024-09-29,TB,PHI,PHI,87,5.7,BET,TB,33-16,false
4,2024-09-29,JAX,HOU,JAX,77,3.7,BET,HOU,24-20,false
4,2024-09-29,LAR,CHI,LAR,51,0.2,NO BET,LAR,24-18,true
4,2024-09-29,CIN,CAR,CIN,98,11.4,BET,CIN,34-24,true
4,2024-09-29,ARI,WAS,ARI,86,5.3,BET,WAS,42-14,false
4,2024-09-29,DEN,NYJ,NYJ,73,2.9,NO BET,NYJ,10-9,true
4,2024-09-29,NE,SF,SF,72,2.8,NO BET,SF,30-13,true
4,2024-09-29,LV,CLE,CLE,99,13.1,BET,LV,20-16,false
4,2024-09-29,LAC,KC,LAC,97,10.0,BET,KC,17-10,false
4,2024-09-30,DET,SEA,DET,79,4.0,BET,DET,42-29,true
4,2024-09-30,BUF,BAL,BUF,63,1.6,NO BET,BUF,35-10,true
5,2024-10-03,ATL,TB,TB,60,1.3,NO BET,TB,36-30,true
5,2024-10-06,CAR,CHI,CHI,93,7.6,BET,CHI,36-10,true
5,2024-10-06,MIA,NE,MIA,79,4.0,BET,MIA,15-10,true
5,2024-10-06,BAL,CIN,CIN,76,3.4,BET,BAL,41-38,false
5,2024-10-06,HOU,BUF,HOU,52,0.3,NO BET,HOU,23-20,true
5,2024-10-06,WAS,CLE,CLE,97,10.7,BET,WAS,34-13,false
5,2024-10-06,IND,JAX,JAX,87,5.7,BET,IND,37-34,false
5,2024-10-06,LV,DEN,DEN,69,2.4,NO BET,DEN,34-18,true
5,2024-10-06,SF,ARI,ARI,65,1.9,NO BET,ARI,24-23,true
5,2024-10-06,GB,LAR,LAR,83,4.8,BET,GB,24-19,false
5,2024-10-07,NYJ,MIN,NYJ,85,5.1,BET,MIN,23-17,false
5,2024-10-07,PIT,DAL,PIT,99,14.3,BET,PIT,20-17,true
6,2024-10-10,SEA,SF,SEA,74,3.2,BET,SEA,36-24,true
6,2024-10-13,JAX,CHI,JAX,86,5.5,BET,CHI,35-16,false
6,2024-10-13,WAS,BAL,BAL,66,2.0,NO BET,BAL,30-23,true
6,2024-10-13,HOU,NE,HOU,95,8.9,BET,HOU,41-21,true
6,2024-10-13,ARI,GB,ARI,65,1.8,NO BET,GB,34-13,false
6,2024-10-13,TB,NO,NO,85,5.3,BET,TB,51-27,false
6,2024-10-13,IND,TEN,IND,83,4.7,BET,IND,20-17,true
6,2024-10-13,LAC,DEN,LAC,99,12.9,BET,DEN,23-16,false
6,2024-10-13,CLE,PHI,CLE,64,1.7,NO BET,PHI,20-16,false
6,2024-10-13,PIT,LV,PIT,93,7.7,BET,PIT,32-13,true
6,2024-10-14,ATL,CAR,ATL,81,4.3,BET,ATL,38-20,true
6,2024-10-14,CIN,NYG,CIN,88,6.0,BET,CIN,17-7,true
6,2024-10-14,DET,DAL,DET,99,14.3,BET,DET,47-9,true
7,2024-10-17,NO,DEN,NO,94,8.2,BET,DEN,33-10,false
7,2024-10-20,CIN,CLE,CIN,77,3.5,BET,CIN,21-14,true
7,2024-10-20,NE,JAX,JAX,92,7.1,BET,NE,32-16,false
7,2024-10-20,TEN,BUF,BUF,74,3.1,BET,BUF,34-10,true
7,2024-10-20,SEA,ATL,SEA,65,1.8,NO BET,ATL,34-14,false
7,2024-10-20,HOU,GB,HOU,95,8.6,BET,GB,24-22,false
7,2024-10-20,DET,MIN,DET,97,10.6,BET,MIN,31-29,false
7,2024-10-20,MIA,IND,MIA,70,2.6,NO BET,MIA,16-10,true
7,2024-10-20,LV,LAR,LAR,75,3.3,BET,LV,20-15,false
7,2024-10-20,PHI,NYG,PHI,87,5.6,BET,PHI,28-3,true
7,2024-10-21,SF,KC,KC,56,0.8,NO BET,KC,28-18,true
7,2024-10-21,LAC,ARI,LAC,97,10.1,BET,ARI,17-15,false
7,2024-10-21,PIT,NYJ,PIT,81,4.4,BET,PIT,37-15,true
8,2024-10-24,MIN,LAR,LAR,60,1.2,NO BET,MIN,30-20,false
8,2024-10-27,ATL,TB,ATL,52,0.3,NO BET,ATL,31-26,true
8,2024-10-27,BAL,CLE,BAL,53,0.3,NO BET,BAL,29-24,true
8,2024-10-27,TEN,DET,DET,81,4.3,BET,DET,52-14,true
8,2024-10-27,GB,JAX,JAX,71,2.7,NO BET,GB,30-27,false
8,2024-10-27,ARI,MIA,ARI,58,1.0,NO BET,ARI,28-27,true
8,2024-10-27,NE,NYJ,NYJ,59,1.1,NO BET,NE,25-22,false
8,2024-10-27,PHI,CIN,PHI,60,1.2,NO BET,PHI,37-17,true
8,2024-10-27,IND,HOU,HOU,69,2.4,NO BET,HOU,23-20,true
8,2024-10-27,NO,LAC,LAC,57,0.9,NO BET,LAC,26-8,true
8,2024-10-27,BUF,SEA,SEA,51,0.1,NO BET,BUF,31-10,false
8,2024-10-27,DEN,CAR,DEN,71,2.8,NO BET,DEN,28-14,true
8,2024-10-28,KC,LV,KC,69,2.4,NO BET,KC,27-20,true
8,2024-10-28,DAL,SF,SF,84,5.1,BET,SF,30-24,true
9,2024-10-31,HOU,NYJ,HOU,87,5.7,BET,HOU,21-13,true
9,2024-11-03,JAX,PHI,JAX,52,0.3,NO BET,PHI,28-23,false
9,2024-11-03,NO,CAR,NO,99,12.8,BET,CAR,23-22,false
9,2024-11-03,LV,CIN,CIN,63,1.6,NO BET,CIN,41-24,true
9,2024-11-03,MIA,BUF,MIA,64,1.8,NO BET,BUF,30-27,false
9,2024-11-03,DEN,BAL,DEN,56,0.7,NO BET,BAL,41-10,false
9,2024-11-03,TEN,NE,TEN,90,6.6,BET,TEN,20-17,true
9,2024-11-03,LAC,CLE,LAC,94,8.1,BET,CLE,27-10,false
9,2024-11-03,WAS,NYG,WAS,79,4.0,BET,WAS,27-22,true
9,2024-11-03,CHI,ARI,CHI,52,0.2,NO BET,ARI,29-9,false
9,2024-11-03,SEA,LAR,SEA,71,2.7,NO BET,LAR,26-20,false
9,2024-11-04,ATL,DAL,ATL,96,9.8,BET,ATL,27-21,true
9,2024-11-04,TB,KC,TB,74,3.2,BET,KC,30-24,false
10,2024-11-07,BAL,CIN,CIN,50,0.1,NO BET,BAL,35-34,false
10,2024-11-10,CAR,NYG,CAR,69,2.4,NO BET,CAR,20-17,true
10,2024-11-10,BUF,IND,BUF,72,2.8,NO BET,BUF,30-20,true
10,2024-11-10,DEN,KC,DEN,76,3.4,BET,KC,16-14,false
10,2024-11-10,SF,TB,TB,59,1.1,NO BET,SF,23-20,false
10,2024-11-10,ATL,NO,NO,67,2.1,NO BET,ATL,20-17,false
10,2024-11-10,MIN,JAX,JAX,54,0.4,NO BET,MIN,12-7,false
10,2024-11-10,PIT,WAS,PIT,96,9.9,BET,PIT,28-27,true
10,2024-11-10,NYJ,ARI,NYJ,65,1.9,NO BET,ARI,31-6,false
10,2024-11-10,NE,CHI,CHI,50,0.1,NO BET,NE,19-3,false
10,2024-11-10,TEN,LAC,LAC,57,0.8,NO BET,LAC,27-17,true
10,2024-11-11,PHI,DAL,PHI,98,11.9,BET,PHI,34-6,true
10,2024-11-11,DET,HOU,DET,67,2.1,NO BET,DET,26-23,true
11,2024-11-14,WAS,PHI,PHI,74,3.1,BET,WAS,26-18,false
11,2024-11-17,CLE,PIT,PIT,82,4.6,BET,PIT,19-24,true
11,2024-11-17,BAL,PIT,PIT,82,4.5,BET,PIT,18-16,true
11,2024-11-17,JAX,DET,JAX,52,0.3,NO BET,DET,52-6,false
11,2024-11-17,MIN,TEN,TEN,58,0.9,NO BET,MIN,23-13,false
11,2024-11-17,ATL,DEN,ATL,77,3.6,BET,DEN,38-6,false
11,2024-11-17,LV,MIA,LV,53,0.4,NO BET,MIA,34-19,false
11,2024-11-17,LAR,NE,LAR,71,2.7,NO BET,LAR,28-22,true
11,2024-11-17,NO,CLE,NO,94,8.0,BET,NO,35-14,true
11,2024-11-17,SEA,SF,SEA,84,5.0,BET,SEA,20-17,true
11,2024-11-17,GB,CHI,GB,65,1.9,NO BET,GB,20-19,true
11,2024-11-18,LAC,CIN,LAC,91,7.1,BET,LAC,34-27,true
11,2024-11-18,DAL,HOU,HOU,93,7.7,BET,HOU,34-10,true
12,2024-11-21,CLE,PIT,PIT,84,4.9,BET,PIT,24-19,true
12,2024-11-24,DET,CHI,DET,84,4.9,BET,DET,23-20,true
12,2024-11-24,DAL,NYG,DAL,63,1.5,NO BET,DAL,27-20,true
12,2024-11-24,GB,MIA,GB,64,1.8,NO BET,GB,30-17,true
12,2024-11-25,KC,LV,KC,55,0.6,NO BET,KC,19-17,true
12,2024-11-25,PIT,BAL,PIT,93,7.8,BET,PIT,18-16,true
12,2024-12-01,LAC,ATL,LAC,82,4.6,BET,LAC,17-13,true
12,2024-12-01,TB,CAR,TB,90,6.5,BET,TB,26-23,true
12,2024-12-01,HOU,JAX,HOU,57,0.9,NO BET,HOU,23-20,true
12,2024-12-01,IND,NE,IND,75,3.3,BET,IND,25-24,true
12,2024-12-01,TEN,WAS,TEN,87,5.6,BET,WAS,42-19,false
12,2024-12-01,ARI,MIN,MIN,51,0.2,NO BET,MIN,23-22,true
12,2024-12-01,SEA,NYJ,SEA,78,3.8,BET,SEA,26-21,true
12,2024-12-01,PHI,BAL,PHI,86,5.5,BET,PHI,24-19,true
12,2024-12-02,SF,BUF,BUF,55,0.6,NO BET,BUF,35-10,true
13,2024-11-28,CHI,DET,DET,57,0.8,NO BET,DET,23-20,true
13,2024-11-28,NYG,DAL,NYG,66,2.0,NO BET,DAL,27-20,false
13,2024-11-28,MIA,GB,MIA,61,1.3,NO BET,GB,30-17,false
13,2024-11-29,LV,KC,LV,73,3.0,BET,KC,19-17,false
13,2024-12-01,ATL,LAC,LAC,54,0.5,NO BET,LAC,17-13,true
13,2024-12-01,CAR,TB,TB,68,2.3,NO BET,TB,26-23,true
13,2024-12-01,JAX,HOU,JAX,73,3.0,BET,HOU,23-20,false
13,2024-12-01,NE,IND,NE,57,0.8,NO BET,IND,25-24,false
13,2024-12-01,WAS,TEN,TEN,71,2.6,NO BET,WAS,42-19,false
13,2024-12-01,MIN,ARI,MIN,79,3.9,BET,MIN,23-22,true
13,2024-12-01,NYJ,SEA,NYJ,51,0.1,NO BET,SEA,26-21,false
13,2024-12-01,BAL,PHI,PHI,65,1.8,NO BET,PHI,24-19,true
13,2024-12-02,BUF,SF,BUF,73,2.9,NO BET,BUF,35-10,true
13,2024-12-02,NO,LAR,NO,92,7.5,BET,LAR,21-14,false
13,2024-12-02,PIT,CIN,PIT,91,7.1,BET,PIT,44-38,true
14,2024-12-05,DET,GB,DET,79,3.9,BET,DET,34-31,true
14,2024-12-08,CAR,PHI,PHI,70,2.5,NO BET,PHI,22-16,true
14,2024-12-08,NYJ,MIA,NYJ,72,2.9,NO BET,MIA,32-26,false
14,2024-12-08,ATL,MIN,ATL,79,4.0,BET,MIN,42-21,false
