date,home,away,btts_yes_odds,btts_no_odds,bookmaker,season
2023-08-18 18:30:00+00:00,bremen,bayern,1.57,2.3,williamhill,2023-24
2023-08-19 13:30:00+00:00,stuttgart,vfl,1.62,2.2,williamhill,2023-24
2023-08-19 13:30:00+00:00,hoffenheim,sc,1.57,2.3,williamhill,2023-24
2023-08-19 13:30:00+00:00,wolfsburg,fc,1.62,2.2,williamhill,2023-24
2023-08-19 13:30:00+00:00,leverkusen,leipzig,1.53,2.38,williamhill,2023-24
2023-08-19 13:30:00+00:00,augsburg,monchengladbach,1.53,2.38,williamhill,2023-24
2023-08-19 16:30:00+00:00,dortmund,fc,1.62,2.2,williamhill,2023-24
2023-08-20 13:30:00+00:00,union,mainz,1.91,1.8,williamhill,2023-24
2023-08-20 15:30:00+00:00,frankfurt,sv,1.73,2.0,williamhill,2023-24
2023-08-25 18:30:00+00:00,leipzig,stuttgart,1.6,2.25,williamhill,2023-24
2023-08-26 13:30:00+00:00,sv,union,1.91,1.8,williamhill,2023-24
2023-08-26 13:30:00+00:00,sc,bremen,1.62,2.2,williamhill,2023-24
2023-08-26 13:30:00+00:00,fc,wolfsburg,1.6,2.25,williamhill,2023-24
2023-08-26 13:30:00+00:00,fc,hoffenheim,1.5,2.5,williamhill,2023-24
2023-08-26 13:30:00+00:00,vfl,dortmund,1.53,2.38,williamhill,2023-24
2023-08-26 16:30:00+00:00,monchengladbach,leverkusen,1.6,2.25,williamhill,2023-24
2023-08-27 13:30:00+00:00,mainz,frankfurt,1.7,2.05,williamhill,2023-24
2023-08-27 15:30:00+00:00,bayern,augsburg,1.8,1.91,williamhill,2023-24
2023-09-01 18:30:00+00:00,dortmund,fc,1.62,2.2,williamhill,2023-24
2023-09-02 13:30:00+00:00,stuttgart,sc,1.6,2.25,williamhill,2023-24
2023-09-02 13:30:00+00:00,hoffenheim,wolfsburg,1.44,2.62,williamhill,2023-24
2023-09-02 13:30:00+00:00,augsburg,vfl,1.67,2.1,williamhill,2023-24
2023-09-02 13:30:00+00:00,bremen,mainz,1.62,2.2,williamhill,2023-24
2023-09-02 13:30:00+00:00,leverkusen,sv,2.0,1.73,williamhill,2023-24
2023-09-02 16:30:00+00:00,monchengladbach,bayern,1.5,2.5,williamhill,2023-24
2023-09-03 13:30:00+00:00,frankfurt,fc,1.85,1.85,williamhill,2023-24
2023-09-03 15:30:00+00:00,union,leipzig,1.7,2.05,williamhill,2023-24
2023-09-15 18:30:00+00:00,bayern,leverkusen,1.4,2.75,williamhill,2023-24
2023-09-16 13:30:00+00:00,fc,hoffenheim,1.53,2.38,williamhill,2023-24
2023-09-16 13:30:00+00:00,sc,dortmund,1.44,2.62,williamhill,2023-24
2023-09-16 13:30:00+00:00,mainz,stuttgart,1.62,2.2,williamhill,2023-24
2023-09-16 13:30:00+00:00,leipzig,augsburg,1.73,2.0,williamhill,2023-24
2023-09-16 13:30:00+00:00,wolfsburg,union,1.73,2.0,williamhill,2023-24
2023-09-16 16:30:00+00:00,vfl,frankfurt,1.7,2.05,williamhill,2023-24
2023-09-17 13:30:00+00:00,fc,bremen,1.53,2.43,onexbet,2023-24
2023-09-17 15:30:00+00:00,sv,monchengladbach,1.58,2.31,onexbet,2023-24
