date,home,away,home_score,away_score,btts,total_goals,season
2020-09-18,20.30  FC Bayern München,(3-0)  FC Schalke 04,8,0,0,8,2020-21
2020-09-19,15.30  1. FC Köln,(1-2)  TSG 1899 Hoffenheim,2,3,1,5,2020-21
2020-09-19,Eintracht Frankfurt,(0-0)  Arminia Bielefeld,1,1,1,2,2020-21
2020-09-19,VfB Stuttgart,(0-2)  SC Freiburg,2,3,1,5,2020-21
2020-09-19,SV Werder Bremen,(0-2)  Hertha BSC,1,4,1,5,2020-21
2020-09-19,1. FC Union Berlin,(0-1)  FC Augsburg,1,3,1,4,2020-21
2020-09-19,18.30  Borussia Dortmund,(1-0)  Borussia Mönchengladbach,3,0,0,3,2020-21
2020-09-20,15.30  RB Leipzig,(2-0)  1. FSV Mainz 05,3,1,1,4,2020-21
2020-09-20,18.00  VfL Wolfsburg,Bayer 04 Leverkusen,0,0,0,0,2020-21
2020-09-25,20.30  Hertha BSC,(0-2)  Eintracht Frankfurt,1,3,1,4,2020-21
2020-09-26,18.30  FC Schalke 04,(0-2)  SV Werder Bremen,1,3,1,4,2020-21
2020-09-26,FC Augsburg,(1-0)  Borussia Dortmund,2,0,0,2,2020-21
2020-09-26,1. FSV Mainz 05,(1-1)  VfB Stuttgart,1,4,1,5,2020-21
2020-09-26,15.30  Borussia Mönchengladbach,(0-0)  1. FC Union Berlin,1,1,1,2,2020-21
2020-09-26,Arminia Bielefeld,(0-0)  1. FC Köln,1,0,0,1,2020-21
2020-09-26,Bayer 04 Leverkusen,(1-1)  RB Leipzig,1,1,1,2,2020-21
2020-09-27,15.30  TSG 1899 Hoffenheim,(2-1)  FC Bayern München,4,1,1,5,2020-21
2020-09-27,18.00  SC Freiburg,(1-1)  VfL Wolfsburg,1,1,1,2,2020-21
2020-10-02,20.30  1. FC Union Berlin,(1-0)  1. FSV Mainz 05,4,0,0,4,2020-21
2020-10-03,SV Werder Bremen,(1-0)  Arminia Bielefeld,1,0,0,1,2020-21
2020-10-03,18.30  RB Leipzig,(3-0)  FC Schalke 04,4,0,0,4,2020-21
2020-10-03,VfB Stuttgart,(0-1)  Bayer 04 Leverkusen,1,1,1,2,2020-21
2020-10-03,15.30  1. FC Köln,(0-2)  Borussia Mönchengladbach,1,3,1,4,2020-21
2020-10-03,Eintracht Frankfurt,(0-1)  TSG 1899 Hoffenheim,2,1,1,3,2020-21
2020-10-03,Borussia Dortmund,(1-0)  SC Freiburg,4,0,0,4,2020-21
2020-10-04,15.30  VfL Wolfsburg,FC Augsburg,0,0,0,0,2020-21
2020-10-04,18.00  FC Bayern München,(1-0)  Hertha BSC,4,3,1,7,2020-21
2020-10-17,15.30  Hertha BSC,(0-1)  VfB Stuttgart,0,2,0,2,2020-21
2020-10-17,SC Freiburg,(1-1)  SV Werder Bremen,1,1,1,2,2020-21
2020-10-17,1. FSV Mainz 05,(0-1)  Bayer 04 Leverkusen,0,1,0,1,2020-21
2020-10-17,TSG 1899 Hoffenheim,(0-0)  Borussia Dortmund,0,1,0,1,2020-21
2020-10-17,FC Augsburg,(0-1)  RB Leipzig,0,2,0,2,2020-21
2020-10-17,18.30  Arminia Bielefeld,(0-3)  FC Bayern München,1,4,1,5,2020-21
2020-10-17,20.30  Borussia Mönchengladbach,(0-0)  VfL Wolfsburg,1,1,1,2,2020-21
2020-10-18,15.30  1. FC Köln,(0-1)  Eintracht Frankfurt,1,1,1,2,2020-21
2020-10-18,18.00  FC Schalke 04,(0-0)  1. FC Union Berlin,1,1,1,2,2020-21
2020-10-23,20.30  VfB Stuttgart,(1-1)  1. FC Köln,1,1,1,2,2020-21
2020-10-24,18.30  Borussia Dortmund,(0-0)  FC Schalke 04,3,0,0,3,2020-21
2020-10-24,RB Leipzig,(1-1)  Hertha BSC,2,1,1,3,2020-21
2020-10-24,15.30  FC Bayern München,(2-0)  Eintracht Frankfurt,5,0,0,5,2020-21
2020-10-24,1. FSV Mainz 05,(2-1)  Borussia Mönchengladbach,2,3,1,5,2020-21
2020-10-24,1. FC Union Berlin,(1-1)  SC Freiburg,1,1,1,2,2020-21
2020-10-25,15.30  VfL Wolfsburg,(2-0)  Arminia Bielefeld,2,1,1,3,2020-21
2020-10-25,18.00  SV Werder Bremen,(1-1)  TSG 1899 Hoffenheim,1,1,1,2,2020-21
2020-10-26,20.30  Bayer 04 Leverkusen,(1-0)  FC Augsburg,3,1,1,4,2020-21
2020-10-30,20.30  FC Schalke 04,(1-0)  VfB Stuttgart,1,1,1,2,2020-21
2020-10-31,15.30  1. FC Köln,(0-2)  FC Bayern München,1,2,1,3,2020-21
2020-10-31,Eintracht Frankfurt,(0-0)  SV Werder Bremen,1,1,1,2,2020-21
2020-10-31,FC Augsburg,(1-0)  1. FSV Mainz 05,3,1,1,4,2020-21
2020-10-31,18.30  Borussia Mönchengladbach,(0-0)  RB Leipzig,1,0,0,1,2020-21
2020-10-31,Arminia Bielefeld,(0-0)  Borussia Dortmund,0,2,0,2,2020-21
2020-11-01,15.30  SC Freiburg,(1-2)  Bayer 04 Leverkusen,2,4,1,6,2020-21
2020-11-01,18.00  Hertha BSC,(1-1)  VfL Wolfsburg,1,1,1,2,2020-21
2020-11-02,20.30  TSG 1899 Hoffenheim,(0-0)  1. FC Union Berlin,1,3,1,4,2020-21
2020-11-06,20.30  SV Werder Bremen,(0-0)  1. FC Köln,1,1,1,2,2020-21
2020-11-07,1. FC Union Berlin,(3-0)  Arminia Bielefeld,5,0,0,5,2020-21
2020-11-07,RB Leipzig,(1-0)  SC Freiburg,3,0,0,3,2020-21
2020-11-07,18.30  Borussia Dortmund,(1-1)  FC Bayern München,2,3,1,5,2020-21
2020-11-07,FC Augsburg,(0-1)  Hertha BSC,0,3,0,3,2020-21
2020-11-07,15.30  VfB Stuttgart,(2-0)  Eintracht Frankfurt,2,2,1,4,2020-21
2020-11-07,1. FSV Mainz 05,(2-1)  FC Schalke 04,2,2,1,4,2020-21
2020-11-08,15.30  VfL Wolfsburg,(2-0)  TSG 1899 Hoffenheim,2,1,1,3,2020-21
2020-11-08,18.00  Bayer 04 Leverkusen,(2-2)  Borussia Mönchengladbach,4,3,1,7,2020-21
2020-11-21,20.30  Hertha BSC,(1-0)  Borussia Dortmund,2,5,1,7,2020-21
2020-11-21,18.30  Eintracht Frankfurt,(1-0)  RB Leipzig,1,1,1,2,2020-21
2020-11-21,Arminia Bielefeld,(0-1)  Bayer 04 Leverkusen,1,2,1,3,2020-21
2020-11-21,TSG 1899 Hoffenheim,(1-2)  VfB Stuttgart,3,3,1,6,2020-21
2020-11-21,Borussia Mönchengladbach,(1-0)  FC Augsburg,1,1,1,2,2020-21
2020-11-21,15.30  FC Schalke 04,(0-2)  VfL Wolfsburg,0,2,0,2,2020-21
2020-11-21,FC Bayern München,(0-1)  SV Werder Bremen,1,1,1,2,2020-21
2020-11-22,15.30  SC Freiburg,(0-3)  1. FSV Mainz 05,1,3,1,4,2020-21
2020-11-22,18.00  1. FC Köln,(1-1)  1. FC Union Berlin,1,2,1,3,2020-21
