date,matchday,home,away,home_score,away_score,btts,total_goals,season,home_form_games_played,home_form_goals_scored,home_form_goals_conceded,home_form_btts_rate,home_form_avg_total_goals,away_form_games_played,away_form_goals_scored,away_form_goals_conceded,away_form_btts_rate,away_form_avg_total_goals,h2h_games,h2h_btts_rate,h2h_avg_goals,home_season_games,home_season_goals_scored,home_season_goals_conceded,home_season_btts_rate,home_season_win_rate,home_season_clean_sheets,home_season_failed_to_score,away_season_games,away_season_goals_scored,away_season_goals_conceded,away_season_btts_rate,away_season_win_rate,away_season_clean_sheets,away_season_failed_to_score,combined_form_btts_rate,combined_form_goals,defense_strength_diff,attack_strength_diff,home_season_avg_goals_for,home_season_avg_goals_against,away_season_avg_goals_for,away_season_avg_goals_against
2020-09-18,,20.30  FC Bayern München,(3-0)  FC Schalke 04,8,0,0,8,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-19,,15.30  1. FC Köln,(1-2)  TSG 1899 Hoffenheim,2,3,1,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-19,,Eintracht Frankfurt,(0-0)  Arminia Bielefeld,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-19,,VfB Stuttgart,(0-2)  SC Freiburg,2,3,1,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-19,,SV Werder Bremen,(0-2)  Hertha BSC,1,4,1,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-19,,1. FC Union Berlin,(0-1)  FC Augsburg,1,3,1,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-19,,18.30  Borussia Dortmund,(1-0)  Borussia Mönchengladbach,3,0,0,3,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-20,,15.30  RB Leipzig,(2-0)  1. FSV Mainz 05,3,1,1,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-20,,18.00  VfL Wolfsburg,Bayer 04 Leverkusen,0,0,0,0,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-25,,20.30  Hertha BSC,(0-2)  Eintracht Frankfurt,1,3,1,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-26,,18.30  FC Schalke 04,(0-2)  SV Werder Bremen,1,3,1,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-26,,FC Augsburg,(1-0)  Borussia Dortmund,2,0,0,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-26,,1. FSV Mainz 05,(1-1)  VfB Stuttgart,1,4,1,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-26,,15.30  Borussia Mönchengladbach,(0-0)  1. FC Union Berlin,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-26,,Arminia Bielefeld,(0-0)  1. FC Köln,1,0,0,1,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-26,,Bayer 04 Leverkusen,(1-1)  RB Leipzig,1,1,1,2,2020-21,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,1,1,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,,
2020-09-27,,15.30  TSG 1899 Hoffenheim,(2-1)  FC Bayern München,4,1,1,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-09-27,,18.00  SC Freiburg,(1-1)  VfL Wolfsburg,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-02,,20.30  1. FC Union Berlin,(1-0)  1. FSV Mainz 05,4,0,0,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-03,,SV Werder Bremen,(1-0)  Arminia Bielefeld,1,0,0,1,2020-21,1,1,4,1.0,5.0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,4,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,1,4,1,1.0,4.0,,
2020-10-03,,18.30  RB Leipzig,(3-0)  FC Schalke 04,4,0,0,4,2020-21,0,0,0,0.0,0.0,1,0,8,0.0,8.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,8,0.0,0.0,0,1,0.0,0,-8,0,,,0.0,8.0
2020-10-03,,VfB Stuttgart,(0-1)  Bayer 04 Leverkusen,1,1,1,2,2020-21,1,2,3,1.0,5.0,0,0,0,0.0,0.0,0,0.0,0.0,1,2,3,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,2,3,2,2.0,3.0,,
2020-10-03,,15.30  1. FC Köln,(0-2)  Borussia Mönchengladbach,1,3,1,4,2020-21,1,2,3,1.0,5.0,0,0,0,0.0,0.0,0,0.0,0.0,1,2,3,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,2,3,2,2.0,3.0,,
2020-10-03,,Eintracht Frankfurt,(0-1)  TSG 1899 Hoffenheim,2,1,1,3,2020-21,1,1,1,1.0,2.0,0,0,0,0.0,0.0,0,0.0,0.0,1,1,1,1.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.5,1,1,1,1.0,1.0,,
2020-10-03,,Borussia Dortmund,(1-0)  SC Freiburg,4,0,0,4,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-04,,15.30  VfL Wolfsburg,FC Augsburg,0,0,0,0,2020-21,0,0,0,0.0,0.0,1,2,0,0.0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,2,0,0.0,1.0,1,0,0.0,2,0,-2,,,2.0,0.0
2020-10-04,,18.00  FC Bayern München,(1-0)  Hertha BSC,4,3,1,7,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-17,,15.30  Hertha BSC,(0-1)  VfB Stuttgart,0,2,0,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-17,,SC Freiburg,(1-1)  SV Werder Bremen,1,1,1,2,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-17,,1. FSV Mainz 05,(0-1)  Bayer 04 Leverkusen,0,1,0,1,2020-21,1,1,4,1.0,5.0,1,1,1,1.0,2.0,0,0.0,0.0,1,1,4,1.0,0.0,0,0,1,1,1,1.0,0.0,0,0,1.0,2,3,0,1.0,4.0,1.0,1.0
2020-10-17,,TSG 1899 Hoffenheim,(0-0)  Borussia Dortmund,0,1,0,1,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
2020-10-17,,FC Augsburg,(0-1)  RB Leipzig,0,2,0,2,2020-21,2,2,0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,0.0,2,2,0,0.0,0.5,2,1,0,0,0,0.0,0.0,0,0,0.0,2,0,2,1.0,0.0,,
2020-10-17,,18.30  Arminia Bielefeld,(0-3)  FC Bayern München,1,4,1,5,2020-21,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,,,,
