date,home,away,home_original,away_original,btts_yes_odds,btts_no_odds,bookmaker
2026-01-09T19:30:00Z,eintracht,borussia,Eintracht Frankfurt,Borussia Dortmund,1.55,2.32,onexbet
2026-01-10T14:30:00Z,1.,1.,1. FC Heidenheim,1. FC Köln,1.6,2.25,williamhill
2026-01-10T14:30:00Z,fc,rb,FC St. Pauli,RB Leipzig,1.65,2.15,williamhill
2026-01-10T14:30:00Z,union,fsv,Union Berlin,FSV Mainz 05,1.85,1.83,williamhill
2026-01-10T14:30:00Z,sc,hamburger,SC Freiburg,Hamburger SV,1.75,2.0,williamhill
2026-01-10T14:30:00Z,werder,tsg,Werder Bremen,TSG Hoffenheim,1.48,2.5,onexbet
2026-01-10T17:30:00Z,bayer,vfb,Bayer Leverkusen,VfB Stuttgart,1.44,2.62,onexbet
2026-01-11T14:30:00Z,borussia,augsburg,Borussia Monchengladbach,Augsburg,1.67,2.1,onexbet
2026-01-11T16:30:00Z,bayern,vfl,Bayern Munich,VfL Wolfsburg,1.75,1.98,onexbet
2026-01-13T17:30:00Z,vfb,eintracht,VfB Stuttgart,Eintracht Frankfurt,1.54,2.35,onexbet
2026-01-13T19:30:00Z,fsv,1.,FSV Mainz 05,1. FC Heidenheim,1.89,1.83,onexbet
2026-01-13T19:30:00Z,hamburger,bayer,Hamburger SV,Bayer Leverkusen,1.53,2.37,onexbet
2026-01-13T19:30:00Z,borussia,werder,Borussia Dortmund,Werder Bremen,1.67,2.1,onexbet
2026-01-14T17:30:00Z,vfl,fc,VfL Wolfsburg,FC St. Pauli,1.7,2.05,onexbet
2026-01-14T19:30:00Z,1.,bayern,1. FC Köln,Bayern Munich,1.52,2.4,onexbet
2026-01-14T19:30:00Z,tsg,borussia,TSG Hoffenheim,Borussia Monchengladbach,1.54,2.35,onexbet
2026-01-14T19:30:00Z,rb,sc,RB Leipzig,SC Freiburg,1.5,2.4,tipico_de
2026-01-15T19:30:00Z,augsburg,union,Augsburg,Union Berlin,1.8,1.95,williamhill
