reason,game,date,player,market,book,line,details
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Cameron Payne",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Derrick White",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Josh Hart",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jrue Holiday",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Karl-Anthony Towns",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Mikal Bridges",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Miles McBride",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"OG Anunoby",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Derrick White",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jalen Brunson",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Josh Hart",rebounds,draftkings,8.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jrue Holiday",rebounds,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Karl-Anthony Towns",rebounds,draftkings,10.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Mikal Bridges",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"OG Anunoby",rebounds,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jaylen Brown",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jrue Holiday",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Karl-Anthony Towns",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jalen Brunson",assists,fanduel,6.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jayson Tatum",assists,fanduel,6.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jaylen Brown",rebounds,fanduel,6.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jrue Holiday",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jalen Brunson",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Karl-Anthony Towns",rebounds,fanduel,9.5,"{"gamesAvailable":0}"
insufficient_history,"New York Knicks @ Boston Celtics",2024-10-22,"Jayson Tatum",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Davis",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Edwards",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Austin Reaves",assists,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"D'Angelo Russell",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Donte DiVincenzo",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Gabe Vincent",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaden McDaniels",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaxson Hayes",assists,draftkings,0.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Julius Randle",assists,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"LeBron James",assists,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Mike Conley",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Naz Reid",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Nickeil Alexander-Walker",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rudy Gobert",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Rui Hachimura",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Davis",rebounds,draftkings,12.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Anthony Edwards",rebounds,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Austin Reaves",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"D'Angelo Russell",rebounds,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Donte DiVincenzo",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Gabe Vincent",rebounds,draftkings,0.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaden McDaniels",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Minnesota Timberwolves @ Los Angeles Lakers",2024-10-22,"Jaxson Hayes",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
