date,game_id,home_team,away_team,actual_total,market_line,pred_total,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-01-04,0022400480,IND,PHX,234,233.5,227.44562559751392,-6.054374402486076,UNDER,-110.0,LOSS,6.0-8.0,504
2025-01-04,0022400482,CHI,NYK,265,234.83333333333334,234.3948061938258,-0.4385271395075563,,,,,504
2025-01-04,0022400478,BKN,PHI,217,214.33333333333334,222.90041645343578,8.567083120102438,,,,,504
2025-01-04,0022400481,MIA,UTA,236,223.5,225.75622713966402,2.25622713966402,,,,,504
2025-01-04,0022400485,GSW,MEM,234,234.16666666666666,226.72601470512353,-7.440651961543125,UNDER,100.0,WIN,6.0-8.0,504
2025-01-04,0022400483,MIL,POR,207,227.33333333333334,227.53350647301897,0.20017313968563144,,,,,504
2025-01-04,0022400486,LAC,ATL,236,227.83333333333334,226.524220675977,-1.3091126573563372,,,,,504
2025-01-04,0022400479,DET,MIN,224,217.66666666666666,225.9462006823009,8.279534015634255,,,,,504
2025-01-04,0022400484,SAS,DEN,233,237.0,226.8408547151836,-10.15914528481639,,,,,504
2025-01-05,0022400492,GSW,SAC,228,225.33333333333334,224.22908117793432,-1.104252155399024,,,,,513
2025-01-05,0022400490,ORL,UTA,197,212.16666666666666,222.48552330131096,10.318856634644305,,,,,513
2025-01-05,0022400491,HOU,LAL,234,218.33333333333334,220.91865816574386,2.585324832410521,,,,,513
2025-01-05,0022400489,WAS,NOP,208,235.16666666666666,233.24176930519272,-1.9248973614739384,,,,,513
2025-01-05,0022400487,OKC,BOS,197,221.5,227.84245938716217,6.342459387162165,OVER,-110.0,LOSS,6.0-8.0,513
2025-01-05,0022400488,CLE,CHA,220,223.0,221.62021807771433,-1.379781922285673,,,,,513
2025-01-06,0022400498,CHI,SAS,224,236.5,229.84864854336462,-6.651351456635382,UNDER,100.0,WIN,6.0-8.0,519
2025-01-06,0022400496,NYK,ORL,197,210.0,222.9512579096561,12.951257909656107,,,,,519
2025-01-06,0022400493,DET,POR,233,225.5,227.76766355936363,2.2676635593636263,,,,,519
2025-01-06,0022400494,PHI,PHX,208,223.33333333333334,225.13136613461347,1.7980328012801294,,,,,519
2025-01-06,0022400495,BKN,IND,212,222.83333333333334,227.01705006034996,4.183716727016616,OVER,-110.0,LOSS,4.0-5.0,519
2025-01-06,0022400500,MIN,LAC,214,214.5,223.88549761484484,9.385497614844837,,,,,519
2025-01-06,0022400497,TOR,MIL,232,230.5,227.36342875512815,-3.1365712448718455,,,,,519
2025-01-06,0022400499,MEM,DAL,223,232.33333333333334,235.95643392300238,3.6231005896690363,,,,,519
2025-01-06,0022400501,SAC,MIA,241,224.16666666666666,226.4282071157899,2.261540449123231,,,,,519
2025-01-07,0022400506,UTA,ATL,245,235.83333333333334,227.92937212423146,-7.90396120910188,UNDER,-110.0,LOSS,6.0-8.0,528
2025-01-07,0022400507,DEN,BOS,224,235.5,230.84730178527664,-4.652698214723358,UNDER,100.0,WIN,4.0-5.0,528
2025-01-07,0022400508,GSW,MIA,212,218.5,224.81237613779263,6.312376137792626,OVER,-110.0,LOSS,6.0-8.0,528
2025-01-07,0022400504,DAL,LAL,215,219.5,229.66974618427275,10.169746184272753,,,,,528
2025-01-07,0022400503,WAS,HOU,247,225.33333333333334,231.65546343968714,6.3221301063537965,OVER,100.0,WIN,6.0-8.0,528
2025-01-07,0022400502,CHA,PHX,219,222.16666666666666,224.09237192548963,1.9257052588229726,,,,,528
2025-01-07,0022400505,NOP,MIN,201,220.83333333333334,228.22676524154662,7.393431908213273,OVER,-110.0,LOSS,6.0-8.0,528
2025-01-08,0022400509,CLE,OKC,251,227.83333333333334,226.39374969276753,-1.4395836405658144,,,,,535
2025-01-08,0022400510,IND,CHI,242,241.0,221.06714121435837,-19.932858785641628,,,,,535
2025-01-08,0022400511,NYK,TOR,210,231.33333333333334,222.32359623990166,-9.009737093431681,,,,,535
2025-01-08,0022400512,PHI,WAS,212,221.5,224.3600225384507,2.8600225384506928,,,,,535
2025-01-08,0022400513,BKN,DET,211,213.5,223.9694239869391,10.469423986939091,,,,,535
2025-01-08,0022400515,DEN,LAC,229,227.5,225.72603229184205,-1.7739677081579543,,,,,535
2025-01-08,0022400514,NOP,POR,219,226.5,224.4128668132699,-2.0871331867301137,,,,,535
2025-01-08,0022400516,MIL,SAS,226,222.33333333333334,222.10600940660984,-0.22732392672349988,,,,,535
2025-01-09,0022400517,CLE,TOR,258,234.66666666666666,226.6193410415961,-8.047325625070556,,,,,543
2025-01-09,0022400518,DET,GSW,211,219.33333333333334,223.843570736555,4.510237403221652,OVER,-110.0,LOSS,4.0-5.0,543
2025-01-09,0022400519,ORL,MIN,193,204.0,214.86318769766385,10.863187697663847,,,,,543
2025-01-09,0022400520,MEM,HOU,234,233.5,236.78168376062132,3.28168376062132,,,,,543
2025-01-09,0022400521,DAL,POR,228,219.66666666666666,226.5253669666762,6.858700300009531,OVER,100.0,WIN,6.0-8.0,543
2025-01-09,0022400522,PHX,ATL,238,238.33333333333334,222.8577456347338,-15.475587698599554,,,,,543
2025-01-09,0022400523,UTA,MIA,189,223.0,226.39050808773544,3.3905080877354408,,,,,543
2025-01-10,0022400528,BOS,SAC,211,229.66666666666666,217.64865410900677,-12.018012557659887,,,,,550
2025-01-10,0022400525,IND,GSW,204,223.83333333333334,223.44190896434188,-0.3914243689914656,,,,,550
2025-01-10,0022400527,PHI,NOP,238,220.33333333333334,219.8352104528699,-0.49812288046345543,,,,,550
2025-01-10,0022400530,CHI,WAS,243,241.5,233.52997190317203,-7.970028096827974,UNDER,-110.0,LOSS,6.0-8.0,550
2025-01-10,0022400529,NYK,OKC,227,225.0,223.09004551654292,-1.909954483457085,,,,,550
2025-01-10,0022400531,DEN,BKN,229,220.5,221.6318574148207,1.1318574148207006,,,,,550
2025-01-10,0022400526,ORL,MIL,215,209.33333333333334,210.483503000552,1.1501696672186483,,,,,550
2025-01-11,0022400533,PHX,UTA,220,228.5,224.4603644501308,-4.039635549869189,UNDER,100.0,WIN,4.0-5.0,557
2025-01-11,0022400534,DET,TOR,237,230.33333333333334,224.00238731322986,-6.330946020103482,UNDER,-110.0,LOSS,6.0-8.0,557
2025-01-11,0022400535,MIN,MEM,252,230.0,223.6446923352694,-6.355307664730589,UNDER,-110.0,LOSS,6.0-8.0,557
2025-01-11,0022400536,POR,MIA,217,218.83333333333334,222.95298393148678,4.1196505981534415,OVER,-110.0,LOSS,4.0-5.0,557
2025-01-12,0022400543,CLE,IND,201,238.66666666666666,233.40580716941463,-5.260859497252028,UNDER,100.0,WIN,5.0-6.0,561
2025-01-12,0022400539,NYK,MIL,246,227.33333333333334,221.19944606758563,-6.133887265747717,UNDER,-110.0,LOSS,6.0-8.0,561
2025-01-12,0022400540,DAL,DEN,213,229.0,229.2158082482933,0.2158082482933139,,,,,561
2025-01-12,0022400541,CHI,SAC,243,237.83333333333334,233.93272401603724,-3.9006093172961016,,,,,561
2025-01-12,0022400542,BOS,NOP,239,227.0,220.69292530142192,-6.307074698578077,UNDER,-110.0,LOSS,6.0-8.0,561
2025-01-12,0022400546,UTA,BKN,223,215.5,219.0316900606676,3.531690060667586,,,,,561
2025-01-12,0022400547,PHX,CHA,233,224.0,214.12537800841022,-9.874621991589777,,,,,561
2025-01-12,0022400545,WAS,OKC,231,230.33333333333334,230.34887625859167,0.015542925258330342,,,,,561
2025-01-12,0022400544,ORL,PHI,203,206.16666666666666,215.5708629200791,9.404196253412437,,,,,561
2025-01-13,0022400548,WAS,MIN,226,224.33333333333334,230.11566261283323,5.782329279499891,OVER,100.0,WIN,5.0-6.0,570
2025-01-13,0022400549,NYK,DET,243,224.33333333333334,225.11097002890992,0.7776366955765752,,,,,570
2025-01-13,0022400550,TOR,GSW,205,228.5,222.095782653059,-6.40421734694101,UNDER,100.0,WIN,6.0-8.0,570
2025-01-13,0022400551,HOU,MEM,238,236.16666666666666,224.40353406072285,-11.76313260594381,,,,,570
2025-01-13,0022400552,LAL,SAS,228,222.5,218.81253301251147,-3.687466987488534,,,,,570
2025-01-13,0022400553,LAC,MIA,207,215.33333333333334,220.52040104796208,5.187067714628739,OVER,-110.0,LOSS,5.0-6.0,570
2025-01-14,0022400555,PHI,OKC,220,218.33333333333334,220.11784153842794,1.7845082050945962,,,,,576
2025-01-14,0022400557,CHI,NOP,232,239.66666666666666,232.9716935485846,-6.694973118082061,UNDER,100.0,WIN,6.0-8.0,576
2025-01-14,0022400556,ATL,PHX,239,235.16666666666666,230.87422669896085,-4.292439967705803,UNDER,-110.0,LOSS,4.0-5.0,576
2025-01-14,0022400558,MIL,SAC,245,228.5,226.2765238682427,-2.223476131757309,,,,,576
2025-01-14,0022400559,DAL,DEN,217,232.33333333333334,226.0392953401913,-6.294037993142041,UNDER,100.0,WIN,6.0-8.0,576
2025-01-14,0022400560,POR,BKN,246,217.66666666666666,222.65890503281582,4.9922383661491665,OVER,100.0,WIN,4.0-5.0,576
2025-01-14,0022400554,IND,CLE,244,230.66666666666666,228.9710248985089,-1.6956417681577705,,,,,576
2025-01-15,0022400565,MIN,GSW,231,215.33333333333334,222.09126984443432,6.757936511100979,OVER,100.0,WIN,6.0-8.0,583
2025-01-15,0022400562,TOR,BOS,207,229.66666666666666,229.38082900704154,-0.2858376596251162,,,,,583
2025-01-15,0022400563,CHI,ATL,204,243.5,236.81642649263165,-6.683573507368351,UNDER,100.0,WIN,6.0-8.0,583
2025-01-15,0022400561,PHI,NYK,244,219.0,223.44164725135198,4.441647251351981,OVER,100.0,WIN,4.0-5.0,583
2025-01-15,0022400569,UTA,CHA,229,221.33333333333334,217.3049802476583,-4.028353085675036,UNDER,-110.0,LOSS,4.0-5.0,583
2025-01-15,0022400564,MIL,ORL,215,211.0,220.5261880869353,9.526188086935292,,,,,583
2025-01-15,0022400568,DEN,HOU,236,231.5,229.85869029598067,-1.641309704019335,,,,,583
2025-01-15,0022400571,LAC,BKN,193,213.0,220.81630251762874,7.816302517628742,OVER,-110.0,LOSS,6.0-8.0,583
2025-01-15,0022400570,LAL,MIA,225,217.33333333333334,219.7609055788994,2.4275722455660684,,,,,583
2025-01-15,0022400567,SAS,MEM,244,239.16666666666666,229.54687577816196,-9.619790888504696,,,,,583
2025-01-15,0022400566,NOP,DAL,235,225.83333333333334,222.76151820556146,-3.0718151277718846,,,,,583
2025-01-16,0022400576,SAC,HOU,259,226.16666666666666,232.60194070304624,6.435274036379582,OVER,100.0,WIN,6.0-8.0,594
