date,home_team,away_team,actual_total,market_total_line,model_total,edge,bet_side,bet_result,profit_units,staked_units,n_train_games,skip_reason
2024-10-22,Los Angeles Lakers,Minnesota Timberwolves,213,220.0,,,NO_BET,NO_BET,0.0,0.0,0,insufficient_history
2024-10-23,Atlanta Hawks,Brooklyn Nets,236,222.33333333333334,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Detroit Pistons,Indiana Pacers,224,234.66666666666666,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Houston Rockets,Charlotte Hornets,215,229.5,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,LA Clippers,Phoenix Suns,229,224.66666666666666,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Miami Heat,Orlando Magic,213,208.0,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,New Orleans Pelicans,Chicago Bulls,234,227.16666666666666,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Philadelphia 76ers,Milwaukee Bucks,233,223.5,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Portland Trail Blazers,Golden State Warriors,244,222.16666666666666,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Toronto Raptors,Cleveland Cavaliers,242,224.33333333333334,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-23,Utah Jazz,Memphis Grizzlies,250,228.66666666666666,,,NO_BET,NO_BET,0.0,0.0,1,insufficient_history
2024-10-24,Dallas Mavericks,San Antonio Spurs,229,229.5,,,NO_BET,NO_BET,0.0,0.0,11,insufficient_history
2024-10-24,Denver Nuggets,Oklahoma City Thunder,189,226.0,,,NO_BET,NO_BET,0.0,0.0,11,insufficient_history
2024-10-24,Sacramento Kings,Minnesota Timberwolves,232,220.5,,,NO_BET,NO_BET,0.0,0.0,11,insufficient_history
2024-10-25,Atlanta Hawks,Charlotte Hornets,245,223.5,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Cleveland Cavaliers,Detroit Pistons,214,227.66666666666666,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Houston Rockets,Memphis Grizzlies,236,222.16666666666666,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Los Angeles Lakers,Phoenix Suns,239,223.5,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Milwaukee Bucks,Chicago Bulls,255,233.66666666666666,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,New York Knicks,Indiana Pacers,221,226.5,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Orlando Magic,Brooklyn Nets,217,215.5,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Portland Trail Blazers,New Orleans Pelicans,208,218.5,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Toronto Raptors,Philadelphia 76ers,222,219.5,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-25,Utah Jazz,Golden State Warriors,213,232.66666666666666,,,NO_BET,NO_BET,0.0,0.0,14,insufficient_history
2024-10-26,Charlotte Hornets,Miami Heat,220,223.5,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Chicago Bulls,Oklahoma City Thunder,209,232.0,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Denver Nuggets,LA Clippers,213,219.5,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Los Angeles Lakers,Sacramento Kings,258,231.66666666666666,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Memphis Grizzlies,Orlando Magic,235,222.16666666666666,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Minnesota Timberwolves,Toronto Raptors,213,220.33333333333334,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Phoenix Suns,Dallas Mavericks,216,232.33333333333334,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,San Antonio Spurs,Houston Rockets,215,224.16666666666666,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-26,Washington Wizards,Cleveland Cavaliers,251,229.0,,,NO_BET,NO_BET,0.0,0.0,24,insufficient_history
2024-10-27,Brooklyn Nets,Milwaukee Bucks,217,231.5,,,NO_BET,NO_BET,0.0,0.0,33,insufficient_history
2024-10-27,Golden State Warriors,LA Clippers,216,221.83333333333334,,,NO_BET,NO_BET,0.0,0.0,33,insufficient_history
2024-10-27,Indiana Pacers,Philadelphia 76ers,232,228.66666666666666,,,NO_BET,NO_BET,0.0,0.0,33,insufficient_history
2024-10-27,Oklahoma City Thunder,Atlanta Hawks,232,230.33333333333334,,,NO_BET,NO_BET,0.0,0.0,33,insufficient_history
2024-10-27,Portland Trail Blazers,New Orleans Pelicans,228,219.33333333333334,,,NO_BET,NO_BET,0.0,0.0,33,insufficient_history
2024-10-28,Atlanta Hawks,Washington Wizards,240,233.33333333333334,,,NO_BET,NO_BET,0.0,0.0,38,insufficient_history
2024-10-28,Dallas Mavericks,Utah Jazz,212,233.33333333333334,,,NO_BET,NO_BET,0.0,0.0,38,insufficient_history
2024-10-28,Memphis Grizzlies,Chicago Bulls,249,233.5,,,NO_BET,NO_BET,0.0,0.0,38,insufficient_history
2024-10-28,Miami Heat,Detroit Pistons,204,219.33333333333334,,,NO_BET,NO_BET,0.0,0.0,38,insufficient_history
