date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-03-13,North Texas Mean Green,Florida Atlantic Owls,home,-105,0.9442423821034511,0.5121951219512195,0.4320472601522316,0.4536496231598432,0.1,1000,home_ml
2026-03-12,Duquesne Dukes,Rhode Island Rams,away,-102,0.9311168600959638,0.504950495049505,0.4261663650464589,0.434689692347388,0.1,1000,away_ml
2026-03-12,Kent State Golden Flashes,Ohio Bobcats,home,-184,0.9650666781802647,0.647887323943662,0.3171793542366027,0.583610011795349,0.1,1000,home_ml
2026-03-12,Toledo Rockets,Bowling Green Falcons,home,-115,0.834871732870483,0.5348837209302325,0.2999880119402505,0.3449862137312881,0.08624655343282203,862,home_ml
2026-03-12,Ohio State Buckeyes,Iowa Hawkeyes,away,-110,0.8174057611059697,0.5238095238095238,0.2935962372964459,0.3229558610260905,0.08073896525652262,807,away_ml
2026-03-12,Charlotte 49ers,Tulane Green Wave,away,105,0.7500193792617049,0.4878048780487805,0.26221450121292444,0.2497280963932614,0.06243202409831535,624,away_ml
2026-03-12,Southern Jaguars,Arkansas-Pine Bluff Golden Lions,home,-215,0.9348175526093425,0.6825396825396826,0.25227787006965996,0.542397420649769,0.1,1000,home_ml
2026-03-13,Villanova Wildcats,Georgetown Hoyas,home,-315,0.9974509977210104,0.7590361445783133,0.23841485314269717,0.7510067873994961,0.1,1000,home_ml
2026-03-12,Virginia Cavaliers,NC State Wolfpack,home,-275,0.9544401973627209,0.7333333333333333,0.22110686402938762,0.6080438760808158,0.1,1000,home_ml
2026-03-12,Fordham Rams,GW Revolutionaries,away,-295,0.9587622324037364,0.7468354430379747,0.2119267893657617,0.625184028628997,0.1,1000,away_ml
2026-03-13,Kansas,TCU Horned Frogs,away,210,0.5185706573659364,0.3225806451612903,0.19599001220464612,0.09332857724030767,0.023332144310076918,233,away_ml
2026-03-13,Texas A&M Aggies,Oklahoma Sooners,home,-140,0.7664592002745129,0.5833333333333334,0.1831258669411795,0.25637621371765124,0.06409405342941281,641,home_ml
2026-03-13,CSU Fullerton Titans,UC Davis Aggies,away,112,0.650693698381124,0.4716981132075472,0.17899558517357683,0.15981748676212215,0.03995437169053054,400,away_ml
2026-03-12,Davidson,Loyola (Chi) Ramblers,home,-315,0.9135962179549926,0.7590361445783133,0.15456007337667932,0.48686423113653987,0.1,1000,home_ml
2026-03-12,Georgia,Ole Miss Rebels,away,205,0.466168511234224,0.32786885245901637,0.1382996587752076,0.06746324818302811,0.016865812045757027,169,away_ml
