week,game_date,home_team,away_team
1,2024-09-05,KC,BAL
1,2024-09-06,PHI,GB
1,2024-09-08,PIT,ATL
1,2024-09-08,BUF,ARI
1,2024-09-08,NO,CAR
1,2024-09-08,CHI,TEN
1,2024-09-08,NE,CIN
1,2024-09-08,HOU,IND
1,2024-09-08,MIA,JAX
1,2024-09-08,MIN,NYG
1,2024-09-08,SEA,DEN
1,2024-09-08,LAC,LV
1,2024-09-08,DAL,CLE
1,2024-09-08,TB,WAS
1,2024-09-08,DET,LAR
1,2024-09-09,SF,NYJ
2,2024-09-12,BUF,MIA
2,2024-09-15,LAC,CAR
2,2024-09-15,CLE,JAX
2,2024-09-15,GB,IND
2,2024-09-15,NO,DAL
2,2024-09-15,TB,DET
2,2024-09-15,MIN,SF
2,2024-09-15,SEA,NE
2,2024-09-15,WAS,NYG
2,2024-09-15,NYJ,TEN
2,2024-09-15,LV,BAL
2,2024-09-15,ARI,LAR
2,2024-09-15,KC,CIN
2,2024-09-15,PIT,DEN
2,2024-09-15,HOU,CHI
2,2024-09-16,ATL,PHI
3,2024-09-19,NYJ,NE
3,2024-09-22,IND,CHI
3,2024-09-22,NYG,CLE
3,2024-09-22,DEN,TB
3,2024-09-22,GB,TEN
3,2024-09-22,MIN,HOU
3,2024-09-22,PHI,NO
3,2024-09-22,PIT,LAC
3,2024-09-22,CAR,LV
3,2024-09-22,SEA,MIA
3,2024-09-22,DET,ARI
3,2024-09-22,BAL,DAL
3,2024-09-22,LAR,SF
3,2024-09-22,KC,ATL
3,2024-09-23,BUF,JAX
3,2024-09-23,WAS,CIN
4,2024-09-26,DAL,NYG
4,2024-09-29,ATL,NO
4,2024-09-29,CIN,CAR
4,2024-09-29,CHI,LAR
4,2024-09-29,IND,PIT
4,2024-09-29,DEN,NYJ
4,2024-09-29,MIN,GB
4,2024-09-29,HOU,JAX
4,2024-09-29,TB,PHI
4,2024-09-29,WAS,ARI
4,2024-09-29,SF,NE
4,2024-09-29,LV,CLE
4,2024-09-29,KC,LAC
4,2024-09-29,BAL,BUF
4,2024-09-30,TEN,MIA
4,2024-09-30,DET,SEA
19,2025-01-11,HOU,LAC
19,2025-01-11,BAL,PIT
19,2025-01-12,BUF,DEN
19,2025-01-12,PHI,GB
19,2025-01-12,WAS,TB
19,2025-01-13,LAR,MIN
20,2025-01-18,KC,HOU
20,2025-01-18,WAS,DET
20,2025-01-19,PHI,LAR
20,2025-01-19,BUF,BAL
21,2025-01-26,PHI,WAS
21,2025-01-26,KC,BUF
22,2025-02-09,PHI,KC
