week,game_date,home_team,away_team
1,2024-09-05,KC,BAL
1,2024-09-06,PHI,GB
1,2024-09-08,PIT,ATL
1,2024-09-08,BUF,ARI
1,2024-09-08,NO,CAR
1,2024-09-08,CHI,TEN
1,2024-09-08,NE,CIN
1,2024-09-08,HOU,IND
1,2024-09-08,MIA,JAX
1,2024-09-08,MIN,NYG
1,2024-09-08,SEA,DEN
1,2024-09-08,LAC,LV
1,2024-09-08,DAL,CLE
1,2024-09-08,TB,WAS
1,2024-09-08,DET,LAR
1,2024-09-09,SF,NYJ
2,2024-09-12,BUF,MIA
2,2024-09-15,LAC,CAR
2,2024-09-15,CLE,JAX
2,2024-09-15,GB,IND
2,2024-09-15,NO,DAL
2,2024-09-15,TB,DET
2,2024-09-15,MIN,SF
2,2024-09-15,SEA,NE
2,2024-09-15,WAS,NYG
2,2024-09-15,NYJ,TEN
2,2024-09-15,LV,BAL
2,2024-09-15,ARI,LAR
2,2024-09-15,KC,CIN
2,2024-09-15,PIT,DEN
2,2024-09-15,HOU,CHI
2,2024-09-16,ATL,PHI
3,2024-09-19,NYJ,NE
3,2024-09-22,IND,CHI
3,2024-09-22,NYG,CLE
3,2024-09-22,DEN,TB
3,2024-09-22,GB,TEN
3,2024-09-22,MIN,HOU
3,2024-09-22,PHI,NO
3,2024-09-22,PIT,LAC
3,2024-09-22,CAR,LV
3,2024-09-22,SEA,MIA
3,2024-09-22,DET,ARI
3,2024-09-22,BAL,DAL
3,2024-09-22,LAR,SF
3,2024-09-22,KC,ATL
3,2024-09-23,BUF,JAX
3,2024-09-23,WAS,CIN
4,2024-09-26,DAL,NYG
4,2024-09-29,ATL,NO
4,2024-09-29,CIN,CAR
4,2024-09-29,CHI,LAR
4,2024-09-29,IND,PIT
4,2024-09-29,DEN,NYJ
4,2024-09-29,MIN,GB
4,2024-09-29,HOU,JAX
4,2024-09-29,TB,PHI
4,2024-09-29,WAS,ARI
4,2024-09-29,SF,NE
4,2024-09-29,LV,CLE
4,2024-09-29,KC,LAC
4,2024-09-29,BAL,BUF
4,2024-09-30,TEN,MIA
4,2024-09-30,DET,SEA
5,2024-10-03,NE,BUF
5,2024-10-06,ARI,SEA
5,2024-10-06,ATL,TB
5,2024-10-06,BAL,CIN
5,2024-10-06,CHI,MIN
5,2024-10-06,CLE,DEN
5,2024-10-06,DAL,NYG
5,2024-10-06,DET,GB
5,2024-10-06,HOU,JAX
5,2024-10-06,IND,KC
5,2024-10-06,LAC,MIA
5,2024-10-06,LV,NO
5,2024-10-06,PHI,WAS
5,2024-10-06,PIT,SF
5,2024-10-06,TEN,CAR
5,2024-10-07,NYJ,LAR
6,2024-10-10,SF,SEA
6,2024-10-13,ATL,CAR
6,2024-10-13,BAL,WAS
6,2024-10-13,CHI,JAX
6,2024-10-13,CLE,PHI
6,2024-10-13,HOU,NE
6,2024-10-13,IND,TEN
6,2024-10-13,LAC,DEN
6,2024-10-13,NO,TB
6,2024-10-13,PIT,LV
6,2024-10-13,ARI,GB
6,2024-10-13,CIN,NYG
6,2024-10-13,DAL,DET
6,2024-10-14,NYJ,BUF
7,2024-10-17,NO,DEN
7,2024-10-20,KC,SF
7,2024-10-20,LAC,ARI
7,2024-10-20,MIA,IND
7,2024-10-20,MIN,DET
7,2024-10-20,NE,JAX
7,2024-10-20,PHI,NYG
7,2024-10-20,SEA,ATL
7,2024-10-20,TEN,BUF
7,2024-10-20,CIN,CLE
7,2024-10-20,HOU,GB
7,2024-10-20,LAR,LV
7,2024-10-20,WAS,CAR
7,2024-10-21,NYJ,PIT
7,2024-10-21,BAL,TB
8,2024-10-24,MIN,LAR
8,2024-10-27,ATL,TB
8,2024-10-27,BUF,SEA
8,2024-10-27,CIN,PHI
8,2024-10-27,DEN,CAR
8,2024-10-27,DET,TEN
8,2024-10-27,GB,JAX
8,2024-10-27,HOU,IND
8,2024-10-27,MIA,ARI
8,2024-10-27,NE,NYJ
8,2024-10-27,NO,LAC
8,2024-10-27,PIT,NYG
8,2024-10-27,CLE,BAL
8,2024-10-27,DAL,SF
8,2024-10-28,KC,LV
9,2024-10-31,NYJ,HOU
9,2024-11-03,ATL,DAL
9,2024-11-03,BUF,MIA
9,2024-11-03,CHI,ARI
9,2024-11-03,DEN,BAL
9,2024-11-03,GB,DET
9,2024-11-03,IND,MIN
9,2024-11-03,LAC,CLE
9,2024-11-03,LV,CIN
9,2024-11-03,NE,TEN
9,2024-11-03,NO,CAR
9,2024-11-03,PHI,JAX
9,2024-11-03,SEA,LAR
9,2024-11-03,TB,KC
9,2024-11-03,WAS,NYG
9,2024-11-04,PIT,WAS
10,2024-11-07,CIN,BAL
10,2024-11-10,ATL,NO
10,2024-11-10,BUF,IND
10,2024-11-10,CAR,NYG
10,2024-11-10,CHI,NE
10,2024-11-10,DEN,KC
10,2024-11-10,JAX,MIN
10,2024-11-10,MIA,LAR
10,2024-11-10,NYJ,ARI
10,2024-11-10,PHI,DAL
10,2024-11-10,PIT,WAS
10,2024-11-10,SF,TB
10,2024-11-10,TEN,LAC
10,2024-11-10,HOU,DET
11,2024-11-14,PHI,WAS
11,2024-11-17,BAL,PIT
11,2024-11-17,CHI,GB
11,2024-11-17,CLE,NO
11,2024-11-17,DET,JAX
11,2024-11-17,IND,NYJ
11,2024-11-17,KC,BUF
11,2024-11-17,LAC,CIN
11,2024-11-17,LAR,NE
11,2024-11-17,LV,MIA
11,2024-11-17,MIN,TEN
11,2024-11-17,SEA,SF
11,2024-11-17,ATL,DEN
11,2024-11-18,HOU,DAL
12,2024-11-21,PIT,CLE
12,2024-11-24,CHI,DET
12,2024-11-24,DAL,NYG
12,2024-11-24,GB,MIA
12,2024-11-24,ARI,SEA
12,2024-11-24,DEN,LV
12,2024-11-24,HOU,TEN
12,2024-11-24,IND,NE
12,2024-11-24,KC,CAR
12,2024-11-24,MIN,CHI
12,2024-11-24,NO,LAR
12,2024-11-24,PHI,BAL
12,2024-11-24,TB,NYG
12,2024-11-24,SF,GB
13,2024-11-28,DAL,WAS
13,2024-11-28,DET,CHI
13,2024-11-28,GB,MIA
13,2024-12-01,ATL,LAC
13,2024-12-01,ARI,MIN
13,2024-12-01,BAL,PHI
13,2024-12-01,CIN,PIT
13,2024-12-01,HOU,JAX
13,2024-12-01,IND,NE
13,2024-12-01,LAR,NO
13,2024-12-01,MIA,GB
13,2024-12-01,NYJ,SEA
13,2024-12-01,TB,CAR
13,2024-12-01,TEN,WAS
13,2024-12-01,SF,BUF
13,2024-12-02,NYG,DAL
14,2024-12-05,DET,GB
14,2024-12-08,ATL,MIN
14,2024-12-08,BUF,LAR
14,2024-12-08,CAR,PHI
14,2024-12-08,CLE,PIT
14,2024-12-08,JAX,TEN
14,2024-12-08,LV,TB
14,2024-12-08,MIA,NYJ
14,2024-12-08,NO,NYG
14,2024-12-08,SEA,ARI
14,2024-12-08,WAS,TEN
14,2024-12-08,CIN,DAL
14,2024-12-08,KC,LAC
14,2024-12-09,CHI,SF
15,2024-12-12,LAC,DEN
15,2024-12-15,ARI,NE
15,2024-12-15,BAL,NYG
15,2024-12-15,BUF,DET
15,2024-12-15,CIN,TEN
15,2024-12-15,DAL,CAR
15,2024-12-15,HOU,MIA
15,2024-12-15,JAX,NYJ
15,2024-12-15,KC,CLE
15,2024-12-15,LAR,SF
15,2024-12-15,NO,WAS
15,2024-12-15,PHI,PIT
15,2024-12-15,TB,LAC
15,2024-12-15,IND,DEN
15,2024-12-16,GB,SEA
15,2024-12-16,MIN,CHI
16,2024-12-19,CLE,CIN
16,2024-12-21,SEA,CHI
16,2024-12-22,BAL,HOU
16,2024-12-22,BUF,NE
16,2024-12-22,CAR,ARI
16,2024-12-22,DEN,LAC
16,2024-12-22,DET,CHI
16,2024-12-22,LAR,NYJ
16,2024-12-22,MIA,SF
16,2024-12-22,MIN,SEA
16,2024-12-22,NYG,ATL
16,2024-12-22,PHI,WAS
16,2024-12-22,PIT,BAL
16,2024-12-22,TEN,IND
16,2024-12-22,JAX,LV
16,2024-12-22,DAL,TB
16,2024-12-23,NO,GB
17,2024-12-25,KC,PIT
17,2024-12-25,BAL,HOU
17,2024-12-26,LAC,NE
17,2024-12-29,ARI,LAR
17,2024-12-29,ATL,WAS
17,2024-12-29,CAR,TB
17,2024-12-29,CHI,SEA
17,2024-12-29,CIN,DEN
17,2024-12-29,DAL,PHI
17,2024-12-29,GB,MIN
17,2024-12-29,IND,NYG
17,2024-12-29,JAX,TEN
17,2024-12-29,LV,NO
17,2024-12-29,MIA,CLE
17,2024-12-29,NYJ,BUF
17,2024-12-29,SF,DET
17,2024-12-30,DEN,CIN
18,2025-01-05,ATL,CAR
18,2025-01-05,BAL,CLE
18,2025-01-05,BUF,NYJ
18,2025-01-05,CHI,GB
18,2025-01-05,CIN,PIT
18,2025-01-05,DAL,WAS
18,2025-01-05,DEN,KC
18,2025-01-05,DET,MIN
18,2025-01-05,HOU,TEN
18,2025-01-05,IND,JAX
18,2025-01-05,LAC,LV
18,2025-01-05,LAR,SEA
18,2025-01-05,MIA,NE
18,2025-01-05,NO,TB
18,2025-01-05,NYG,PHI
18,2025-01-05,SF,ARI
19,2025-01-11,HOU,LAC
19,2025-01-11,BAL,PIT
19,2025-01-12,BUF,DEN
19,2025-01-12,PHI,GB
19,2025-01-12,WAS,TB
19,2025-01-13,LAR,MIN
20,2025-01-18,KC,HOU
20,2025-01-18,WAS,DET
20,2025-01-19,PHI,LAR
20,2025-01-19,BUF,BAL
21,2025-01-26,PHI,WAS
21,2025-01-26,KC,BUF
22,2025-02-09,PHI,KC
