player,date,side,line,oddsDec,pCal,stake,won,profit_pred_only,edge_abs,lastShots,L10_toi,books,lineStd
Josh Anderson,2024-02-06,under,2.1666666666666665,2.500,0.613,0.195,1,0.5323,0.210,2,15.88,6,0.471
Tom Wilson,2024-02-08,under,1.9,2.320,0.613,0.176,0,0.4219,0.412,0,17.58,5,0.490
Jordan Kyrou,2024-02-10,under,3.357142857142857,2.250,0.613,0.167,0,0.3790,0.801,1,18.54,7,0.350
Josh Anderson,2024-02-11,under,1.7857142857142858,2.500,0.585,0.170,1,0.4629,0.044,0,15.60,7,0.452
Yegor Sharangovich,2024-02-12,under,1.7,2.450,0.585,0.164,1,0.4337,0.061,1,17.80,5,0.400
Mason McTavish,2024-02-15,under,1.7857142857142858,2.300,0.585,0.146,0,0.3459,0.165,0,15.65,7,0.452
Matthew Tkachuk,2024-02-15,under,3.1666666666666665,2.500,0.613,0.195,1,0.5323,0.255,2,18.27,6,0.471
Carter Verhaeghe,2024-02-15,under,3.1666666666666665,2.400,0.613,0.185,1,0.4710,0.210,1,18.50,6,0.471
William Nylander,2024-02-15,under,4.166666666666667,2.150,0.585,0.123,1,0.2581,0.152,3,20.26,6,0.471
Drake Batherson,2024-02-17,under,1.7857142857142858,2.500,0.613,0.195,0,0.5323,0.371,1,16.95,7,0.452
Dylan Larkin,2024-02-17,under,2.7857142857142856,2.100,0.613,0.144,1,0.2871,0.217,3,19.44,7,0.452
Artemi Panarin,2024-02-18,under,2.9285714285714284,2.400,0.613,0.185,0,0.4710,0.482,1,19.71,7,0.495
Roope Hintz,2024-02-20,under,2.2142857142857144,2.300,0.613,0.173,0,0.4097,0.419,2,17.27,7,0.452
Nikolaj Ehlers,2024-02-20,under,2.7857142857142856,2.100,0.585,0.114,1,0.2289,0.076,1,15.99,7,0.452
Josh Anderson,2024-02-21,under,1.75,2.260,0.613,0.168,0,0.3852,0.229,1,14.55,8,0.433
Mason McTavish,2024-02-21,under,1.875,2.400,0.585,0.159,0,0.4044,0.171,2,15.40,8,0.484
Michael Eyssimont,2024-02-22,under,1.8333333333333333,2.450,0.585,0.164,1,0.4337,0.087,0,12.39,3,0.471
Dylan Larkin,2024-02-24,under,2.75,2.280,0.613,0.171,1,0.3974,0.311,2,19.60,8,0.433
Morgan Frost,2024-02-25,under,2.3,2.460,0.585,0.166,1,0.4395,0.116,1,17.18,5,0.400
Nikolaj Ehlers,2024-02-25,under,2.7857142857142856,2.100,0.613,0.144,1,0.2871,0.281,3,15.43,7,0.452
Seth Jarvis,2024-02-25,under,2.1666666666666665,2.450,0.613,0.190,1,0.5016,0.433,1,17.75,6,0.471
Connor Bedard,2024-02-25,under,2.7857142857142856,2.250,0.585,0.139,0,0.3166,0.039,1,18.34,7,0.452
Dylan Larkin,2024-02-25,under,2.7857142857142856,2.140,0.613,0.150,1,0.3116,0.450,2,19.45,7,0.452
Jason Robertson,2024-02-26,under,2.7857142857142856,2.400,0.585,0.159,1,0.4044,0.041,2,19.07,7,0.452
