segment,key,total,wins,losses,profit,roi,avgOdds,modelBias,marketBias
by_price_dispersion,priceDisp_low_under,92,56,36,9.47,0.1029,1.857,0.1,-0.228
by_books_count,books_2-3_under,300,190,110,25.57,0.0852,1.748,0.096,-0.243
by_dow,2_under,414,267,147,32.24,0.0779,1.692,0.103,-0.239
by_month,11_under,157,100,57,11.05,0.0704,1.704,0.082,-0.277
by_month,2_under,413,259,154,23.91,0.0579,1.715,0.123,-0.214
by_odds_bin,odds_>=2.20_under,128,59,69,7.26,0.0567,2.307,0.578,0.398
by_line_bucket,4.5_under,44,28,16,2.39,0.0543,1.668,0.035,-0.295
by_dow,3_under,144,88,56,6.77,0.047,1.705,0.003,-0.347
by_line_bucket,1.5_under,214,106,108,9.42,0.044,2.12,0.365,0.182
by_edge_bin,edge_<0.5_under,1461,895,566,64.08,0.0439,1.738,0.06,-0.156
by_L10_toi,toi_>=18_under,960,601,359,39.12,0.0407,1.676,0.094,-0.228
by_L10_shots_avg,shotsAvg_2-3_under,876,552,324,35.65,0.0407,1.677,0.094,-0.21
by_month,10_under,527,325,202,21.04,0.0399,1.71,0.122,-0.215
by_home,away_under,999,616,383,37.14,0.0372,1.705,0.125,-0.213
by_price_dispersion,priceDisp_med_under,875,525,350,31.99,0.0366,1.75,0.167,-0.137
by_line_dispersion,lineDisp_0_under,1673,1018,655,57.56,0.0344,1.726,0.172,-0.152
by_last_game_shots,lastShots_2-3_under,809,504,305,26.06,0.0322,1.672,0.112,-0.213
by_odds_bin,odds_1.80-2.00_under,160,88,72,5.02,0.0314,1.879,0.344,0.106
by_line_bucket,2.5_under,1329,829,500,25.15,0.0189,1.653,0.168,-0.187
by_dow,1_under,163,100,63,2.88,0.0177,1.691,0.205,-0.138
by_side,under,1944,1179,765,33.78,0.0174,1.703,0.173,-0.17
by_trainedOn,trained_>=2000_under,1944,1179,765,33.78,0.0174,1.703,0.173,-0.17
by_last_game_shots,lastShots_0-1_under,938,558,380,14.67,0.0156,1.742,0.231,-0.147
by_odds_bin,odds_<1.80_under,1503,958,545,20.88,0.0139,1.595,0.089,-0.296
by_L10_toi,toi_<15_under,265,153,112,1.9,0.0072,1.79,0.224,-0.149
by_books_count,books_>=4_under,1606,968,638,9.64,0.006,1.692,0.187,-0.157
by_L10_shots_avg,shotsAvg_3-4_under,160,97,63,0.75,0.0047,1.666,-0.097,-0.331
by_odds_bin,odds_2.00-2.20_under,153,74,79,0.62,0.0041,2.074,0.486,0.297
by_dow,0_under,199,119,80,0.49,0.0025,1.721,0.216,-0.143
by_month,4_under,294,175,119,-0.12,-0.0004,1.704,0.2,-0.122
by_dow,6_under,469,279,190,-0.56,-0.0012,1.696,0.208,-0.129
by_home,home_under,945,563,382,-3.36,-0.0036,1.701,0.224,-0.125
by_L10_shots_avg,shotsAvg_<2_under,896,521,375,-5.25,-0.0059,1.735,0.303,-0.1
by_price_dispersion,priceDisp_high_under,977,598,379,-7.68,-0.0079,1.646,0.185,-0.195
by_line_bucket,3.5_under,357,216,141,-3.18,-0.0089,1.643,0.092,-0.304
by_L10_toi,toi_15-18_under,719,425,294,-7.24,-0.0101,1.706,0.26,-0.101
by_dow,4_under,417,245,172,-5.8,-0.0139,1.709,0.21,-0.133
by_edge_bin,edge_>=1.0_under,41,26,15,-0.6,-0.0146,1.555,0.565,-0.573
by_dow,5_under,138,81,57,-2.24,-0.0162,1.725,0.228,-0.109
by_books_count,books_1_over,101,54,47,-3.34,-0.0331,1.816,-0.265,0.262
by_last_game_shots,lastShots_>=4_under,197,117,80,-6.95,-0.0353,1.644,0.148,-0.104
by_books_count,books_1_under,38,21,17,-1.43,-0.0376,1.818,0.21,-0.158
by_month,3_under,553,320,233,-22.1,-0.04,1.685,0.27,-0.09
by_line_bucket,4.5_over,126,60,66,-8.03,-0.0637,1.965,-0.992,0.238
by_edge_bin,edge_0.5-1.0_under,442,258,184,-29.7,-0.0672,1.6,0.511,-0.179
by_L10_toi,toi_15-18_over,1841,975,866,-133.09,-0.0723,1.779,-0.321,0.263
by_dow,6_over,1647,841,806,-135.57,-0.0823,1.832,-0.541,0.177
by_month,2_over,1575,806,769,-129.67,-0.0823,1.828,-0.536,0.218
by_dow,2_over,1400,718,682,-117.6,-0.084,1.822,-0.519,0.243
by_line_dispersion,lineDisp_>=0.05_under,271,161,110,-23.78,-0.0877,1.56,0.177,-0.282
by_last_game_shots,lastShots_>=4_over,1916,949,967,-170.78,-0.0891,1.879,-0.846,0.138
by_edge_bin,edge_>=1.0_over,1743,923,820,-161.43,-0.0926,1.737,-1.147,0.288
by_L10_shots_avg,shotsAvg_3-4_over,1519,746,773,-143.18,-0.0943,1.886,-0.839,0.113
by_L10_toi,toi_<15_over,470,253,217,-45.9,-0.0977,1.688,-0.092,0.381
by_odds_bin,odds_>=2.20_over,1054,403,651,-111.36,-0.1057,2.344,-0.783,-0.288
by_odds_bin,odds_1.80-2.00_over,768,364,404,-81.81,-0.1065,1.884,-0.614,0.066
by_price_dispersion,priceDisp_high_over,2709,1344,1365,-296.99,-0.1096,1.847,-0.638,0.162
by_month,4_over,1139,564,575,-124.83,-0.1096,1.841,-0.616,0.129
by_line_bucket,2.5_over,3190,1493,1697,-352.7,-0.1106,1.94,-0.659,0.053
by_books_count,books_>=4_over,5534,2735,2799,-632.14,-0.1142,1.834,-0.609,0.147
by_price_dispersion,priceDisp_low_over,265,130,135,-30.31,-0.1144,1.8,-0.335,0.198
by_line_dispersion,lineDisp_>=0.05_over,565,294,271,-65.76,-0.1164,1.771,-0.704,0.275
by_home,home_over,3383,1659,1724,-398.35,-0.1178,1.839,-0.603,0.164
