segment,key,total,wins,losses,profit,roi,avgOdds,modelBias,marketBias
by_odds_bin,odds_2.00-2.20_over,21,13,8,5.85,0.2786,2.06,-0.56,0.119
by_books_count,books_2-3_over,23,15,8,5.26,0.2287,1.85,0.128,0.761
by_edge_bin,edge_<0.5_under,35,23,12,3.94,0.1126,1.73,-0.208,-0.386
by_month,2_over,30,18,12,2.82,0.094,1.801,-0.252,0.367
by_L10_toi,toi_>=18_under,24,16,8,2.25,0.0938,1.628,-0.199,-0.542
by_last_game_shots,lastShots_2-3_over,73,41,32,4.59,0.0629,1.828,-0.35,0.267
by_line_dispersion,lineDisp_0_under,37,23,14,2.17,0.0586,1.708,0.021,-0.257
by_books_count,books_>=4_under,39,25,14,2.2,0.0564,1.671,-0.083,-0.397
by_L10_toi,toi_15-18_under,21,13,8,1.07,0.051,1.734,-0.111,-0.357
by_price_dispersion,priceDisp_high_under,29,19,10,1.18,0.0407,1.643,-0.167,-0.5
by_odds_bin,odds_1.80-2.00_over,27,15,12,0.91,0.0337,1.876,-0.559,0.13
by_odds_bin,odds_<1.80_under,37,24,13,1.08,0.0292,1.584,-0.236,-0.581
by_side,under,47,29,18,1.32,0.0281,1.689,-0.076,-0.372
by_trainedOn,trained_>=2000_under,47,29,18,1.32,0.0281,1.689,-0.076,-0.372
by_L10_toi,toi_15-18_over,49,28,21,0.49,0.01,1.774,-0.186,0.337
by_home,away_under,30,18,12,0.13,0.0043,1.712,0.04,-0.267
by_L10_shots_avg,shotsAvg_2-3_over,72,38,34,-0.43,-0.006,1.91,-0.453,0.153
by_month,3_over,43,22,21,-1.68,-0.0391,1.863,-0.619,0.105
by_price_dispersion,priceDisp_high_over,61,31,30,-2.51,-0.0411,1.896,-0.477,0.238
by_line_bucket,3.5_over,32,15,17,-2.23,-0.0697,1.879,-0.895,0.031
by_dow,2_over,27,14,13,-1.95,-0.0722,1.878,-0.48,0.241
by_dow,6_over,56,28,28,-4.2,-0.075,1.894,-0.586,0.071
by_line_bucket,2.5_under,29,16,13,-2.57,-0.0886,1.659,0.194,-0.052
by_edge_bin,edge_<0.5_over,70,34,36,-6.26,-0.0894,1.916,-0.1,0.157
by_line_bucket,2.5_over,87,41,46,-8.45,-0.0971,1.946,-0.728,-0.063
by_L10_shots_avg,shotsAvg_3-4_over,36,17,19,-3.87,-0.1075,1.859,-0.888,0
by_home,home_over,79,37,42,-8.74,-0.1106,1.872,-0.602,0.133
by_line_dispersion,lineDisp_0_over,165,77,88,-21.83,-0.1323,1.859,-0.698,0.003
by_side,over,169,79,90,-22.82,-0.135,1.856,-0.669,0.038
by_trainedOn,trained_>=2000_over,169,79,90,-22.82,-0.135,1.856,-0.669,0.038
by_last_game_shots,lastShots_0-1_under,20,10,10,-2.8,-0.14,1.732,-0.006,-0.25
by_edge_bin,edge_>=1.0_over,49,23,26,-7.52,-0.1535,1.826,-1.385,-0.071
by_dow,4_over,33,14,19,-5.11,-0.1548,1.926,-0.815,-0.045
by_home,away_over,90,42,48,-14.08,-0.1564,1.842,-0.728,-0.044
by_line_bucket,1.5_over,45,23,22,-7.14,-0.1587,1.638,-0.248,0.389
by_dow,1_over,23,11,12,-3.83,-0.1665,1.722,-0.304,0.283
by_edge_bin,edge_0.5-1.0_over,50,22,28,-9.04,-0.1808,1.803,-0.764,-0.02
by_L10_toi,toi_>=18_over,120,51,69,-23.31,-0.1943,1.89,-0.867,-0.083
by_odds_bin,odds_>=2.20_over,29,10,19,-5.78,-0.1993,2.326,-0.794,-0.259
by_month,11_over,40,17,23,-8.13,-0.2033,1.898,-0.655,-0.15
by_L10_shots_avg,shotsAvg_<2_under,20,10,10,-4.07,-0.2035,1.685,0.355,0
by_books_count,books_>=4_over,141,61,80,-28.94,-0.2052,1.852,-0.806,-0.082
by_price_dispersion,priceDisp_med_over,97,42,55,-20.47,-0.211,1.831,-0.827,-0.108
by_L10_shots_avg,shotsAvg_<2_over,37,17,20,-8.16,-0.2205,1.738,-0.186,0.257
by_last_game_shots,lastShots_0-1_over,44,19,25,-10.33,-0.2348,1.852,-0.537,0
by_month,10_over,29,12,17,-7.39,-0.2548,1.82,-0.8,0.121
by_month,4_over,25,10,15,-6.44,-0.2576,1.888,-0.991,-0.18
by_odds_bin,odds_<1.80_over,92,41,51,-23.8,-0.2587,1.656,-0.687,0.087
by_last_game_shots,lastShots_>=4_over,52,19,33,-17.08,-0.3285,1.9,-1.228,-0.25
by_L10_shots_avg,shotsAvg_>=4_over,24,7,17,-10.36,-0.4317,1.872,-1.736,-0.583
