segment,key,total,wins,losses,profit,roi,avgOdds,modelBias,marketBias
by_price_dispersion,priceDisp_low_under,92,56,36,9.47,0.1029,1.857,0.1,-0.228
by_books_count,books_2-3_under,304,191,113,23.76,0.0782,1.751,0.1,-0.237
by_dow,2_under,417,268,149,30.74,0.0737,1.692,0.105,-0.236
by_line_bucket,4.5_under,45,29,16,3.01,0.0669,1.667,-0.018,-0.344
by_month,11_under,167,105,62,9.95,0.0596,1.708,0.097,-0.254
by_month,2_under,413,259,154,23.91,0.0579,1.715,0.123,-0.214
by_odds_bin,odds_>=2.20_under,128,59,69,7.26,0.0567,2.307,0.578,0.398
by_dow,3_under,147,90,57,7.4,0.0503,1.709,0.006,-0.344
by_line_bucket,1.5_under,215,107,108,10.56,0.0491,2.12,0.356,0.174
by_edge_bin,edge_<0.5_under,1469,899,570,63.42,0.0432,1.738,0.06,-0.156
by_L10_toi,toi_>=18_under,964,604,360,40.2,0.0417,1.676,0.092,-0.229
by_month,10_under,524,323,201,20.8,0.0397,1.71,0.12,-0.218
by_home,away_under,1006,621,385,39.04,0.0388,1.705,0.121,-0.216
by_L10_shots_avg,shotsAvg_2-3_under,878,552,326,34.06,0.0388,1.677,0.096,-0.207
by_price_dispersion,priceDisp_med_under,878,526,352,31.6,0.036,1.752,0.168,-0.136
by_line_dispersion,lineDisp_0_under,1679,1020,659,55.61,0.0331,1.726,0.173,-0.15
by_last_game_shots,lastShots_2-3_under,809,504,305,26.63,0.0329,1.672,0.114,-0.212
by_odds_bin,odds_1.80-2.00_under,160,88,72,5.02,0.0314,1.88,0.344,0.106
by_dow,1_under,165,102,63,4.53,0.0275,1.693,0.193,-0.148
by_side,under,1952,1183,769,32.94,0.0169,1.703,0.173,-0.17
by_trainedOn,trained_>=2000_under,1952,1183,769,32.94,0.0169,1.703,0.173,-0.17
by_line_bucket,2.5_under,1335,831,504,22.08,0.0165,1.653,0.171,-0.184
by_last_game_shots,lastShots_0-1_under,942,559,383,12.64,0.0134,1.742,0.232,-0.144
by_odds_bin,odds_<1.80_under,1508,960,548,18.76,0.0124,1.595,0.089,-0.295
by_odds_bin,odds_2.00-2.20_under,156,76,80,1.9,0.0122,2.075,0.477,0.288
by_L10_toi,toi_<15_under,265,153,112,1.9,0.0072,1.79,0.224,-0.149
by_books_count,books_>=4_under,1610,971,639,10.61,0.0066,1.691,0.185,-0.158
by_L10_shots_avg,shotsAvg_3-4_under,160,97,63,0.75,0.0047,1.666,-0.097,-0.331
by_dow,0_under,199,119,80,0.49,0.0025,1.721,0.216,-0.143
by_dow,6_under,470,280,190,0.06,0.0001,1.696,0.203,-0.134
by_month,4_under,294,175,119,-0.12,-0.0004,1.704,0.2,-0.122
by_L10_shots_avg,shotsAvg_<2_under,901,524,377,-5.12,-0.0057,1.735,0.302,-0.1
by_home,home_under,946,562,384,-6.1,-0.0064,1.701,0.227,-0.122
by_line_bucket,3.5_under,357,216,141,-2.71,-0.0076,1.644,0.092,-0.304
by_price_dispersion,priceDisp_high_under,982,601,381,-8.13,-0.0083,1.645,0.184,-0.196
by_L10_toi,toi_15-18_under,723,426,297,-9.16,-0.0127,1.707,0.261,-0.099
by_edge_bin,edge_>=1.0_under,41,26,15,-0.6,-0.0146,1.555,0.565,-0.573
by_dow,4_under,418,245,173,-6.8,-0.0163,1.709,0.214,-0.129
by_dow,5_under,136,79,57,-3.48,-0.0256,1.724,0.24,-0.096
by_last_game_shots,lastShots_>=4_under,201,120,81,-6.33,-0.0315,1.642,0.131,-0.122
by_books_count,books_1_over,101,54,47,-3.34,-0.0331,1.816,-0.265,0.262
by_books_count,books_1_under,38,21,17,-1.43,-0.0376,1.818,0.21,-0.158
by_month,3_under,553,320,233,-22.1,-0.04,1.685,0.27,-0.09
by_edge_bin,edge_0.5-1.0_under,442,258,184,-29.88,-0.0676,1.6,0.512,-0.179
by_line_bucket,4.5_over,127,60,67,-9.03,-0.0711,1.967,-1.006,0.217
by_L10_toi,toi_15-18_over,1845,977,868,-134.1,-0.0727,1.78,-0.32,0.263
by_month,2_over,1575,806,769,-129.67,-0.0823,1.828,-0.536,0.218
by_line_dispersion,lineDisp_>=0.05_under,273,163,110,-22.67,-0.083,1.56,0.168,-0.291
by_dow,6_over,1660,846,814,-139.41,-0.084,1.833,-0.544,0.173
by_dow,2_over,1402,718,684,-119.6,-0.0853,1.822,-0.52,0.242
by_last_game_shots,lastShots_>=4_over,1924,952,972,-173.95,-0.0904,1.879,-0.847,0.136
by_edge_bin,edge_>=1.0_over,1747,927,820,-157.89,-0.0904,1.738,-1.146,0.289
by_L10_shots_avg,shotsAvg_3-4_over,1519,748,771,-139.01,-0.0915,1.886,-0.837,0.114
by_L10_toi,toi_<15_over,470,253,217,-45.9,-0.0977,1.688,-0.092,0.381
by_odds_bin,odds_1.80-2.00_over,773,369,404,-77.35,-0.1001,1.884,-0.608,0.072
by_odds_bin,odds_>=2.20_over,1061,404,657,-116.07,-0.1094,2.344,-0.792,-0.298
by_month,4_over,1139,564,575,-124.83,-0.1096,1.841,-0.616,0.129
by_price_dispersion,priceDisp_high_over,2712,1345,1367,-298.44,-0.11,1.848,-0.639,0.16
by_line_bucket,2.5_over,3202,1497,1705,-357.18,-0.1115,1.941,-0.661,0.05
by_price_dispersion,priceDisp_low_over,265,130,135,-30.31,-0.1144,1.8,-0.335,0.198
by_books_count,books_>=4_over,5557,2743,2814,-641.14,-0.1154,1.834,-0.611,0.144
by_line_dispersion,lineDisp_>=0.05_over,567,295,272,-66.25,-0.1168,1.772,-0.697,0.28
by_home,home_over,3393,1663,1730,-400.26,-0.118,1.839,-0.604,0.161
