date,home,away,home_score,away_score,btts,total_goals,season
2020-09-19,18.00  ACF Fiorentina,(0-0)  Torino FC,1,0,0,1,2020-21
2020-09-19,20.45  Hellas Verona FC,AS Roma,3,0,0,3,2020-21
2020-09-20,12.30  Parma Calcio 1913,(0-0)  SSC Napoli,0,2,0,2,2020-21
2020-09-20,15.00  Genoa CFC,(3-1)  FC Crotone,4,1,1,5,2020-21
2020-09-20,18.00  US Sassuolo Calcio,(0-1)  Cagliari Calcio,1,1,1,2,2020-21
2020-09-20,20.45  Juventus FC,(1-0)  UC Sampdoria,3,0,0,3,2020-21
2020-09-21,20.45  AC Milan,(1-0)  Bologna FC 1909,2,0,0,2,2020-21
2020-09-26,Cagliari Calcio,(0-1)  SS Lazio,0,2,0,2,2020-21
2020-09-26,20.45  FC Internazionale Milano,(1-1)  ACF Fiorentina,4,3,1,7,2020-21
2020-09-26,15.00  Torino FC,(2-3)  Atalanta BC,2,4,1,6,2020-21
2020-09-26,18.00  UC Sampdoria,(2-1)  Benevento Calcio,2,3,1,5,2020-21
2020-09-27,12.30  Spezia Calcio,(1-1)  US Sassuolo Calcio,1,4,1,5,2020-21
2020-09-27,15.00  Hellas Verona FC,(0-0)  Udinese Calcio,1,0,0,1,2020-21
2020-09-27,18.00  SSC Napoli,(1-0)  Genoa CFC,6,0,0,6,2020-21
2020-09-27,FC Crotone,(0-1)  AC Milan,0,2,0,2,2020-21
2020-09-27,20.45  AS Roma,(2-1)  Juventus FC,2,2,1,4,2020-21
2020-09-28,20.45  Bologna FC 1909,(2-0)  Parma Calcio 1913,4,1,1,5,2020-21
2020-09-30,18.00  Udinese Calcio,(0-1)  Spezia Calcio,0,2,0,2,2020-21
2020-09-30,Benevento Calcio,(1-4)  FC Internazionale Milano,2,5,1,7,2020-21
2020-09-30,20.45  SS Lazio,(0-3)  Atalanta BC,1,4,1,5,2020-21
2020-10-02,20.45  ACF Fiorentina,(0-1)  UC Sampdoria,1,2,1,3,2020-21
2020-10-03,20.45  Udinese Calcio,(0-0)  AS Roma,0,1,0,1,2020-21
2020-10-03,15.00  US Sassuolo Calcio,(1-0)  FC Crotone,4,1,1,5,2020-21
2020-10-04,12.30  Atalanta BC,(4-1)  Cagliari Calcio,5,2,1,7,2020-21
2020-10-04,15.00  SS Lazio,(0-1)  FC Internazionale Milano,1,1,1,2,2020-21
2020-10-04,Parma Calcio 1913,(1-0)  Hellas Verona FC,1,0,0,1,2020-21
2020-10-04,Benevento Calcio,(0-0)  Bologna FC 1909,1,0,0,1,2020-21
2020-10-04,18.00  AC Milan,(0-0)  Spezia Calcio,3,0,0,3,2020-21
2020-10-17,15.00  SSC Napoli,(4-0)  Atalanta BC,4,1,1,5,2020-21
2020-10-17,18.00  FC Internazionale Milano,(1-2)  AC Milan,1,2,1,3,2020-21
2020-10-17,UC Sampdoria,(2-0)  SS Lazio,3,0,0,3,2020-21
2020-10-17,20.45  FC Crotone,(1-1)  Juventus FC,1,1,1,2,2020-21
2020-10-18,20.45  AS Roma,(2-1)  Benevento Calcio,5,2,1,7,2020-21
2020-10-18,18.00  Udinese Calcio,(1-1)  Parma Calcio 1913,3,2,1,5,2020-21
2020-10-18,15.00  Torino FC,(1-2)  Cagliari Calcio,2,3,1,5,2020-21
2020-10-18,12.30  Bologna FC 1909,(2-1)  US Sassuolo Calcio,3,4,1,7,2020-21
2020-10-18,Spezia Calcio,(1-2)  ACF Fiorentina,2,2,1,4,2020-21
2020-10-19,20.45  Hellas Verona FC,Genoa CFC,0,0,0,0,2020-21
2020-10-23,20.45  US Sassuolo Calcio,(0-1)  Torino FC,3,3,1,6,2020-21
