date,home,away,home_original,away_original,btts_yes_odds,btts_no_odds,bookmaker
2025-11-28 19:45:00+00:00,como,sassuolo,Como,Sassuolo,1.97,1.88,pinnacle
2025-11-29 14:00:00+00:00,genoa,verona,Genoa,Hellas Verona,2.35,1.63,pinnacle
2025-11-29 14:00:00+00:00,parma,udinese,Parma,Udinese,1.92,1.93,pinnacle
2025-11-29 17:00:00+00:00,juventus,cagliari,Juventus,Cagliari,2.41,1.61,pinnacle
2025-11-29 19:45:00+00:00,milan,lazio,AC Milan,Lazio,2.01,1.85,pinnacle
2025-11-30 11:30:00+00:00,lecce,torino,Lecce,Torino,2.19,1.72,pinnacle
2025-11-30 14:00:00+00:00,pisa,inter,Pisa,Inter Milan,2.18,1.72,pinnacle
2025-11-30 17:00:00+00:00,atalanta,fiorentina,Atalanta BC,Fiorentina,1.86,1.99,pinnacle
2025-11-30 19:45:00+00:00,roma,napoli,AS Roma,Napoli,2.04,1.82,pinnacle
2025-12-01 19:45:00+00:00,bologna,cremonese,Bologna,Cremonese,2.35,1.63,pinnacle
2025-12-06 14:00:00+00:00,sassuolo,fiorentina,Sassuolo,Fiorentina,1.83,1.91,williamhill
2025-12-06 17:00:00+00:00,inter,como,Inter Milan,Como,1.85,1.85,williamhill
2025-12-06 19:45:00+00:00,verona,atalanta,Hellas Verona,Atalanta BC,1.85,1.85,williamhill
2025-12-07 11:30:00+00:00,cremonese,lecce,Cremonese,Lecce,2.05,1.73,williamhill
2025-12-07 14:00:00+00:00,cagliari,roma,Cagliari,AS Roma,1.95,1.75,williamhill
2025-12-07 17:00:00+00:00,lazio,bologna,Lazio,Bologna,1.95,1.8,williamhill
2025-12-07 19:45:00+00:00,napoli,juventus,Napoli,Juventus,1.95,1.8,williamhill
2025-12-08 14:00:00+00:00,pisa,parma,Pisa,Parma,2.0,1.75,williamhill
2025-12-08 17:00:00+00:00,udinese,genoa,Udinese,Genoa,2.0,1.75,williamhill
2025-12-08 19:45:00+00:00,torino,milan,Torino,AC Milan,1.91,1.85,williamhill
