Week,Kickoff_Date,Kickoff_Time_ET,Away_Team,Home_Team,Matchup,Vegas_Spread,Spread_Pick,Spread_Team,Spread_Confidence,Spread_Edge,Vegas_Total,Total_Pick,Total_Confidence,Total_Edge,Model_Total
10,11/09/2025,09:30 AM,ATL,IND,ATL @ IND,-6.5,HOME,IND,70%,6.50,48.5,OVER,78%,0.10,48.5
10,11/09/2025,01:00 PM,BAL,MIN,BAL @ MIN,4.5,AWAY,BAL,70%,4.50,48.5,UNDER,83%,0.54,48.5
10,11/09/2025,01:00 PM,BUF,MIA,BUF @ MIA,9.5,AWAY,BUF,70%,9.50,49.5,UNDER,83%,1.10,49.5
10,11/09/2025,01:00 PM,NO,CAR,NO @ CAR,-5.5,HOME,CAR,70%,5.50,38.5,UNDER,81%,1.83,38.5
10,11/09/2025,01:00 PM,NYG,CHI,NYG @ CHI,-4.5,HOME,CHI,70%,4.50,46.5,OVER,84%,0.79,46.5
10,11/09/2025,01:00 PM,CLE,NYJ,CLE @ NYJ,2.5,AWAY,CLE,70%,2.50,37.5,UNDER,79%,1.06,37.5
10,11/09/2025,01:00 PM,JAX,HOU,JAX @ HOU,1.5,AWAY,JAX,65%,1.50,37.5,OVER,77%,0.47,37.5
10,11/09/2025,01:00 PM,NE,TB,NE @ TB,-2.5,HOME,TB,70%,2.50,48.5,OVER,82%,1.88,48.5
10,11/09/2025,04:05 PM,ARI,SEA,ARI @ SEA,-6.5,HOME,SEA,70%,6.50,44.5,UNDER,85%,0.75,44.5
10,11/09/2025,04:25 PM,DET,WAS,DET @ WAS,8.5,AWAY,DET,70%,8.50,48.5,UNDER,82%,0.38,48.5
10,11/09/2025,04:25 PM,LAR,SF,LAR @ SF,4.5,AWAY,LAR,70%,4.50,49.5,OVER,84%,0.97,49.5
10,11/09/2025,08:20 PM,PIT,LAC,PIT @ LAC,-2.5,HOME,LAC,70%,2.50,44.5,OVER,79%,1.33,44.5
10,11/10/2025,08:15 PM,PHI,GB,PHI @ GB,-1.5,HOME,GB,65%,1.50,44.5,UNDER,85%,1.92,44.5
