Week,Matchup,Home,Away,Kickoff,Spread_Side,Spread_Team,Spread_Line,Spread_Conf,Spread_Edge,Total_Side,Total_Line,Total_Conf,Total_Edge,Model_Total
10,ATL @ IND,IND,ATL,11/09, 09:30 AM,home,IND,-6.5,70%,6.50,over,48.5,78%,0.10,48.5
10,BAL @ MIN,MIN,BAL,11/09, 01:00 PM,away,BAL,4.5,70%,4.50,under,48.5,83%,0.54,48.5
10,BUF @ MIA,MIA,BUF,11/09, 01:00 PM,away,BUF,9.5,70%,9.50,under,49.5,83%,1.10,49.5
10,NO @ CAR,CAR,NO,11/09, 01:00 PM,home,CAR,-5.5,70%,5.50,under,38.5,81%,1.83,38.5
10,NYG @ CHI,CHI,NYG,11/09, 01:00 PM,home,CHI,-4.5,70%,4.50,over,46.5,84%,0.79,46.5
10,CLE @ NYJ,NYJ,CLE,11/09, 01:00 PM,away,CLE,2.5,70%,2.50,under,37.5,79%,1.06,37.5
10,JAX @ HOU,HOU,JAX,11/09, 01:00 PM,away,JAX,1.5,65%,1.50,over,37.5,77%,0.47,37.5
10,NE @ TB,TB,NE,11/09, 01:00 PM,home,TB,-2.5,70%,2.50,over,48.5,82%,1.88,48.5
10,ARI @ SEA,SEA,ARI,11/09, 04:05 PM,home,SEA,-6.5,70%,6.50,under,44.5,85%,0.75,44.5
10,DET @ WAS,WAS,DET,11/09, 04:25 PM,away,DET,8.5,70%,8.50,under,48.5,82%,0.38,48.5
10,LAR @ SF,SF,LAR,11/09, 04:25 PM,away,LAR,4.5,70%,4.50,over,49.5,84%,0.97,49.5
10,PIT @ LAC,LAC,PIT,11/09, 08:20 PM,home,LAC,-2.5,70%,2.50,over,44.5,79%,1.33,44.5
10,PHI @ GB,GB,PHI,11/10, 08:15 PM,home,GB,-1.5,65%,1.50,under,44.5,85%,1.92,44.5
