Rank,Player,Position,Team,Game,Anytime TD Probability (%),Recent TD Rate,Red Zone Opps,Explosiveness,Consistency,Season TDs,Implied Odds
1,Hassan Haskins,RB,LAC,DEN @ LAC,65.0,2.00,5.3,0.200,1.00,4,-54
2,Trevor Etienne,RB,CAR,ATL @ CAR,57.8,2.00,5.3,0.000,1.00,4,-73
3,Jerome Ford,RB,CLE,GB @ CLE,57.8,2.00,5.0,0.000,1.00,4,-73
4,Chris Brooks,RB,GB,GB @ CLE,57.8,2.00,5.0,1.000,1.00,4,-73
5,MarShawn Lloyd,RB,GB,GB @ CLE,57.8,2.00,5.0,0.000,1.00,4,-73
6,Tyjae Spears,RB,TEN,IND @ TEN,57.8,2.00,5.7,0.000,1.00,4,-73
7,Jarquez Hunter,RB,LAR,LAR @ PHI,57.8,3.00,8.2,0.000,1.00,6,-73
8,Braelon Allen,RB,NYJ,NYJ @ TB,57.8,3.00,8.2,0.000,1.00,6,-73
9,Devin Neal,RB,NO,NO @ SEA,57.8,2.00,5.7,0.000,1.00,4,-73
10,Roschon Johnson,RB,CHI,DAL @ CHI,57.8,2.00,5.3,0.000,1.00,4,-73
11,Christian McCaffrey,RB,SF,ARI @ SF,57.8,6.00,16.8,0.000,1.00,12,-73
12,Brian Robinson Jr.,RB,SF,ARI @ SF,57.8,2.00,5.0,0.000,1.00,4,-73
13,Isaac Guerendo,RB,SF,ARI @ SF,57.8,2.00,5.3,0.000,1.00,4,-73
14,D'Ernest Johnson,RB,BAL,DET @ BAL,57.8,2.00,5.0,0.000,1.00,4,-73
15,Pat Bryant,WR,DEN,DEN @ LAC,56.3,2.00,6.4,0.500,1.00,4,-78
16,Cooper Kupp,WR,SEA,NO @ SEA,56.3,2.00,5.7,0.400,1.00,4,-78
17,Xazavian Valladay,RB,MIN,CIN @ MIN,54.5,1.50,3.8,0.400,0.50,3,-83
18,Carson Steele,RB,KC,KC @ NYG,50.5,1.50,4.5,0.143,0.50,3,-98
19,De'Von Achane,RB,MIA,MIA @ BUF,48.8,2.50,6.6,0.000,0.50,5,+105
20,Rhamondre Stevenson,RB,NE,PIT @ NE,48.8,2.50,7.0,0.000,0.50,5,+105
21,Saquon Barkley,RB,PHI,LAR @ PHI,48.8,4.50,13.0,0.333,0.50,9,+105
22,Rachaad White,RB,TB,NYJ @ TB,48.8,2.50,6.6,0.000,0.50,5,+105
23,Phil Mafah,RB,DAL,DAL @ CHI,48.8,1.50,4.1,0.111,0.50,3,+105
24,Derrick Henry,RB,BAL,DET @ BAL,48.8,3.50,9.1,0.200,0.50,7,+105
25,Jake Bobo,WR,SEA,NO @ SEA,47.8,1.50,4.8,0.333,0.50,3,+109
26,Jaylin Noel,WR,HOU,HOU @ JAX,47.4,1.50,4.8,0.333,0.50,3,+111
27,Olamide Zaccheaus,WR,CHI,DAL @ CHI,47.3,1.50,4.8,0.333,0.50,3,+111
28,Jakobi Meyers,WR,LV,LV @ WAS,46.9,2.00,6.4,0.091,1.00,4,+113
29,Ja'Marr Chase,WR,CIN,CIN @ MIN,45.8,2.50,7.3,0.111,0.50,5,+118
30,Ray Davis,RB,BUF,MIA @ BUF,44.7,1.00,2.9,1.000,1.00,2,+124
31,Ben Skowronek,WR,PIT,PIT @ NE,43.8,2.00,6.4,0.000,1.00,4,+129
32,Malik Washington,WR,MIA,MIA @ BUF,42.9,1.00,3.2,0.667,1.00,2,+133
