Rank,Player,Position,Team,Game,Multiple TD Probability (%),Recent TD Rate,Red Zone Opps,Explosiveness,Consistency,Season TDs,Implied Odds
1,Hassan Haskins,RB,LAC,DEN @ LAC,35.0,2.00,5.3,0.200,1.00,4,+186
2,Trevor Etienne,RB,CAR,ATL @ CAR,35.0,2.00,5.3,0.000,1.00,4,+186
3,Jerome Ford,RB,CLE,GB @ CLE,35.0,2.00,5.0,0.000,1.00,4,+186
4,Chris Brooks,RB,GB,GB @ CLE,35.0,2.00,5.0,1.000,1.00,4,+186
5,MarShawn Lloyd,RB,GB,GB @ CLE,35.0,2.00,5.0,0.000,1.00,4,+186
6,Tyjae Spears,RB,TEN,IND @ TEN,35.0,2.00,5.7,0.000,1.00,4,+186
7,Jarquez Hunter,RB,LAR,LAR @ PHI,35.0,3.00,8.2,0.000,1.00,6,+186
8,Braelon Allen,RB,NYJ,NYJ @ TB,35.0,3.00,8.2,0.000,1.00,6,+186
9,Devin Neal,RB,NO,NO @ SEA,35.0,2.00,5.7,0.000,1.00,4,+186
10,Roschon Johnson,RB,CHI,DAL @ CHI,35.0,2.00,5.3,0.000,1.00,4,+186
11,Christian McCaffrey,RB,SF,ARI @ SF,35.0,6.00,16.8,0.000,1.00,12,+186
12,Brian Robinson Jr.,RB,SF,ARI @ SF,35.0,2.00,5.0,0.000,1.00,4,+186
13,Isaac Guerendo,RB,SF,ARI @ SF,35.0,2.00,5.3,0.000,1.00,4,+186
14,D'Ernest Johnson,RB,BAL,DET @ BAL,35.0,2.00,5.0,0.000,1.00,4,+186
15,Pat Bryant,WR,DEN,DEN @ LAC,35.0,2.00,6.4,0.500,1.00,4,+186
16,Cooper Kupp,WR,SEA,NO @ SEA,35.0,2.00,5.7,0.400,1.00,4,+186
17,Xazavian Valladay,RB,MIN,CIN @ MIN,35.0,1.50,3.8,0.400,0.50,3,+186
18,Carson Steele,RB,KC,KC @ NYG,35.0,1.50,4.5,0.143,0.50,3,+186
19,De'Von Achane,RB,MIA,MIA @ BUF,35.0,2.50,6.6,0.000,0.50,5,+186
20,Rhamondre Stevenson,RB,NE,PIT @ NE,35.0,2.50,7.0,0.000,0.50,5,+186
21,Saquon Barkley,RB,PHI,LAR @ PHI,35.0,4.50,13.0,0.333,0.50,9,+186
22,Rachaad White,RB,TB,NYJ @ TB,35.0,2.50,6.6,0.000,0.50,5,+186
23,Phil Mafah,RB,DAL,DAL @ CHI,35.0,1.50,4.1,0.111,0.50,3,+186
24,Derrick Henry,RB,BAL,DET @ BAL,35.0,3.50,9.1,0.200,0.50,7,+186
25,Jake Bobo,WR,SEA,NO @ SEA,35.0,1.50,4.8,0.333,0.50,3,+186
26,Jaylin Noel,WR,HOU,HOU @ JAX,35.0,1.50,4.8,0.333,0.50,3,+186
27,Olamide Zaccheaus,WR,CHI,DAL @ CHI,35.0,1.50,4.8,0.333,0.50,3,+186
28,Jakobi Meyers,WR,LV,LV @ WAS,35.0,2.00,6.4,0.091,1.00,4,+186
29,Ja'Marr Chase,WR,CIN,CIN @ MIN,35.0,2.50,7.3,0.111,0.50,5,+186
30,Ray Davis,RB,BUF,MIA @ BUF,35.0,1.00,2.9,1.000,1.00,2,+186
31,Ben Skowronek,WR,PIT,PIT @ NE,35.0,2.00,6.4,0.000,1.00,4,+186
32,Malik Washington,WR,MIA,MIA @ BUF,35.0,1.00,3.2,0.667,1.00,2,+186
33,Brycen Tremayne,WR,CAR,ATL @ CAR,35.0,1.00,3.2,1.000,1.00,2,+186
34,Dontayvion Wicks,WR,GB,GB @ CLE,35.0,1.00,3.2,1.000,1.00,2,+186
35,Devaughn Vele,WR,NO,NO @ SEA,35.0,1.00,3.2,1.000,1.00,2,+186
36,Tre Tucker,WR,LV,LV @ WAS,35.0,1.50,4.8,0.167,0.50,3,+186
37,Adam Thielen,WR,MIN,CIN @ MIN,35.0,1.00,3.2,0.500,1.00,2,+186
38,Dylan Sampson,RB,CLE,GB @ CLE,35.0,1.50,4.1,0.000,0.50,3,+186
39,Josh Jacobs,RB,GB,GB @ CLE,35.0,1.50,4.5,0.250,0.50,3,+186
40,Ja'Quinden Jackson,RB,JAX,HOU @ JAX,35.0,1.50,4.1,0.000,0.50,3,+186
41,Chase Brown,RB,CIN,CIN @ MIN,35.0,1.50,4.5,0.200,0.50,3,+186
42,Cam Akers,RB,MIN,CIN @ MIN,35.0,1.50,4.1,0.000,0.50,3,+186
43,Aaron Jones Sr.,RB,MIN,CIN @ MIN,35.0,1.50,4.1,0.000,0.50,3,+186
44,TreVeyon Henderson,RB,NE,PIT @ NE,35.0,1.50,3.8,0.000,0.50,3,+186
45,Jaylen Warren,RB,PIT,PIT @ NE,35.0,1.50,3.8,0.000,0.50,3,+186
46,Kaleb Johnson,RB,PIT,PIT @ NE,35.0,1.50,3.8,0.000,0.50,3,+186
47,Tony Pollard,RB,TEN,IND @ TEN,35.0,1.50,4.5,0.167,0.50,3,+186
48,Jordan Mims,RB,TEN,IND @ TEN,35.0,1.50,4.1,0.000,0.50,3,+186
49,Kalel Mullings,RB,TEN,IND @ TEN,35.0,1.50,4.1,0.000,0.50,3,+186
50,Breece Hall,RB,NYJ,NYJ @ TB,35.0,1.50,4.1,0.200,0.50,3,+186
