Rank,Player,Position,Team,Game,Anytime TD Probability (%),Red Zone Targets,Red Zone Carries,Snap Share (%),Target Share (%),Team Quality
1,Tyreek Hill,WR,MIA,MIA @ BUF,27.1,2.3,0.0,70.0,22.0,1.15
2,Christian McCaffrey,RB,SF,ARI @ SF,27.1,1.9,2.5,60.0,12.0,1.25
3,Saquon Barkley,RB,PHI,LAR @ PHI,26.9,1.8,2.4,60.0,12.0,1.20
4,Derrick Henry,RB,BAL,DET @ BAL,26.8,1.8,2.4,60.0,12.0,1.18
5,Davante Adams,WR,LAR,LAR @ PHI,26.7,2.0,0.0,70.0,22.0,1.02
6,Cooper Kupp,WR,SEA,NO @ SEA,26.5,1.9,0.0,70.0,22.0,0.95
7,Nick Chubb,RB,HOU,HOU @ JAX,26.4,1.6,2.1,60.0,12.0,1.05
8,Travis Kelce,TE,KC,KC @ NYG,26.0,2.4,0.0,75.0,18.0,1.35
9,Keon Coleman,WR,BUF,MIA @ BUF,24.7,2.6,0.0,70.0,22.0,1.30
10,Brandon Aiyuk,WR,SF,ARI @ SF,24.6,2.5,0.0,70.0,22.0,1.25
11,A.J. Brown,WR,PHI,LAR @ PHI,24.5,2.4,0.0,70.0,22.0,1.20
12,DeVonta Smith,WR,PHI,LAR @ PHI,24.5,2.4,0.0,70.0,22.0,1.20
13,Josh Allen,QB,BUF,MIA @ BUF,23.8,0.0,0.4,98.0,0.0,1.30
14,James Cook III,RB,BUF,MIA @ BUF,23.8,2.0,2.6,60.0,12.0,1.30
15,Lamar Jackson,QB,BAL,DET @ BAL,23.7,0.0,0.4,98.0,0.0,1.18
16,Dalton Kincaid,TE,BUF,MIA @ BUF,23.7,2.3,0.0,75.0,18.0,1.30
17,Marquise Brown,WR,KC,KC @ NYG,23.1,2.7,0.0,70.0,22.0,1.35
18,Tyquan Thornton,WR,KC,KC @ NYG,23.1,2.7,0.0,70.0,22.0,1.35
19,Xavier Worthy,WR,KC,KC @ NYG,23.1,2.7,0.0,70.0,22.0,1.35
20,JuJu Smith-Schuster,WR,KC,KC @ NYG,23.1,2.7,0.0,70.0,22.0,1.35
21,Rashee Rice,WR,KC,KC @ NYG,23.1,2.7,0.0,70.0,22.0,1.35
22,Jalen Royals,WR,KC,KC @ NYG,23.1,2.7,0.0,70.0,22.0,1.35
23,Khalil Shakir,WR,BUF,MIA @ BUF,23.0,2.6,0.0,70.0,22.0,1.30
