Rank,Player,Position,Team,Game,Multiple TD Probability (%),Red Zone Targets,Red Zone Carries,Snap Share (%),Target Share (%),Team Quality
1,Tyreek Hill,WR,MIA,MIA @ BUF,12.4,2.3,0.0,70.0,22.0,1.15
2,Christian McCaffrey,RB,SF,ARI @ SF,12.4,1.9,2.5,60.0,12.0,1.25
3,Saquon Barkley,RB,PHI,LAR @ PHI,12.2,1.8,2.4,60.0,12.0,1.20
4,Derrick Henry,RB,BAL,DET @ BAL,12.2,1.8,2.4,60.0,12.0,1.18
5,Davante Adams,WR,LAR,LAR @ PHI,12.1,2.0,0.0,70.0,22.0,1.02
6,Cooper Kupp,WR,SEA,NO @ SEA,12.0,1.9,0.0,70.0,22.0,0.95
7,Nick Chubb,RB,HOU,HOU @ JAX,11.9,1.6,2.1,60.0,12.0,1.05
8,Travis Kelce,TE,KC,KC @ NYG,11.6,2.4,0.0,75.0,18.0,1.35
9,Keon Coleman,WR,BUF,MIA @ BUF,10.7,2.6,0.0,70.0,22.0,1.30
10,Brandon Aiyuk,WR,SF,ARI @ SF,10.6,2.5,0.0,70.0,22.0,1.25
11,A.J. Brown,WR,PHI,LAR @ PHI,10.5,2.4,0.0,70.0,22.0,1.20
12,DeVonta Smith,WR,PHI,LAR @ PHI,10.5,2.4,0.0,70.0,22.0,1.20
13,Josh Allen,QB,BUF,MIA @ BUF,10.1,0.0,0.4,98.0,0.0,1.30
14,James Cook III,RB,BUF,MIA @ BUF,10.0,2.0,2.6,60.0,12.0,1.30
15,Lamar Jackson,QB,BAL,DET @ BAL,10.0,0.0,0.4,98.0,0.0,1.18
16,Dalton Kincaid,TE,BUF,MIA @ BUF,10.0,2.3,0.0,75.0,18.0,1.30
17,Marquise Brown,WR,KC,KC @ NYG,9.6,2.7,0.0,70.0,22.0,1.35
18,Tyquan Thornton,WR,KC,KC @ NYG,9.6,2.7,0.0,70.0,22.0,1.35
19,Xavier Worthy,WR,KC,KC @ NYG,9.6,2.7,0.0,70.0,22.0,1.35
20,JuJu Smith-Schuster,WR,KC,KC @ NYG,9.6,2.7,0.0,70.0,22.0,1.35
21,Rashee Rice,WR,KC,KC @ NYG,9.6,2.7,0.0,70.0,22.0,1.35
22,Jalen Royals,WR,KC,KC @ NYG,9.6,2.7,0.0,70.0,22.0,1.35
23,Khalil Shakir,WR,BUF,MIA @ BUF,9.5,2.6,0.0,70.0,22.0,1.30
24,Joshua Palmer,WR,BUF,MIA @ BUF,9.5,2.6,0.0,70.0,22.0,1.30
25,Elijah Moore,WR,BUF,MIA @ BUF,9.5,2.6,0.0,70.0,22.0,1.30
26,Curtis Samuel,WR,BUF,MIA @ BUF,9.5,2.6,0.0,70.0,22.0,1.30
27,Tyrell Shavers,WR,BUF,MIA @ BUF,9.5,2.6,0.0,70.0,22.0,1.30
28,Gabe Davis,WR,BUF,MIA @ BUF,9.5,2.6,0.0,70.0,22.0,1.30
29,Jauan Jennings,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
30,Ricky Pearsall,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
31,Kendrick Bourne,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
32,Marquez Valdes-Scantling,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
33,Russell Gage Jr.,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
34,Demarcus Robinson,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
35,Skyy Moore,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
36,Jacob Cowing,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
37,Jordan Watkins,WR,SF,ARI @ SF,9.4,2.5,0.0,70.0,22.0,1.25
38,Jahan Dotson,WR,PHI,LAR @ PHI,9.4,2.4,0.0,70.0,22.0,1.20
39,Javon Baker,WR,PHI,LAR @ PHI,9.4,2.4,0.0,70.0,22.0,1.20
40,CeeDee Lamb,WR,DAL,DAL @ CHI,9.4,2.4,0.0,70.0,22.0,1.18
41,George Pickens,WR,DAL,DAL @ CHI,9.4,2.4,0.0,70.0,22.0,1.18
42,KaVontae Turpin,WR,DAL,DAL @ CHI,9.4,2.4,0.0,70.0,22.0,1.18
43,Jalen Tolbert,WR,DAL,DAL @ CHI,9.4,2.4,0.0,70.0,22.0,1.18
44,Jonathan Mingo,WR,DAL,DAL @ CHI,9.4,2.4,0.0,70.0,22.0,1.18
45,Zay Flowers,WR,BAL,DET @ BAL,9.4,2.4,0.0,70.0,22.0,1.18
46,Rashod Bateman,WR,BAL,DET @ BAL,9.4,2.4,0.0,70.0,22.0,1.18
47,DeAndre Hopkins,WR,BAL,DET @ BAL,9.4,2.4,0.0,70.0,22.0,1.18
48,Devontez Walker,WR,BAL,DET @ BAL,9.4,2.4,0.0,70.0,22.0,1.18
49,Tylan Wallace,WR,BAL,DET @ BAL,9.4,2.4,0.0,70.0,22.0,1.18
50,Jaylen Waddle,WR,MIA,MIA @ BUF,9.3,2.3,0.0,70.0,22.0,1.15
