Game,Time,Original_Spread,Adjusted_Spread,Spread_Adj,Original_Total,Adjusted_Total,Total_Adj,Home_Win_Prob,Away_Win_Prob,Over_Prob,Under_Prob,Home_Injuries,Away_Injuries,Injury_Impact_Home,Injury_Impact_Away,Recommendations,Best_Bet,Best_Bet_Edge,Kelly_Units,Bet_Amount
WAS @ ATL,Sun 1:00 PM,ATL -3.0,ATL +5.5,+8.5,48.5,46.0,-2.5,72.9%,27.1%,42.0%,58.0%,No significant injuries,Jayden Daniels OUT → Marcus Mariota (-8.5 pts),0.0,-8.5,ML ATL (2.5u) | ATL -3 (2.5u) | UNDER 48.5 (1.2u),SPREAD_HOME,39.2%,2.50,$250
MIA @ BUF,Sun 1:00 PM,BUF -6.5,BUF -6.5,0.0,47.0,47.0,0.0,23.7%,76.3%,42.0%,58.0%,No significant injuries,No significant injuries,0.0,0.0,ML MIA (2.5u) | MIA +6.5 (2.5u) | UNDER 47 (1.2u),ML_AWAY,144.2%,2.50,$250
LV @ KC,Sun 1:00 PM,KC -9.5,KC -9.5,0.0,44.0,44.0,0.0,15.3%,84.7%,58.0%,42.0%,No significant injuries,No significant injuries,0.0,0.0,ML LV (2.5u) | LV +9.5 (2.5u) | OVER 44 (1.2u),ML_AWAY,281.1%,2.50,$250
LAR @ SF,Sun 4:25 PM,SF -3.5,SF -3.5,0.0,51.0,51.0,0.0,34.8%,65.2%,42.0%,58.0%,No significant injuries,No significant injuries,0.0,0.0,ML LAR (2.5u) | LAR +3.5 (2.5u) | UNDER 51 (1.2u),ML_AWAY,56.6%,2.50,$250
NYG @ DAL,Sun 4:25 PM,DAL -4.5,DAL -4.5,0.0,43.5,43.5,0.0,30.8%,69.2%,58.0%,42.0%,No significant injuries,No significant injuries,0.0,0.0,ML NYG (2.5u) | NYG +4.5 (2.5u) | OVER 43.5 (1.2u),ML_AWAY,86.9%,2.50,$250
TB @ PHI,Sun 1:00 PM,PHI -2.5,PHI -2.5,0.0,49.0,49.0,0.0,38.9%,61.1%,42.0%,58.0%,No significant injuries,No significant injuries,0.0,0.0,ML TB (2.5u) | TB +2.5 (1.8u) | UNDER 49 (1.2u),ML_AWAY,31.3%,2.50,$250
CIN @ BAL,Sun 8:20 PM,BAL -1.5,BAL +7.0,+8.5,50.5,48.0,-2.5,77.9%,22.1%,42.0%,58.0%,No significant injuries,Joe Burrow OUT → Joe Burrow (-8.5 pts),0.0,-8.5,ML BAL (2.5u) | BAL -1.5 (2.5u) | UNDER 50.5 (1.2u),ML_HOME,48.7%,2.50,$250
MIN @ GB,Sun 1:00 PM,GB -3.0,GB +5.5,+8.5,46.5,44.0,-2.5,72.9%,27.1%,42.0%,58.0%,No significant injuries,J.J. McCarthy OUT → J.J. McCarthy (-8.5 pts),0.0,-8.5,ML GB (2.5u) | GB -3 (2.5u) | UNDER 46.5 (1.2u),SPREAD_HOME,39.2%,2.50,$250
CHI @ DET,Sun 1:00 PM,DET -7.0,DET -7.0,0.0,48.0,48.0,0.0,22.1%,77.9%,42.0%,58.0%,No significant injuries,No significant injuries,0.0,0.0,ML CHI (2.5u) | CHI +7 (2.5u) | UNDER 48 (1.2u),ML_AWAY,180.4%,2.50,$250
JAX @ HOU,Sun 1:00 PM,HOU -4.0,HOU -4.0,0.0,45.5,45.5,0.0,32.7%,67.3%,58.0%,42.0%,No significant injuries,No significant injuries,0.0,0.0,ML JAX (2.5u) | JAX +4 (2.5u) | OVER 45.5 (1.2u),ML_AWAY,71.5%,2.50,$250
CLE @ CAR,Sun 1:00 PM,CAR +2.5,CAR +2.5,0.0,41.0,41.0,0.0,61.1%,38.9%,58.0%,42.0%,No significant injuries,No significant injuries,0.0,0.0,ML CAR (2.5u) | CAR +2.5 (1.8u) | OVER 41 (1.2u),ML_HOME,34.3%,2.50,$250
IND @ PIT,Mon 8:15 PM,PIT -6.0,PIT -6.0,0.0,42.5,42.5,0.0,25.4%,74.6%,58.0%,42.0%,No significant injuries,No significant injuries,0.0,0.0,ML IND (2.5u) | IND +6 (2.5u) | OVER 42.5 (1.2u),ML_AWAY,131.4%,2.50,$250
