Player,Team,Position,Opponent,Line,Direction,Odds,Bookmaker,Projected_SOG,Model_Prob,Implied_Prob,Edge,Units
Evgeni Malkin,PIT,C,@NSH,2.5,Over,140,FanDuel,4.27,72.77%,41.67%,74.65%,3.00
Quinn Hughes,VAN,D,@DAL,2.5,Over,120,DraftKings,4.72,77.99%,45.45%,71.57%,3.00
Travis Konecny,PHI,R,@STL,2.5,Over,140,DraftKings,3.35,66.33%,41.67%,59.20%,3.00
Kyle Palmieri,NYI,C,vs WPG,2.5,Over,150,FanDuel,2.86,61.84%,40.00%,54.60%,3.00
Nick Schmaltz,UTA,C,vs VGK,2.5,Over,105,DraftKings,3.68,68.89%,48.78%,41.23%,3.00
Andrei Svechnikov,CAR,R,vs WPG,2.5,Over,-110,DraftKings,3.39,66.63%,52.38%,27.21%,3.00
Elias Pettersson,VAN,D,@DAL,1.5,Under,110,DraftKings,0.50,80.00%,47.62%,67.99%,2.49
Filip Forsberg,NSH,L,vs PIT,3.5,Over,128,FanDuel,3.89,68.16%,43.86%,55.41%,2.49
Mathew Barzal,NYI,C,vs WPG,2.5,Over,140,DraftKings,2.70,60.16%,41.67%,44.38%,2.49
Matvei Michkov,PHI,R,@STL,1.5,Under,145,DraftKings,1.31,58.21%,40.82%,42.61%,2.49
Dylan Guenther,UTA,R,vs VGK,3.5,Over,120,DraftKings,3.31,63.85%,45.45%,40.48%,2.49
Nikolaj Ehlers,CAR,L,vs WPG,2.5,Over,-115,DraftKings,3.10,64.14%,53.49%,19.92%,2.49
Ben Kindel,PIT,C,@NSH,2.5,Over,150,DraftKings,2.64,59.54%,40.00%,48.86%,2.01
Matthew Schaefer,NYI,D,vs WPG,2.5,Over,105,DraftKings,3.31,68.29%,48.78%,40.00%,2.01
Owen Tippett,PHI,R,@STL,2.5,Over,126,DraftKings,2.82,61.39%,44.25%,38.75%,2.01
Evander Kane,VAN,L,@DAL,2.5,Over,-125,DraftKings,4.99,76.52%,55.56%,37.73%,2.01
Clayton Keller,UTA,R,vs VGK,2.5,Over,-130,DraftKings,4.01,71.18%,56.52%,25.94%,2.01
Sebastian Aho,CAR,C,vs WPG,2.5,Over,-110,DraftKings,2.90,62.22%,52.38%,18.78%,2.01
Erik Karlsson,PIT,D,@NSH,2.5,Over,108,FanDuel,3.44,69.44%,48.08%,44.43%,1.50
Bo Horvat,NYI,C,vs WPG,2.5,Over,-120,DraftKings,4.44,73.74%,54.55%,35.18%,1.50
Jordan Kyrou,STL,R,vs PHI,2.5,Over,130,DraftKings,2.37,56.37%,43.48%,29.65%,1.50
Logan Stankoven,CAR,C,vs WPG,1.5,Under,120,DraftKings,1.54,53.57%,45.45%,17.85%,1.50
Conor Garland,VAN,R,@DAL,1.5,Over,-188,DraftKings,3.29,69.27%,65.28%,6.12%,1.44
Logan Cooley,UTA,C,vs VGK,1.5,Under,130,DraftKings,1.78,49.05%,43.48%,12.83%,1.23
Sidney Crosby,PIT,C,@NSH,2.5,Over,-106,FanDuel,3.79,69.69%,51.46%,35.43%,0.99
Bryan Rust,PIT,R,@NSH,2.5,Over,-102,FanDuel,3.47,67.30%,50.50%,33.28%,0.99
Steven Stamkos,NSH,C,vs PIT,2.5,Over,154,FanDuel,2.07,52.45%,39.37%,33.21%,0.99
Anthony Mantha,PIT,R,@NSH,1.5,Under,114,FanDuel,1.26,59.32%,46.73%,26.94%,0.99
Jimmy Snuggerud,STL,R,vs PHI,1.5,Under,120,DraftKings,1.34,57.65%,45.45%,26.83%,0.99
Michael Bunting,NSH,L,vs PIT,1.5,Under,-128,FanDuel,0.93,67.28%,56.14%,19.84%,0.99
