Game,Kickoff,Market Spread,V1 Spread Pick,V1 Spread Bet,V1 Conf %,V5 Spread Pick,Spread Diff,Market Total,V1 Total Pick,V1 Total Bet,V1 Conf %,V5 Total,Total Diff,V1 ML Pick,V1 ML Bet,Market ML Home,Market ML Away,Best Book
"DAL @ DET","2025-12-05T00:15:00Z",-3,DET,YES,69,DAL by 5.7,2.1,54.5,over,YES,58,48.5,4.7,DET,NO,-166,140,draftkings
"SEA @ ATL","2025-12-07T17:00:00Z",7,ATL,YES,69,ATL by 3.9,8.0,44.5,over,NO,58,45.5,1.3,ATL,YES,280,-355,draftkings
"TEN @ CLE","2025-12-07T17:00:00Z",-4.5,CLE,YES,69,TEN by 2.6,12.0,33.5,under,YES,58,42.0,4.0,CLE,YES,-205,170,draftkings
"CHI @ GB","2025-12-07T17:00:00Z",-6.5,GB,NO,64,CHI by 3.5,1.3,44.5,under,NO,58,47.5,3.8,GB,NO,-340,270,draftkings
"IND @ JAX","2025-12-07T17:00:00Z",1.5,IND,YES,68,JAX by 4.0,11.8,47.5,under,YES,58,48.0,7.5,IND,YES,105,-125,draftkings
"WAS @ MIN","2025-12-07T17:00:00Z",-2.5,MIN,YES,69,WAS by 2.5,12.7,42.5,over,YES,58,45.5,8.1,MIN,YES,-130,110,draftkings
"MIA @ NYJ","2025-12-07T17:00:00Z",2.5,push,NO,64,MIA by 1.7,0.9,41.5,under,NO,58,45.5,2.9,MIA,NO,130,-155,draftkings
"PIT @ BAL","2025-12-07T17:00:00Z",-6,push,NO,65,PIT by 3.2,2.7,42.5,over,YES,58,47.0,10.5,BAL,YES,-290,235,draftkings
"NO @ TB","2025-12-07T17:00:00Z",-8.5,TB,YES,68,NO by 4.9,0.3,41.5,over,YES,58,45.0,3.9,TB,NO,-440,340,draftkings
"DEN @ LV","2025-12-07T20:05:00Z",7.5,push,NO,66,LV by 1.9,3.4,40.5,under,YES,58,45.5,5.6,DEN,NO,320,-410,draftkings
"CIN @ BUF","2025-12-07T20:25:00Z",-5.5,BUF,YES,69,CIN by 6.6,10.4,53.5,over,YES,58,48.5,13.2,BUF,YES,-270,220,draftkings
"LAR @ ARI","2025-12-07T20:25:00Z",N/A,push,NO,65,ARI by 4.5,4.5,N/A,over,YES,58,48.0,4.0,LAR,YES,N/A,N/A,N/A
"HOU @ KC","2025-12-08T00:20:00Z",-3.5,push,NO,64,HOU by 5.3,4.0,41.5,under,NO,58,46.0,2.3,KC,NO,-180,150,draftkings
"PHI @ LAC","2025-12-09T00:15:00Z",3,PHI,YES,69,PHI by 4.3,0.0,40.5,over,YES,58,45.5,10.5,PHI,NO,130,-155,draftkings
