feature_name,prediction_safe,is_event_column,is_safe_default,safety_reason,provenance,coverage_pct,dtype
home_goals,False,True,False,banned_actual_results,engineered,100.0,int64
away_goals,False,True,False,banned_actual_results,engineered,100.0,int64
home_xg,False,False,False,unknown_provenance,unknown,100.0,float64
home_shots_total,False,True,False,event_based_statistic,engineered,100.0,int64
home_shots_on_target,False,True,False,event_based_statistic,engineered,100.0,int64
home_shots_off_target,False,True,False,event_based_statistic,engineered,100.0,int64
home_shots_inside_box,False,True,False,event_based_statistic,engineered,100.0,int64
home_shots_outside_box,False,True,False,event_based_statistic,engineered,100.0,int64
home_shots_blocked,False,True,False,event_based_statistic,engineered,100.0,int64
home_possession_pct,False,False,False,unsafe_pattern_possession,unknown,100.0,float64
home_passes_total,False,False,False,unsafe_pattern_passes,unknown,100.0,int64
home_passes_accurate,False,False,False,unsafe_pattern_passes,unknown,100.0,int64
home_pass_accuracy_pct,False,False,False,unknown_provenance,unknown,100.0,float64
home_corners,False,True,False,event_based_statistic,engineered,100.0,int64
home_gk_saves,False,True,False,event_based_statistic,engineered,99.78,float64
home_fouls,False,True,False,event_based_statistic,engineered,100.0,int64
home_yellow_cards,False,True,False,event_based_statistic,engineered,96.37,float64
home_red_cards,False,True,False,event_based_statistic,engineered,12.86,float64
away_xg,False,False,False,unknown_provenance,unknown,100.0,float64
away_shots_total,False,True,False,event_based_statistic,engineered,100.0,int64
away_shots_on_target,False,True,False,event_based_statistic,engineered,100.0,int64
away_shots_off_target,False,True,False,event_based_statistic,engineered,100.0,int64
away_shots_inside_box,False,True,False,event_based_statistic,engineered,100.0,int64
away_shots_outside_box,False,True,False,event_based_statistic,engineered,100.0,int64
away_shots_blocked,False,True,False,event_based_statistic,engineered,100.0,int64
away_possession_pct,False,False,False,unsafe_pattern_possession,unknown,100.0,float64
away_passes_total,False,False,False,unsafe_pattern_passes,unknown,100.0,int64
away_passes_accurate,False,False,False,unsafe_pattern_passes,unknown,100.0,int64
away_pass_accuracy_pct,False,False,False,unknown_provenance,unknown,100.0,float64
away_corners,False,True,False,event_based_statistic,engineered,100.0,int64
away_gk_saves,False,True,False,event_based_statistic,engineered,99.78,float64
away_fouls,False,True,False,event_based_statistic,engineered,100.0,int64
