iter	Logloss
0	0.6876363257
1	0.6784984039
2	0.6740518783
3	0.667320823
4	0.6605733435
5	0.6557902816
6	0.6508630956
7	0.6466575697
8	0.6423172202
9	0.6367225748
10	0.6307602954
11	0.6264773845
12	0.6222917894
13	0.6187683104
14	0.6121869596
15	0.6084980536
16	0.6036465656
17	0.6011436495
18	0.5981504993
19	0.5963516682
20	0.5941260799
21	0.5901460572
22	0.5862909145
23	0.580289334
24	0.5764037245
25	0.5743414986
26	0.571429878
27	0.5682136804
28	0.5644125655
29	0.5593759424
30	0.5578726182
31	0.5557825229
32	0.5528137186
33	0.5491973404
34	0.5469101
35	0.5438981073
36	0.5399849701
37	0.5376319354
38	0.5361125331
39	0.5332897725
40	0.5312394328
41	0.5288908002
42	0.5255841278
43	0.5238865427
44	0.5222082977
45	0.5196331692
46	0.5167575135
47	0.514684249
48	0.5119723487
49	0.5096452826
50	0.5077016502
51	0.5052334326
52	0.503115216
53	0.5001181601
54	0.4982333191
55	0.4958094788
56	0.4937887299
57	0.4914715625
58	0.4897009347
59	0.4876145914
60	0.4860003364
61	0.4848228583
62	0.4822979395
63	0.4810137544
64	0.4791443158
65	0.4775560537
66	0.475765248
67	0.4737149141
68	0.4714725856
69	0.4697555972
70	0.4675876249
71	0.4657514903
72	0.4637002398
73	0.4624699541
74	0.4610099542
75	0.4575922916
76	0.4560325284
77	0.4532476722
78	0.452425193
79	0.4499342973
80	0.4478598751
81	0.4460492158
82	0.4444753865
83	0.4427934517
84	0.4410674062
85	0.4396448301
86	0.4376630948
87	0.4365260063
88	0.4337280107
89	0.4316601862
90	0.4295385568
91	0.4275424717
92	0.4258879092
93	0.4249997856
94	0.4230577582
95	0.4219489814
96	0.4202002291
97	0.4192580429
98	0.4167722406
99	0.41523105
100	0.4139226636
101	0.4116014898
102	0.4090617753
103	0.4079168199
104	0.4069172563
105	0.4047486035
106	0.4024904472
107	0.4002100144
108	0.3987701807
109	0.3971153944
110	0.3948121919
111	0.3931467399
112	0.3915344191
113	0.3902634432
114	0.3894142761
115	0.3882167128
116	0.3857901233
117	0.3836110395
118	0.3825236624
119	0.3811847521
120	0.3797890075
121	0.3783301941
122	0.3764291421
123	0.3748434595
124	0.3728570613
125	0.3716587876
126	0.3710050419
127	0.3701699473
128	0.3680528083
129	0.3666284241
130	0.3656943323
131	0.3639413392
132	0.3615329031
133	0.3594241841
134	0.3580681993
135	0.3556265063
136	0.3547118978
137	0.3525584915
138	0.3507734302
139	0.3489509768
140	0.3473038234
141	0.3451128306
142	0.3444434958
143	0.3428082095
144	0.3411710232
145	0.3406554428
146	0.3389864557
147	0.3373793277
148	0.3364129878
149	0.3346767775
150	0.3341057932
151	0.3326000008
152	0.3308571034
153	0.3293745835
154	0.327752664
155	0.3256718049
156	0.324334572
157	0.3231032416
158	0.3219907051
159	0.3203355973
160	0.3185561145
161	0.3173594613
162	0.3157571357
163	0.3140623273
164	0.3118360673
165	0.3108895303
166	0.3094927789
167	0.3086078124
168	0.3070538938
169	0.3043982473
170	0.3030126887
171	0.3017306946
172	0.3007078709
173	0.2991092799
174	0.2972723195
175	0.2966515404
176	0.2954474877
177	0.2945908805
178	0.2927227544
179	0.2915610748
180	0.2904665031
181	0.2887440679
182	0.2868388895
183	0.2852105414
184	0.2839289113
185	0.2833519198
186	0.2824357831
187	0.2819692333
188	0.2806630302
189	0.2797749863
190	0.2786989247
191	0.2767664482
192	0.2751370314
193	0.274179094
194	0.2727790227
195	0.2711624418
196	0.2701343278
197	0.2693714764
198	0.267805264
199	0.2659792356
200	0.2648368213
201	0.2638049548
202	0.2611709943
203	0.259086345
204	0.2579890912
205	0.2571062707
206	0.2550528867
207	0.253461717
208	0.2522426477
209	0.2502790091
210	0.2491885873
211	0.2476414783
212	0.2461641456
213	0.2451317527
214	0.2433391266
215	0.2416906307
216	0.2406019404
217	0.2399665732
218	0.2391422664
219	0.2371555196
220	0.2353837713
221	0.2340929223
222	0.233230275
223	0.2320061198
224	0.2311106747
225	0.2298141797
226	0.2287159835
227	0.2268768539
228	0.2255193666
229	0.2242739635
230	0.2228491319
231	0.2223306057
232	0.2215596055
233	0.2205306995
234	0.219175686
235	0.2185182439
236	0.2173515444
237	0.2156375783
238	0.2145211287
239	0.2127829476
240	0.2120945636
241	0.210859325
242	0.2100900658
243	0.2090217371
244	0.2086829827
245	0.2066705293
246	0.2059584849
247	0.2048274635
248	0.2037048269
249	0.2021025955
250	0.2012011153
251	0.1998708021
252	0.1994094599
253	0.1987113474
254	0.197537629
255	0.1961750857
256	0.1948335433
257	0.193823484
258	0.193096601
259	0.1928043011
260	0.1920005849
261	0.1909036801
262	0.1900522977
263	0.1890477851
264	0.1877675912
265	0.1865544258
266	0.1857245809
267	0.1851483781
268	0.1836614561
269	0.1832177719
270	0.1820845666
271	0.1810991712
272	0.1801392682
273	0.1795714284
274	0.1789342901
275	0.1778996465
276	0.1772607797
277	0.1766832301
278	0.1754927209
279	0.1743404833
280	0.1731747576
281	0.1724449496
282	0.1718079516
283	0.1710973851
284	0.1700502484
285	0.1691728728
286	0.1679476028
287	0.1666489546
288	0.1657080213
289	0.164820694
290	0.1637086733
291	0.1631609861
292	0.1622191259
293	0.1610257197
294	0.1605969319
295	0.1598731437
296	0.1591416048
297	0.1584877278
298	0.1572876746
299	0.1570470642
