iter	Passed	Remaining
0	1	299
1	1	226
2	2	199
3	2	185
4	3	177
5	3	170
6	4	168
7	4	164
8	5	162
9	5	159
10	6	158
11	6	158
12	7	155
13	7	154
14	8	153
15	8	152
16	9	151
17	9	150
18	10	151
19	10	150
20	11	150
21	12	152
22	12	153
23	13	155
24	14	155
25	14	156
26	15	155
27	15	154
28	16	153
29	16	152
30	17	152
31	18	152
32	18	152
33	19	151
34	20	151
35	20	151
36	21	150
37	21	149
38	22	149
39	22	149
40	23	148
41	24	147
42	24	148
43	25	148
44	26	148
45	26	148
46	27	148
47	28	148
48	29	149
49	30	151
50	31	151
51	31	150
52	32	149
53	32	149
54	33	148
55	33	147
56	34	146
57	34	145
58	35	144
59	35	143
60	36	143
61	37	142
62	37	142
63	38	141
64	38	140
65	39	140
66	40	140
67	40	139
68	41	138
69	41	137
70	42	137
71	43	136
72	43	136
73	44	135
74	44	134
75	45	134
76	46	133
77	46	132
78	47	131
79	47	131
80	48	130
81	48	129
82	49	129
83	49	128
84	50	127
85	51	127
86	51	126
87	52	127
88	53	127
89	54	126
90	54	126
91	55	125
92	56	124
93	56	123
94	57	123
95	57	122
96	58	122
97	58	121
98	59	120
99	59	119
100	60	119
101	61	118
102	61	118
103	62	117
104	63	117
105	63	116
106	64	115
107	64	114
108	65	114
109	65	113
110	66	112
111	66	111
112	67	111
113	67	110
114	68	110
115	69	109
116	69	108
117	70	108
118	70	107
119	71	106
120	71	106
121	72	105
122	72	104
123	73	104
124	74	103
125	74	103
126	75	102
127	75	102
128	76	101
129	77	100
130	77	100
131	78	99
132	78	99
133	79	98
134	80	98
135	81	97
136	82	98
137	83	97
138	83	97
139	84	96
140	85	96
141	86	96
142	87	95
143	88	95
144	89	95
145	90	95
146	91	94
147	92	94
148	92	94
149	93	93
150	93	92
151	94	92
152	95	91
153	95	90
154	96	90
155	96	89
156	97	88
157	98	88
158	99	87
159	99	87
160	100	86
161	101	86
162	101	85
163	102	85
164	103	84
165	104	84
166	105	84
167	106	83
168	107	83
169	108	82
170	108	82
171	109	81
172	120	88
173	122	88
174	123	88
175	125	88
176	126	87
177	127	87
178	128	86
179	129	86
180	129	85
181	130	84
182	131	83
183	132	83
184	132	82
185	133	81
186	134	80
187	134	80
188	135	79
189	136	78
190	136	78
191	137	77
192	138	76
193	139	75
194	139	75
195	140	74
196	141	73
197	141	73
198	142	72
199	143	71
200	144	71
201	145	70
202	147	70
203	147	69
204	148	68
205	149	68
206	149	67
207	150	66
208	151	66
209	152	65
210	153	64
211	154	64
212	155	63
213	156	62
214	156	61
215	157	61
216	158	60
217	158	59
218	159	59
219	160	58
220	161	57
221	162	56
222	163	56
223	164	55
224	164	54
225	165	54
226	166	53
227	167	53
228	168	52
229	169	51
230	170	50
231	171	50
232	172	49
233	173	48
234	174	48
235	174	47
236	176	46
237	176	46
238	177	45
239	178	44
240	179	43
241	180	43
242	181	42
243	182	41
244	183	41
245	184	40
246	185	39
247	186	39
248	187	38
249	188	37
250	190	37
251	191	36
252	192	35
253	193	35
254	194	34
255	194	33
256	195	32
257	195	31
258	196	31
259	198	30
260	200	29
261	201	29
262	202	28
263	203	27
264	204	26
265	205	26
266	206	25
267	208	24
268	209	24
269	211	23
270	213	22
271	214	22
272	215	21
273	216	20
274	217	19
275	219	19
276	220	18
277	221	17
278	221	16
279	222	15
280	223	15
281	224	14
282	225	13
283	226	12
284	228	12
285	229	11
286	230	10
287	231	9
288	232	8
289	233	8
290	234	7
291	235	6
292	236	5
293	237	4
294	238	4
295	239	3
296	240	2
297	241	1
298	242	0
299	243	0
