fixture_id,date,home_norm,away_norm,btts_yes_odds,btts_no_odds
EPL_161213_CHE_EVE,2025-12-13,chelsea,everton,1.89,1.96
EPL_161213_LIV_BHA,2025-12-13,liverpool,brighton,1.56,2.52
EPL_161213_BUR_FUL,2025-12-13,burnley,fulham,1.91,1.94
EPL_161213_ARS_WOL,2025-12-13,arsenal,wolves,2.76,1.47
EPL_161214_CRY_MCI,2025-12-14,crystalpalace,mancity,1.64,2.33
EPL_161214_NFO_TOT,2025-12-14,nottmforest,tottenham,1.75,2.14
EPL_161214_SUN_NEW,2025-12-14,sunderland,newcastle,1.76,2.12
EPL_161214_WHU_AVL,2025-12-14,westham,astonvilla,1.70,2.22
EPL_161214_BRE_LEE,2025-12-14,brentford,leeds,1.81,2.06
EPL_161215_MUN_BOU,2025-12-15,manutd,bournemouth,1.54,2.53
