feature,score,coverage,source
home_xg_L5,0.0321536520997395,0.9725274725274725,ranking
home_attack_quality_pct,0.0312475718291116,0.9340659340659341,ranking
home_available_attack_quality,0.023385300657389,0.9340659340659341,ranking
min_attack_quality,0.0215065888438868,0.9340659340659341,ranking
home_btts_momentum,0.0194357228986846,0.9725274725274725,ranking
home_availability_pct,0.0177493390299417,0.9340659340659341,ranking
home_xga_trend,0.017356239982745,0.9725274725274725,ranking
away_avg_chance_of_playing,0.0158677270531761,0.9340659340659341,ranking
home_squad_size,0.0156622280378124,0.9340659340659341,ranking
away_xga_L10,0.0149606752000948,0.9725274725274725,ranking
home_btts_rate_L10,0.0135133706616255,0.9725274725274725,ranking
home_xg_L10,0.0133210695584597,0.9725274725274725,ranking
home_xga_L10,0.0132409440082227,0.9725274725274725,ranking
home_injured_count,0.0126927405857607,0.9340659340659341,ranking
away_xga_L5,0.0124229208548831,0.9725274725274725,ranking
away_available_attack_quality,0.0117055682178715,0.9340659340659341,ranking
home_missing_attack_quality,0.0114427731110364,0.9340659340659341,ranking
home_xg_trend,0.0112542221518711,0.9725274725274725,ranking
attack_strength_diff,0.0107903522004354,0.9340659340659341,ranking
away_available_count,0.0103894990426852,0.9340659340659341,ranking
away_xg_L10,0.0100389328803679,0.9725274725274725,ranking
away_xg_L5,0.0092477692445662,0.9725274725274725,ranking
away_availability_pct,0.0091089662671622,0.9340659340659341,ranking
home_avg_chance_of_playing,0.0090743470184931,0.9340659340659341,ranking
away_xga_trend,0.0087402981002219,0.9725274725274725,ranking
