model,fold,train_start,train_end,test_start,test_end,train_matches,test_matches,auc,brier
poisson_leakfree,1,2023-08-11,2024-03-04,2024-03-09,2024-05-06,268,89,0.38181818181818183,0.2603982792975526
poisson_leakfree,2,2023-08-11,2024-05-19,2024-08-16,2024-09-01,380,30,0.39814814814814814,0.30019252597953033
poisson_leakfree,3,2023-08-11,2024-09-01,2024-09-14,2024-11-02,410,67,0.4061264822134388,0.2674674388395218
poisson_leakfree,4,2023-08-11,2024-11-02,2024-11-03,2025-01-01,477,92,0.5942307692307692,0.2402379869480269
poisson_leakfree,5,2023-08-11,2025-01-01,2025-01-04,2025-02-27,569,82,0.5933933933933935,0.24536283182320176
poisson_leakfree,6,2023-08-11,2025-02-27,2025-03-08,2025-05-01,651,69,0.5282051282051282,0.25163939946015634
poisson_leakfree,7,2023-08-11,2025-05-01,2025-05-02,2025-05-25,720,40,0.53,0.2563832690332945
poisson_leakfree,8,2023-08-11,2025-08-25,2025-08-30,2025-10-26,780,70,0.5125000000000001,0.25621850474728025
logistic_tuned,1,2023-08-11,2024-03-04,2024-03-09,2024-05-06,268,89,0.49358288770053477,0.23659174218472612
logistic_tuned,2,2023-08-11,2024-05-19,2024-08-16,2024-09-01,380,30,0.6666666666666667,0.23373804557773264
logistic_tuned,3,2023-08-11,2024-09-01,2024-09-14,2024-11-02,410,67,0.5523715415019762,0.2272105331180095
logistic_tuned,4,2023-08-11,2024-11-02,2024-11-03,2025-01-01,477,92,0.6182692307692308,0.24430943367034957
logistic_tuned,5,2023-08-11,2025-01-01,2025-01-04,2025-02-27,569,82,0.49669669669669664,0.2535442662370041
logistic_tuned,6,2023-08-11,2025-02-27,2025-03-08,2025-05-01,651,69,0.4675213675213675,0.24828197349264822
logistic_tuned,7,2023-08-11,2025-05-01,2025-05-02,2025-05-25,720,40,0.605,0.25813288795168543
logistic_tuned,8,2023-08-11,2025-08-25,2025-08-30,2025-10-26,780,70,0.5508333333333333,0.24325070119948333
rf_tuned,1,2023-08-11,2024-03-04,2024-03-09,2024-05-06,268,89,0.6176470588235294,0.22963443631841177
rf_tuned,2,2023-08-11,2024-05-19,2024-08-16,2024-09-01,380,30,0.5740740740740741,0.23810411111495766
rf_tuned,3,2023-08-11,2024-09-01,2024-09-14,2024-11-02,410,67,0.49209486166007904,0.23671690620392896
rf_tuned,4,2023-08-11,2024-11-02,2024-11-03,2025-01-01,477,92,0.5370192307692307,0.2510287839805088
rf_tuned,5,2023-08-11,2025-01-01,2025-01-04,2025-02-27,569,82,0.5159159159159159,0.25218619043702667
rf_tuned,6,2023-08-11,2025-02-27,2025-03-08,2025-05-01,651,69,0.5230769230769231,0.247245846414561
rf_tuned,7,2023-08-11,2025-05-01,2025-05-02,2025-05-25,720,40,0.5925,0.24956009480192543
rf_tuned,8,2023-08-11,2025-08-25,2025-08-30,2025-10-26,780,70,0.5191666666666667,0.24588912282608147
gbm_fixed,1,2023-08-11,2024-03-04,2024-03-09,2024-05-06,268,89,0.3780748663101604,0.24171897597394465
gbm_fixed,2,2023-08-11,2024-05-19,2024-08-16,2024-09-01,380,30,0.5509259259259259,0.23927522023834383
gbm_fixed,3,2023-08-11,2024-09-01,2024-09-14,2024-11-02,410,67,0.5355731225296443,0.2281016942366989
gbm_fixed,4,2023-08-11,2024-11-02,2024-11-03,2025-01-01,477,92,0.4605769230769231,0.2502007321382943
gbm_fixed,5,2023-08-11,2025-01-01,2025-01-04,2025-02-27,569,82,0.4996996996996997,0.25079971086017383
gbm_fixed,6,2023-08-11,2025-02-27,2025-03-08,2025-05-01,651,69,0.405982905982906,0.24972681035350364
gbm_fixed,7,2023-08-11,2025-05-01,2025-05-02,2025-05-25,720,40,0.46249999999999997,0.2575988659101209
gbm_fixed,8,2023-08-11,2025-08-25,2025-08-30,2025-10-26,780,70,0.4658333333333334,0.24752930748819937
