fold,phase,model,auc,brier,logloss,n_samples,train_start,train_end,test_start,test_end,train_matches,test_matches,train_unique_dates,test_unique_dates
1,Phase 1: Baseline,logistic,0.48484848484848486,0.23736522145064903,0.6679256530593844,87,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278.0,87.0,89.0,26.0
1,Phase 1: Baseline,poisson,0.6767676767676768,0.23364849019988196,0.6589706154362672,87,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278.0,87.0,89.0,26.0
1,Phase 1: Baseline,random_forest,0.5679012345679012,0.2329045043009208,0.6578896331340335,87,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278.0,87.0,89.0,26.0
1,Phase 2: Modern ML,lightgbm,0.4595959595959596,0.32433385737419745,0.9056307121906143,87,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278.0,87.0,89.0,26.0
1,Phase 2: Modern ML,xgboost,0.4775533108866442,0.2963222563266754,0.8282507861754852,87,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278.0,87.0,89.0,26.0
1,Phase 2: Modern ML,catboost,0.41358024691358025,0.3142174558933735,0.8824940193504976,87,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278.0,87.0,89.0,26.0
2,Phase 1: Baseline,logistic,0.5929694727104533,0.2221262572925706,0.6363883499214037,70,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410.0,70.0,128.0,18.0
2,Phase 1: Baseline,poisson,0.6910268270120259,0.23110682195059157,0.6505706657708913,70,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410.0,70.0,128.0,18.0
2,Phase 1: Baseline,random_forest,0.49121184088806663,0.23832005044334886,0.6705266079821475,70,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410.0,70.0,128.0,18.0
2,Phase 2: Modern ML,lightgbm,0.45605920444033304,0.33009998286324505,0.9875219264960031,70,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410.0,70.0,128.0,18.0
2,Phase 2: Modern ML,xgboost,0.43478260869565216,0.31871485710144043,0.9083114941203756,70,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410.0,70.0,128.0,18.0
2,Phase 2: Modern ML,catboost,0.5393154486586493,0.2703125047112968,0.7642350774588212,70,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410.0,70.0,128.0,18.0
3,Phase 1: Baseline,logistic,0.5790043290043291,0.23134664826168527,0.655127951296355,89,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460.0,89.0,140.0,25.0
3,Phase 1: Baseline,poisson,0.7624458874458875,0.20676058705490097,0.6147900603884593,89,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460.0,89.0,140.0,25.0
3,Phase 1: Baseline,random_forest,0.42803030303030304,0.24921926201485964,0.6922385461099209,89,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460.0,89.0,140.0,25.0
3,Phase 2: Modern ML,lightgbm,0.39556277056277056,0.36090410536812295,1.0409283902638138,89,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460.0,89.0,140.0,25.0
3,Phase 2: Modern ML,xgboost,0.4193722943722944,0.33274102210998535,0.9297095674671293,89,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460.0,89.0,140.0,25.0
3,Phase 2: Modern ML,catboost,0.4312770562770563,0.3041893446185987,0.8392477356427489,89,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460.0,89.0,140.0,25.0
4,Phase 1: Baseline,logistic,0.5188679245283019,0.2490053184465399,0.6917222353154161,95,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524.0,95.0,158.0,26.0
4,Phase 1: Baseline,poisson,0.6895777178796046,0.22650440902901828,0.6427134789104537,95,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524.0,95.0,158.0,26.0
4,Phase 1: Baseline,random_forest,0.5449236298292902,0.24539395737595376,0.6835040556135576,95,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524.0,95.0,158.0,26.0
4,Phase 2: Modern ML,lightgbm,0.5435759209344116,0.2887332869313202,0.8457793485261856,95,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524.0,95.0,158.0,26.0
4,Phase 2: Modern ML,xgboost,0.5089847259658581,0.28287971019744873,0.7837495461414795,95,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524.0,95.0,158.0,26.0
4,Phase 2: Modern ML,catboost,0.5979335130278526,0.2660076066640857,0.7337349610428755,95,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524.0,95.0,158.0,26.0
5,Phase 1: Baseline,logistic,0.548202614379085,0.2551827223087778,0.7040499503106039,70,2023-08-11,2025-01-20,2025-01-25,2025-03-16,599.0,70.0,179.0,21.0
5,Phase 1: Baseline,poisson,0.6805555555555556,0.23330142202692994,0.6523917099519008,70,2023-08-11,2025-01-20,2025-01-25,2025-03-16,599.0,70.0,179.0,21.0
5,Phase 1: Baseline,random_forest,0.5212418300653594,0.25818009635406,0.7103305368753756,70,2023-08-11,2025-01-20,2025-01-25,2025-03-16,599.0,70.0,179.0,21.0
5,Phase 2: Modern ML,lightgbm,0.39052287581699346,0.3737335328521654,1.0963240208287475,70,2023-08-11,2025-01-20,2025-01-25,2025-03-16,599.0,70.0,179.0,21.0
5,Phase 2: Modern ML,xgboost,0.42728758169934644,0.34021463990211487,0.9434247663358017,70,2023-08-11,2025-01-20,2025-01-25,2025-03-16,599.0,70.0,179.0,21.0
5,Phase 2: Modern ML,catboost,0.40032679738562094,0.33012179997147884,0.8980746045889905,70,2023-08-11,2025-01-20,2025-01-25,2025-03-16,599.0,70.0,179.0,21.0
6,Phase 1: Baseline,logistic,0.541501976284585,0.24307381160359398,0.6791196959305772,79,2023-08-11,2025-02-27,2025-03-08,2025-05-05,651.0,79.0,195.0,27.0
6,Phase 1: Baseline,poisson,0.7259552042160737,0.23159326099139868,0.6563646815939896,79,2023-08-11,2025-02-27,2025-03-08,2025-05-05,651.0,79.0,195.0,27.0
6,Phase 1: Baseline,random_forest,0.5553359683794467,0.24143997035766332,0.6758524525262769,79,2023-08-11,2025-02-27,2025-03-08,2025-05-05,651.0,79.0,195.0,27.0
6,Phase 2: Modern ML,lightgbm,0.4861660079051383,0.32476043938564414,0.9694051265369692,79,2023-08-11,2025-02-27,2025-03-08,2025-05-05,651.0,79.0,195.0,27.0
6,Phase 2: Modern ML,xgboost,0.502635046113307,0.30393651127815247,0.8708760931670092,79,2023-08-11,2025-02-27,2025-03-08,2025-05-05,651.0,79.0,195.0,27.0
6,Phase 2: Modern ML,catboost,0.46179183135704877,0.2986401738444814,0.8301647233775828,79,2023-08-11,2025-02-27,2025-03-08,2025-05-05,651.0,79.0,195.0,27.0
ALL,Phase 1: Baseline,logistic,0.5421762418696776,0.23981753245448176,0.6726748343495158,490,,,,,,,,
ALL,Phase 1: Baseline,poisson,0.7053215979037446,0.22663566214240746,0.6452341133888608,490,,,,,,,,
ALL,Phase 1: Baseline,random_forest,0.5183941789379655,0.24404979607814745,0.6812874650190496,490,,,,,,,,
ALL,Phase 2: Modern ML,lightgbm,0.4581581791759652,0.33202366130477173,0.9678239961493952,490,,,,,,,,
ALL,Phase 2: Modern ML,xgboost,0.46383245547679575,0.3110277733024286,0.8728141354640989,490,,,,,,,,
ALL,Phase 2: Modern ML,catboost,0.4763782349552883,0.29653768985382706,0.8226929394794836,490,,,,,,,,
