model,fold,side,threshold,n_bets,n_wins,win_rate,train_start,train_end,test_start,test_end,train_matches,test_matches,train_unique_dates,test_unique_dates
poisson,1,YES,0.5,22,13,0.5909090909090909,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,YES,0.55,19,12,0.631578947368421,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,YES,0.6,15,10,0.6666666666666666,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,YES,0.65,12,8,0.6666666666666666,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,NO,0.5,32,13,0.40625,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,NO,0.55,27,13,0.48148148148148145,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,NO,0.6,21,12,0.5714285714285714,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,1,NO,0.65,16,9,0.5625,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87,89,26
poisson,2,YES,0.5,24,18,0.75,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,YES,0.55,18,13,0.7222222222222222,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,YES,0.6,13,11,0.8461538461538461,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,YES,0.65,9,9,1.0,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,NO,0.5,26,9,0.34615384615384615,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,NO,0.55,19,7,0.3684210526315789,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,NO,0.6,11,4,0.36363636363636365,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,2,NO,0.65,10,4,0.4,2023-08-11,2024-09-01,2024-09-14,2024-11-04,410,70,128,18
poisson,3,YES,0.5,34,29,0.8529411764705882,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,YES,0.55,27,23,0.8518518518518519,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,YES,0.6,22,20,0.9090909090909091,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,YES,0.65,18,16,0.8888888888888888,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,NO,0.5,30,17,0.5666666666666667,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,NO,0.55,24,15,0.625,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,NO,0.6,18,12,0.6666666666666666,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,3,NO,0.65,13,10,0.7692307692307693,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89,140,25
poisson,4,YES,0.5,36,27,0.75,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95,158,26
poisson,4,YES,0.55,26,21,0.8076923076923077,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95,158,26
poisson,4,YES,0.6,19,14,0.7368421052631579,2023-08-11,2024-12-07,2024-12-08,2025-02-03,524,95,158,26
