fold,phase,model,threshold,roi,roi_fair,n_bets,profit,profit_fair,wins,losses,total_staked,avg_edge,median_edge,train_start,train_end,test_start,test_end
1,Phase 1: Baseline,logistic,0.5,-7.7962962962962985,-4.647406411606662,54,-42.10000000000001,-25.095994622675974,32,22,540.0,-0.01813322542313331,-0.029641499259134396,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,logistic,0.55,-7.7962962962962985,-4.647406411606662,54,-42.10000000000001,-25.095994622675974,32,22,540.0,-0.01813322542313331,-0.029641499259134396,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,logistic,0.6,-12.051282051282051,-9.060810413397197,39,-47.0,-35.337160612249065,22,17,390.0,-0.009368456085775776,-0.030197815105686976,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,logistic,0.65,-75.33333333333334,-74.49223416965353,6,-45.2,-44.69534050179212,1,5,60.0,-0.0037566326082932866,-0.03276950099564002,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,poisson,0.5,-9.818181818181818,-6.7274855767684505,22,-21.6,-14.80046826889059,13,9,220.0,0.012357918969849092,0.01086603649692508,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,poisson,0.55,-4.368421052631578,-1.0683713149093796,19,-8.299999999999997,-2.029905498327821,12,7,190.0,0.039745363737717816,0.04283876784705909,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,poisson,0.6,1.9333333333333325,5.444703092884218,15,2.8999999999999986,8.167054639326327,10,5,150.0,0.07656321503202203,0.07544420261524931,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,poisson,0.65,2.0000000000000004,5.515304064121412,12,2.4000000000000004,6.618364876945694,8,4,120.0,0.09468476959026524,0.09667451728901733,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,random_forest,0.5,-7.89130434782609,-4.741292712098425,46,-36.30000000000001,-21.809946475652755,27,19,460.0,0.0035471766015962533,0.008554689764263546,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,random_forest,0.55,-4.097560975609755,-0.8229395739802744,41,-16.799999999999997,-3.3740522533191246,25,16,410.0,0.01304860364160931,0.014564810079002677,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,random_forest,0.6,5.09090909090909,8.699267770922761,33,16.799999999999997,28.707583644045112,22,11,330.0,0.03404790369205809,0.03023320193180723,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 1: Baseline,random_forest,0.65,-2.6956521739130466,0.6138383488779715,23,-6.200000000000007,1.4118282024193345,15,8,230.0,0.023178642400558197,0.02478846622910713,2023-08-11,2024-03-11,2024-03-13,2024-05-11
