side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
YES,0.5,54,32,0.5925925925925926,-42.10000000000001,-7.7962962962962985,-25.095994622675974,-4.647406411606662,0.002824942894329265,-0.006949619186568057,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.55,54,32,0.5925925925925926,-42.10000000000001,-7.7962962962962985,-25.095994622675974,-4.647406411606662,0.002824942894329265,-0.006949619186568057,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.6,39,22,0.5641025641025641,-47.0,-12.051282051282051,-35.337160612249065,-9.060810413397197,0.011700113261024504,-0.007907571011816827,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.65,6,1,0.16666666666666666,-45.2,-75.33333333333334,-44.69534050179212,-74.49223416965353,0.018220792859413953,-0.010352959684784058,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.5,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.55,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.6,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.65,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,logistic,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.5,22,13,0.5909090909090909,-21.6,-9.818181818181818,-14.80046826889059,-6.7274855767684505,0.03414136486478491,0.032223088613179685,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.55,19,12,0.631578947368421,-8.299999999999997,-4.368421052631578,-2.029905498327821,-1.0683713149093796,0.06153511518868056,0.06430172058121841,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.6,15,10,0.6666666666666666,2.8999999999999986,1.9333333333333325,8.167054639326327,5.444703092884218,0.09809696271646082,0.09507706652275805,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.65,12,8,0.6666666666666666,2.4000000000000004,2.0000000000000004,6.618364876945694,5.515304064121412,0.11644215167315553,0.11922548771958252,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.5,32,13,0.40625,-24.0,-7.5,-13.852044214076052,-4.328763816898766,0.2500701816787964,0.23558134614778833,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.55,27,13,0.48148148148148145,26.0,9.62962962962963,36.14795578592395,13.388131772564424,0.26337696880985584,0.25325693087294765,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.6,21,12,0.5714285714285714,59.2,28.190476190476193,68.39961141506302,32.57124353098239,0.28166095546136033,0.28970819212912885,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.65,16,9,0.5625,40.400000000000006,25.250000000000007,47.322208169120444,29.576380105700277,0.3129364533814326,0.3018061469501762,1,Phase 1: Baseline,poisson,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.5,46,27,0.5869565217391305,-36.30000000000001,-7.89130434782609,-21.809946475652755,-4.741292712098425,0.024493774162280043,0.031238680470228375,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.55,41,25,0.6097560975609756,-16.799999999999997,-4.097560975609755,-3.3740522533191246,-0.8229395739802744,0.03411968699136966,0.03268520319939583,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.6,33,22,0.6666666666666666,16.799999999999997,5.09090909090909,28.707583644045112,8.699267770922761,0.055145558617307376,0.05093184096640979,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.65,23,15,0.6521739130434783,-6.200000000000007,-2.6956521739130466,1.4118282024193345,0.6138383488779715,0.045142444491360276,0.046505637946279044,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.5,8,3,0.375,-14.2,-17.75,-11.943446142716693,-14.929307678395867,0.14241628303102222,0.14651654649396206,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.55,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.6,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.65,0,0,0.0,0.0,0.0,0.0,0.0,,,1,Phase 1: Baseline,random_forest,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.5,40,22,0.55,-58.800000000000004,-14.700000000000003,-47.239321834942466,-11.809830458735616,0.15944339565704882,0.1733044816519188,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.55,35,17,0.4857142857142857,-92.4,-26.400000000000002,-83.63722349137865,-23.896349568965327,0.19193833295067572,0.20137630176600096,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.6,34,17,0.5,-82.4,-24.23529411764706,-73.63722349137865,-21.658006909229012,0.19968462301053966,0.20532591238895576,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.65,32,15,0.46875,-91.4,-28.5625,-83.59762069450457,-26.12425646703268,0.21498136388714423,0.21689837388784883,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.5,14,4,0.2857142857142857,-33.099999999999994,-23.64285714285714,-29.570200512232503,-21.12157179445179,0.32505511879085464,0.3121785379088781,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.55,13,3,0.23076923076923078,-51.800000000000004,-39.84615384615385,-49.22773475880784,-37.867488276006036,0.33547510350506854,0.3236224435556612,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.6,10,2,0.2,-56.6,-56.60000000000001,-55.197884012539184,-55.19788401253919,0.3588380908517598,0.3400078052009854,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
NO,0.65,9,2,0.2222222222222222,-46.6,-51.77777777777778,-45.197884012539184,-50.21987112504354,0.36599640385858945,0.3426704045960521,1,Phase 2: Modern ML,lightgbm,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.5,41,22,0.5365853658536586,-68.8,-16.780487804878046,-57.23932183494247,-13.960810203644506,0.13449225618887228,0.13256516590323253,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
YES,0.55,39,22,0.5641025641025641,-48.80000000000001,-12.512820512820516,-37.23932183494247,-9.54854406024166,0.14973282032837762,0.166521875318401,1,Phase 2: Modern ML,xgboost,2023-08-11,2024-03-11,2024-03-13,2024-05-11,278,87
