market,submarket,model_name,split_year,n_test,auc,mae,mae_market,mae_gain,brier,brier_market,cal_slope,cal_intercept,is_monotonic
F5_Moneyline,home_win,LogReg,2023,2064,0.5503,0.4787,0.4869,0.0081,0.2749,0.2453,0.1976,0.0688,True
F5_Moneyline,home_win,LightGBM,2023,2064,0.5534,0.4798,0.4869,0.0071,0.2665,0.2453,0.2298,0.0478,True
F5_Moneyline,home_win,LogReg,2024,2090,0.5625,0.4805,0.4831,0.0026,0.258,0.2402,0.3093,0.0144,True
F5_Moneyline,home_win,LightGBM,2024,2090,0.5349,0.4891,0.4831,-0.006,0.2643,0.2402,0.173,0.052,True
F5_Moneyline,home_win,LogReg,2025,2044,0.5765,0.4806,0.482,0.0014,0.249,0.2391,0.4307,0.0976,True
F5_Moneyline,home_win,LightGBM,2025,2044,0.5506,0.4855,0.482,-0.0035,0.2536,0.2391,0.324,0.1169,True
F5_RunLine,home_-0.5,LogReg,2023,2430,0.539,0.4809,,,0.267,,0.1805,-0.1728,True
F5_RunLine,home_-0.5,LightGBM,2023,2430,0.5303,0.4852,,,0.2657,,0.1497,-0.1805,True
F5_RunLine,home_-0.5,LogReg,2024,2430,0.5567,0.4816,,,0.253,,0.284,-0.1556,True
F5_RunLine,home_-0.5,LightGBM,2024,2430,0.5241,0.4884,,,0.2602,,0.1452,-0.1757,True
F5_RunLine,home_-0.5,LogReg,2025,2430,0.5528,0.4852,,,0.2508,,0.3555,-0.114,True
F5_RunLine,home_-0.5,LightGBM,2025,2430,0.5437,0.486,,,0.2537,,0.2868,-0.1156,True
F5_RunLine,home_+0.5,LogReg,2023,2430,0.5409,0.4657,,,0.2602,,0.2013,0.2936,True
F5_RunLine,home_+0.5,LightGBM,2023,2430,0.5508,0.4596,,,0.2538,,0.2503,0.2384,True
F5_RunLine,home_+0.5,LogReg,2024,2430,0.5541,0.4648,,,0.251,,0.277,0.1972,True
F5_RunLine,home_+0.5,LightGBM,2024,2430,0.5284,0.4704,,,0.2553,,0.1648,0.2617,True
