column,dtype,null_pct,n_unique,category,safe_as_feature,suspicious,in_production_model
game_pk,int64,0.0,9720,ID / meta (not a feature),False,False,False
season,float64,0.0,4,ID / meta (not a feature),False,False,False
park_run_factor,float64,0.0,5,NON-PRODUCTION COLUMN,True,False,False
home_L5_runs_per_game,float64,0.15,74,NON-PRODUCTION COLUMN,True,False,False
home_L5_runs_allowed_per_game,float64,0.15,79,NON-PRODUCTION COLUMN,True,False,False
home_L5_win_pct,float64,0.15,11,NON-PRODUCTION COLUMN,True,False,False
home_L5_run_diff,float64,0.15,107,NON-PRODUCTION COLUMN,True,False,False
home_L10_runs_per_game,float64,0.15,122,NON-PRODUCTION COLUMN,True,False,False
home_L10_runs_allowed_per_game,float64,0.15,127,NON-PRODUCTION COLUMN,True,False,False
home_L10_win_pct,float64,0.15,25,NON-PRODUCTION COLUMN,True,False,False
home_L10_run_diff,float64,0.15,167,NON-PRODUCTION COLUMN,True,False,False
home_L20_runs_per_game,float64,0.15,233,NON-PRODUCTION COLUMN,True,False,False
home_L20_runs_allowed_per_game,float64,0.15,251,NON-PRODUCTION COLUMN,True,False,False
home_L20_win_pct,float64,0.15,71,NON-PRODUCTION COLUMN,True,False,False
home_L20_run_diff,float64,0.15,311,NON-PRODUCTION COLUMN,True,False,False
home_STD_runs_per_game,float64,0.61,5354,NON-PRODUCTION COLUMN,True,False,False
home_STD_runs_allowed_per_game,float64,0.61,5449,NON-PRODUCTION COLUMN,True,False,False
away_L5_runs_per_game,float64,0.15,69,NON-PRODUCTION COLUMN,True,False,False
away_L5_runs_allowed_per_game,float64,0.15,72,NON-PRODUCTION COLUMN,True,False,False
away_L5_win_pct,float64,0.15,11,NON-PRODUCTION COLUMN,True,False,False
away_L5_run_diff,float64,0.15,97,NON-PRODUCTION COLUMN,True,False,False
away_L10_runs_per_game,float64,0.15,121,NON-PRODUCTION COLUMN,True,False,False
away_L10_runs_allowed_per_game,float64,0.15,132,NON-PRODUCTION COLUMN,True,False,False
away_L10_win_pct,float64,0.15,25,NON-PRODUCTION COLUMN,True,False,False
away_L10_run_diff,float64,0.15,162,NON-PRODUCTION COLUMN,True,False,False
away_L20_runs_per_game,float64,0.15,236,NON-PRODUCTION COLUMN,True,False,False
away_L20_runs_allowed_per_game,float64,0.15,246,NON-PRODUCTION COLUMN,True,False,False
away_L20_win_pct,float64,0.15,73,NON-PRODUCTION COLUMN,True,False,False
away_L20_run_diff,float64,0.15,309,NON-PRODUCTION COLUMN,True,False,False
away_STD_runs_per_game,float64,0.63,5401,NON-PRODUCTION COLUMN,True,False,False
away_STD_runs_allowed_per_game,float64,0.63,5418,NON-PRODUCTION COLUMN,True,False,False
home_sp_L2_era,float64,3.66,543,PRODUCTION FEATURE,True,False,True
home_sp_L2_fip,float64,3.66,2099,PRODUCTION FEATURE,True,False,True
home_sp_L2_whip,float64,3.66,725,PRODUCTION FEATURE,True,False,True
home_sp_L2_k_bb_pct,float64,3.66,552,PRODUCTION FEATURE,True,False,True
home_sp_L2_hr_per_9,float64,3.66,247,PRODUCTION FEATURE,True,False,True
home_sp_L2_runs_per_start,float64,3.66,19,PRODUCTION FEATURE,True,False,True
home_sp_L2_avg_ip,float64,3.66,86,PRODUCTION FEATURE,True,False,True
home_sp_L2_pitches_per_ip,float64,3.66,2054,PRODUCTION FEATURE,True,False,True
home_sp_L2_pct_6ip,float64,3.66,3,PRODUCTION FEATURE,True,False,True
home_sp_L3_era,float64,3.66,1015,PRODUCTION FEATURE,True,False,True
home_sp_L3_fip,float64,3.66,3376,PRODUCTION FEATURE,True,False,True
home_sp_L3_whip,float64,3.66,1317,PRODUCTION FEATURE,True,False,True
home_sp_L3_k_bb_pct,float64,3.66,926,PRODUCTION FEATURE,True,False,True
home_sp_L3_hr_per_9,float64,3.66,485,PRODUCTION FEATURE,True,False,True
home_sp_L3_runs_per_start,float64,3.66,33,PRODUCTION FEATURE,True,False,True
home_sp_L3_avg_ip,float64,3.66,193,PRODUCTION FEATURE,True,False,True
home_sp_L3_pitches_per_ip,float64,3.66,3377,PRODUCTION FEATURE,True,False,True
home_sp_L3_pct_6ip,float64,3.66,5,PRODUCTION FEATURE,True,False,True
home_sp_L5_era,float64,3.66,2060,PRODUCTION FEATURE,True,False,True
home_sp_L5_fip,float64,3.66,5451,PRODUCTION FEATURE,True,False,True
home_sp_L5_whip,float64,3.66,2549,PRODUCTION FEATURE,True,False,True
home_sp_L5_k_bb_pct,float64,3.66,1680,PRODUCTION FEATURE,True,False,True
home_sp_L5_hr_per_9,float64,3.66,1040,PRODUCTION FEATURE,True,False,True
home_sp_L5_runs_per_start,float64,3.66,65,PRODUCTION FEATURE,True,False,True
home_sp_L5_avg_ip,float64,3.66,395,PRODUCTION FEATURE,True,False,True
home_sp_L5_pitches_per_ip,float64,3.66,5553,PRODUCTION FEATURE,True,False,True
home_sp_L5_pct_6ip,float64,3.66,11,PRODUCTION FEATURE,True,False,True
home_sp_L10_era,float64,3.66,4287,PRODUCTION FEATURE,True,False,True
home_sp_L10_fip,float64,3.66,7541,PRODUCTION FEATURE,True,False,True
home_sp_L10_whip,float64,3.66,5110,PRODUCTION FEATURE,True,False,True
home_sp_L10_k_bb_pct,float64,3.66,3472,PRODUCTION FEATURE,True,False,True
home_sp_L10_hr_per_9,float64,3.66,2642,PRODUCTION FEATURE,True,False,True
home_sp_L10_runs_per_start,float64,3.66,163,PRODUCTION FEATURE,True,False,True
home_sp_L10_avg_ip,float64,3.66,847,PRODUCTION FEATURE,True,False,True
