market,submarket,model_name,split_year,n_test,auc,mae,brier,log_loss_val,brier_skill,cal_slope,cal_intercept,is_monotonic,pos_rate,avg_precision,feature_group
F5_Totals,over_3.5,LogReg,2023,2430,0.5125,0.4804,0.2582,0.7203,-0.1142,0.0267,0.5462,True,0.635,0.645,all
F5_Totals,over_3.5,LightGBM,2023,2430,0.5084,0.4674,0.2497,0.6977,-0.0774,0.0537,0.5266,True,0.635,0.6459,all
F5_Totals,over_3.5,LGB_tuned,2023,2430,0.5085,0.4698,0.2458,0.6878,-0.0607,0.0457,0.5326,True,0.635,0.639,all
F5_Totals,over_3.5,LogReg,2024,2430,0.5207,0.4704,0.2447,0.687,-0.0368,0.0897,0.4385,True,0.6181,0.6272,all
F5_Totals,over_3.5,LightGBM,2024,2430,0.5213,0.4651,0.245,0.6863,-0.0378,0.1387,0.4025,True,0.6181,0.6345,all
F5_Totals,over_3.5,LGB_tuned,2024,2430,0.5183,0.4682,0.2417,0.6778,-0.0238,0.1436,0.4066,True,0.6181,0.629,all
F5_Totals,over_3.5,LogReg,2025,2430,0.5423,0.4657,0.2361,0.6657,-0.0081,0.3714,0.3397,True,0.6255,0.6576,all
F5_Totals,over_3.5,LightGBM,2025,2430,0.5173,0.4661,0.2414,0.6777,-0.0305,0.1444,0.4378,True,0.6255,0.6423,all
F5_Totals,over_3.5,LGB_tuned,2025,2430,0.5346,0.4656,0.2359,0.665,-0.0071,0.3675,0.3344,True,0.6255,0.6546,all
F5_Totals,over_4.0,LogReg,2023,2430,0.5092,0.5013,0.2805,0.7737,-0.1266,0.0239,0.1377,True,0.5325,0.5454,all
F5_Totals,over_4.0,LightGBM,2023,2430,0.4932,0.5054,0.2794,0.7604,-0.1223,-0.0417,0.121,True,0.5325,0.5216,all
F5_Totals,over_4.0,LGB_tuned,2023,2430,0.4977,0.5037,0.2704,0.7383,-0.0863,-0.0314,0.1245,False,0.5325,0.5275,all
F5_Totals,over_4.0,LogReg,2024,2430,0.5288,0.4949,0.2596,0.7163,-0.0386,0.1579,-0.0391,False,0.4947,0.5119,all
F5_Totals,over_4.0,LightGBM,2024,2430,0.5342,0.4931,0.257,0.7087,-0.0279,0.2421,-0.0325,True,0.4947,0.529,all
F5_Totals,over_4.0,LGB_tuned,2024,2430,0.5292,0.4949,0.2541,0.7021,-0.0164,0.2716,-0.0325,False,0.4947,0.5219,all
F5_Totals,over_4.0,LogReg,2025,2430,0.5503,0.4911,0.2504,0.6944,-0.0015,0.4572,-0.0031,True,0.4959,0.5398,all
F5_Totals,over_4.0,LightGBM,2025,2430,0.5397,0.4923,0.2529,0.6996,-0.0115,0.3467,-0.0114,True,0.4959,0.5295,all
F5_Totals,over_4.0,LGB_tuned,2025,2430,0.5457,0.493,0.2504,0.6942,-0.0016,0.4556,-0.0033,True,0.4959,0.5372,all
F5_Totals,over_4.5,LogReg,2023,2430,0.5092,0.5013,0.2805,0.7737,-0.1266,0.0239,0.1377,True,0.5325,0.5454,all
F5_Totals,over_4.5,LightGBM,2023,2430,0.4932,0.5054,0.2794,0.7604,-0.1223,-0.0417,0.121,True,0.5325,0.5216,all
F5_Totals,over_4.5,LGB_tuned,2023,2430,0.4977,0.5037,0.2704,0.7383,-0.0863,-0.0314,0.1245,False,0.5325,0.5275,all
F5_Totals,over_4.5,LogReg,2024,2430,0.5288,0.4949,0.2596,0.7163,-0.0386,0.1579,-0.0391,False,0.4947,0.5119,all
F5_Totals,over_4.5,LightGBM,2024,2430,0.5342,0.4931,0.257,0.7087,-0.0279,0.2421,-0.0325,True,0.4947,0.529,all
F5_Totals,over_4.5,LGB_tuned,2024,2430,0.5292,0.4949,0.2541,0.7021,-0.0164,0.2716,-0.0325,False,0.4947,0.5219,all
F5_Totals,over_4.5,LogReg,2025,2430,0.5503,0.4911,0.2504,0.6944,-0.0015,0.4572,-0.0031,True,0.4959,0.5398,all
F5_Totals,over_4.5,LightGBM,2025,2430,0.5397,0.4923,0.2529,0.6996,-0.0115,0.3467,-0.0114,True,0.4959,0.5295,all
