market_sub,segment,n,auc,brier,actual_rate,pred_mean
F5_Totals/over_4.5,conf_Q5_high,486,0.4994,0.2609,0.537,0.6422
F5_Totals/over_4.5,conf_Q3,486,0.5034,0.2504,0.5185,0.4929
F5_Totals/over_4.5,conf_Q1_low,486,0.5446,0.2499,0.4321,0.3563
F5_Totals/over_4.5,conf_Q2,486,0.4932,0.2527,0.4897,0.4408
F5_Totals/over_4.5,conf_Q4,486,0.5646,0.2505,0.5021,0.5495
F5_Totals/over_4.5,month_Mar,62,0.517,,0.3548,0.5162
F5_Totals/over_4.5,month_Apr,395,0.5295,,0.4658,0.5119
F5_Totals/over_4.5,month_May,410,0.532,,0.4463,0.4851
F5_Totals/over_4.5,month_Jun,396,0.5656,,0.4722,0.4833
F5_Totals/over_4.5,month_Jul,371,0.5188,,0.5391,0.4959
F5_Totals/over_4.5,month_Aug,422,0.5611,,0.5521,0.5043
F5_Totals/over_4.5,month_Sep,374,0.5327,,0.5241,0.4941
F5_Totals/over_5.0,conf_Q5_high,486,0.5393,0.2545,0.4486,0.5279
F5_Totals/over_5.0,conf_Q4,486,0.5119,0.2386,0.3868,0.4249
F5_Totals/over_5.0,conf_Q1_low,486,0.5345,0.2229,0.3169,0.2347
F5_Totals/over_5.0,conf_Q3,486,0.5452,0.2373,0.3889,0.3653
F5_Totals/over_5.0,conf_Q2,486,0.4815,0.2326,0.358,0.3134
F5_Totals/over_5.0,month_Mar,62,0.5789,,0.3065,0.3984
F5_Totals/over_5.0,month_Apr,395,0.586,,0.3696,0.3738
F5_Totals/over_5.0,month_May,410,0.5361,,0.3171,0.3632
F5_Totals/over_5.0,month_Jun,396,0.5563,,0.3864,0.3654
F5_Totals/over_5.0,month_Jul,371,0.5191,,0.4097,0.3649
F5_Totals/over_5.0,month_Aug,422,0.5726,,0.4123,0.3812
F5_Totals/over_5.0,month_Sep,374,0.543,,0.3984,0.3871
F5_TeamTotals/away_over_1.5,conf_Q5_high,486,0.5013,0.2573,0.5967,0.722
F5_TeamTotals/away_over_1.5,conf_Q3,486,0.5104,0.2402,0.6029,0.5739
F5_TeamTotals/away_over_1.5,conf_Q1_low,486,0.5042,0.2503,0.4444,0.4156
F5_TeamTotals/away_over_1.5,conf_Q4,486,0.5138,0.2441,0.5885,0.6337
F5_TeamTotals/away_over_1.5,conf_Q2,486,0.5103,0.2494,0.5288,0.5146
F5_TeamTotals/away_over_1.5,month_Mar,62,0.5651,,0.5645,0.537
F5_TeamTotals/away_over_1.5,month_Apr,395,0.5274,,0.5038,0.5762
F5_TeamTotals/away_over_1.5,month_May,410,0.5529,,0.5024,0.5852
F5_TeamTotals/away_over_1.5,month_Jun,396,0.5748,,0.5859,0.5689
F5_TeamTotals/away_over_1.5,month_Jul,371,0.5558,,0.5768,0.5664
F5_TeamTotals/away_over_1.5,month_Aug,422,0.5629,,0.5592,0.5725
F5_TeamTotals/away_over_1.5,month_Sep,374,0.5987,,0.5882,0.5669
F5_TeamTotals/away_over_2.0,conf_Q2,486,0.5167,0.2235,0.3374,0.3275
F5_TeamTotals/away_over_2.0,conf_Q5_high,486,0.5397,0.2586,0.4362,0.5471
F5_TeamTotals/away_over_2.0,conf_Q3,486,0.5183,0.2449,0.4218,0.3872
F5_TeamTotals/away_over_2.0,conf_Q1_low,486,0.4526,0.2236,0.3086,0.2402
F5_TeamTotals/away_over_2.0,conf_Q4,486,0.5172,0.2418,0.3992,0.4463
F5_TeamTotals/away_over_2.0,month_Mar,62,0.5294,,0.2742,0.3643
F5_TeamTotals/away_over_2.0,month_Apr,395,0.5457,,0.3316,0.388
F5_TeamTotals/away_over_2.0,month_May,410,0.5779,,0.3561,0.3959
F5_TeamTotals/away_over_2.0,month_Jun,396,0.5605,,0.4167,0.3848
F5_TeamTotals/away_over_2.0,month_Jul,371,0.5277,,0.3666,0.386
F5_TeamTotals/away_over_2.0,month_Aug,422,0.5544,,0.4123,0.4001
F5_TeamTotals/away_over_2.0,month_Sep,374,0.5717,,0.4171,0.3859
NRFI/nrfi,conf_Q1_low,486,0.4887,0.2617,0.4733,0.3683
NRFI/nrfi,conf_Q4,486,0.4723,0.2599,0.4691,0.5681
NRFI/nrfi,conf_Q2,486,0.4944,0.2532,0.5144,0.4609
NRFI/nrfi,conf_Q3,486,0.4917,0.2503,0.5123,0.5162
NRFI/nrfi,conf_Q5_high,486,0.5592,0.2641,0.5206,0.6525
NRFI/nrfi,month_Mar,62,0.4681,,0.5968,0.5156
NRFI/nrfi,month_Apr,395,0.5178,,0.481,0.5026
NRFI/nrfi,month_May,410,0.4906,,0.5195,0.5044
NRFI/nrfi,month_Jun,396,0.5132,,0.5227,0.5217
NRFI/nrfi,month_Jul,371,0.4797,,0.5202,0.5143
NRFI/nrfi,month_Aug,422,0.5129,,0.4834,0.5165
NRFI/nrfi,month_Sep,374,0.5351,,0.4439,0.5199
