market,threshold,model,train_years,test_year,n_train,n_test,base_rate,auc,brier,brier_naive,brier_improvement,logloss,logloss_naive,cal_slope,cal_intercept,is_monotonic
F5_Totals,over_3.5,LogReg,2022,2023,2430,2430,0.635,0.5125,0.258241,0.231781,-0.02646,0.7203,0.6563,0.0268,0.5462,False
F5_Totals,over_3.5,LightGBM,2022,2023,2430,2430,0.635,0.51,0.249378,0.231781,-0.017598,0.6978,0.6563,0.0592,0.523,True
F5_Totals,over_3.5,LogReg,2022-2023,2024,4860,2430,0.6181,0.5207,0.244728,0.236051,-0.008677,0.687,0.665,0.0903,0.4382,False
F5_Totals,over_3.5,LightGBM,2022-2023,2024,4860,2430,0.6181,0.5227,0.243626,0.236051,-0.007576,0.6828,0.665,0.1612,0.3943,False
F5_Totals,over_3.5,LogReg,2022-2023-2024,2025,7290,2430,0.6255,0.5423,0.236138,0.234246,-0.001892,0.6657,0.6613,0.3758,0.3376,True
F5_Totals,over_3.5,LightGBM,2022-2023-2024,2025,7290,2430,0.6255,0.5215,0.240094,0.234246,-0.005848,0.6742,0.6613,0.1897,0.4176,True
F5_Totals,over_4.0,LogReg,2022,2023,2430,2430,0.5325,0.5092,0.280453,0.248943,-0.03151,0.7737,0.691,0.024,0.1378,False
F5_Totals,over_4.0,LightGBM,2022,2023,2430,2430,0.5325,0.5014,0.276364,0.248943,-0.027421,0.7536,0.691,0.0078,0.132,True
F5_Totals,over_4.0,LogReg,2022-2023,2024,4860,2430,0.4947,0.5288,0.259632,0.249971,-0.00966,0.7163,0.6931,0.1589,-0.0392,False
F5_Totals,over_4.0,LightGBM,2022-2023,2024,4860,2430,0.4947,0.5299,0.256839,0.249971,-0.006868,0.7081,0.6931,0.2429,-0.035,True
F5_Totals,over_4.0,LogReg,2022-2023-2024,2025,7290,2430,0.4959,0.5503,0.250358,0.249983,-0.000375,0.6944,0.6931,0.4621,-0.003,True
F5_Totals,over_4.0,LightGBM,2022-2023-2024,2025,7290,2430,0.4959,0.5451,0.251611,0.249983,-0.001628,0.6969,0.6931,0.406,-0.0051,False
F5_Totals,over_4.5,LogReg,2022,2023,2430,2430,0.5325,0.5092,0.280453,0.248943,-0.03151,0.7737,0.691,0.024,0.1378,False
F5_Totals,over_4.5,LightGBM,2022,2023,2430,2430,0.5325,0.5014,0.276364,0.248943,-0.027421,0.7536,0.691,0.0078,0.132,True
F5_Totals,over_4.5,LogReg,2022-2023,2024,4860,2430,0.4947,0.5288,0.259632,0.249971,-0.00966,0.7163,0.6931,0.1589,-0.0392,False
F5_Totals,over_4.5,LightGBM,2022-2023,2024,4860,2430,0.4947,0.5299,0.256839,0.249971,-0.006868,0.7081,0.6931,0.2429,-0.035,True
F5_Totals,over_4.5,LogReg,2022-2023-2024,2025,7290,2430,0.4959,0.5503,0.250358,0.249983,-0.000375,0.6944,0.6931,0.4621,-0.003,True
F5_Totals,over_4.5,LightGBM,2022-2023-2024,2025,7290,2430,0.4959,0.5451,0.251611,0.249983,-0.001628,0.6969,0.6931,0.406,-0.0051,False
F5_Totals,over_5.0,LogReg,2022,2023,2430,2430,0.4148,0.4895,0.272341,0.242743,-0.029598,0.766,0.6786,-0.065,-0.3905,False
F5_Totals,over_5.0,LightGBM,2022,2023,2430,2430,0.4148,0.5043,0.266538,0.242743,-0.023795,0.7432,0.6786,0.0182,-0.33,True
F5_Totals,over_5.0,LogReg,2022-2023,2024,4860,2430,0.3774,0.5261,0.245389,0.234961,-0.010428,0.6883,0.6628,0.1188,-0.4591,False
F5_Totals,over_5.0,LightGBM,2022-2023,2024,4860,2430,0.3774,0.5465,0.239398,0.234961,-0.004437,0.6728,0.6628,0.3231,-0.3522,True
F5_Totals,over_5.0,LogReg,2022-2023-2024,2025,7290,2430,0.3798,0.5685,0.233772,0.23556,0.001788,0.6605,0.664,0.5899,-0.1871,False
F5_Totals,over_5.0,LightGBM,2022-2023-2024,2025,7290,2430,0.3798,0.5538,0.236938,0.23556,-0.001377,0.6681,0.664,0.4102,-0.2643,True
F5_Totals,over_5.5,LogReg,2022,2023,2430,2430,0.4148,0.4895,0.272341,0.242743,-0.029598,0.766,0.6786,-0.065,-0.3905,False
F5_Totals,over_5.5,LightGBM,2022,2023,2430,2430,0.4148,0.5043,0.266538,0.242743,-0.023795,0.7432,0.6786,0.0182,-0.33,True
F5_Totals,over_5.5,LogReg,2022-2023,2024,4860,2430,0.3774,0.5261,0.245389,0.234961,-0.010428,0.6883,0.6628,0.1188,-0.4591,False
F5_Totals,over_5.5,LightGBM,2022-2023,2024,4860,2430,0.3774,0.5465,0.239398,0.234961,-0.004437,0.6728,0.6628,0.3231,-0.3522,True
F5_Totals,over_5.5,LogReg,2022-2023-2024,2025,7290,2430,0.3798,0.5685,0.233772,0.23556,0.001788,0.6605,0.664,0.5899,-0.1871,False
F5_Totals,over_5.5,LightGBM,2022-2023-2024,2025,7290,2430,0.3798,0.5538,0.236938,0.23556,-0.001377,0.6681,0.664,0.4102,-0.2643,True
F5_TeamTotals_home,over_1.5,LogReg,2022,2023,2430,2430,0.6078,0.518,0.262599,0.238375,-0.024224,0.7324,0.6697,0.0603,0.4227,True
F5_TeamTotals_home,over_1.5,LightGBM,2022,2023,2430,2430,0.6078,0.5153,0.255986,0.238375,-0.017611,0.7099,0.6697,0.1007,0.3991,True
F5_TeamTotals_home,over_1.5,LogReg,2022-2023,2024,4860,2430,0.5918,0.5415,0.24733,0.241578,-0.005752,0.6922,0.6762,0.2759,0.219,True
F5_TeamTotals_home,over_1.5,LightGBM,2022-2023,2024,4860,2430,0.5918,0.5404,0.247983,0.241578,-0.006404,0.692,0.6762,0.2642,0.2455,True
F5_TeamTotals_home,over_1.5,LogReg,2022-2023-2024,2025,7290,2430,0.6029,0.5395,0.243239,0.239416,-0.003823,0.6815,0.6718,0.2906,0.2756,True
F5_TeamTotals_home,over_1.5,LightGBM,2022-2023-2024,2025,7290,2430,0.6029,0.5279,0.2449,0.239416,-0.005485,0.6845,0.6718,0.2384,0.3103,True
F5_TeamTotals_home,over_2.0,LogReg,2022,2023,2430,2430,0.4506,0.5249,0.272651,0.247561,-0.025089,0.7563,0.6883,0.1124,-0.1274,True
F5_TeamTotals_home,over_2.0,LightGBM,2022,2023,2430,2430,0.4506,0.5244,0.265435,0.247561,-0.017873,0.7333,0.6883,0.1393,-0.1315,True
F5_TeamTotals_home,over_2.0,LogReg,2022-2023,2024,4860,2430,0.416,0.5486,0.248901,0.242952,-0.005949,0.697,0.679,0.2404,-0.281,True
F5_TeamTotals_home,over_2.0,LightGBM,2022-2023,2024,4860,2430,0.416,0.5463,0.249321,0.242952,-0.006369,0.6944,0.679,0.271,-0.262,False
F5_TeamTotals_home,over_2.0,LogReg,2022-2023-2024,2025,7290,2430,0.4313,0.5372,0.249475,0.245277,-0.004198,0.6942,0.6837,0.2725,-0.195,True
F5_TeamTotals_home,over_2.0,LightGBM,2022-2023-2024,2025,7290,2430,0.4313,0.5355,0.250358,0.245277,-0.005081,0.6949,0.6837,0.28,-0.1837,True
F5_TeamTotals_home,over_2.5,LogReg,2022,2023,2430,2430,0.4506,0.5249,0.272651,0.247561,-0.025089,0.7563,0.6883,0.1124,-0.1274,True
F5_TeamTotals_home,over_2.5,LightGBM,2022,2023,2430,2430,0.4506,0.5244,0.265435,0.247561,-0.017873,0.7333,0.6883,0.1393,-0.1315,True
F5_TeamTotals_home,over_2.5,LogReg,2022-2023,2024,4860,2430,0.416,0.5486,0.248901,0.242952,-0.005949,0.697,0.679,0.2404,-0.281,True
F5_TeamTotals_home,over_2.5,LightGBM,2022-2023,2024,4860,2430,0.416,0.5463,0.249321,0.242952,-0.006369,0.6944,0.679,0.271,-0.262,False
F5_TeamTotals_home,over_2.5,LogReg,2022-2023-2024,2025,7290,2430,0.4313,0.5372,0.249475,0.245277,-0.004198,0.6942,0.6837,0.2725,-0.195,True
F5_TeamTotals_home,over_2.5,LightGBM,2022-2023-2024,2025,7290,2430,0.4313,0.5355,0.250358,0.245277,-0.005081,0.6949,0.6837,0.28,-0.1837,True
F5_TeamTotals_home,over_3.0,LogReg,2022,2023,2430,2430,0.3078,0.5171,0.23169,0.213066,-0.018624,0.6833,0.6173,0.0643,-0.7326,False
F5_TeamTotals_home,over_3.0,LightGBM,2022,2023,2430,2430,0.3078,0.5179,0.229527,0.213066,-0.016461,0.6749,0.6173,0.0928,-0.6916,True
F5_TeamTotals_home,over_3.0,LogReg,2022-2023,2024,4860,2430,0.2901,0.5553,0.210999,0.205952,-0.005047,0.6207,0.6023,0.24,-0.6876,True
F5_TeamTotals_home,over_3.0,LightGBM,2022-2023,2024,4860,2430,0.2901,0.5563,0.208167,0.205952,-0.002215,0.6098,0.6023,0.3744,-0.521,True
F5_TeamTotals_home,over_3.0,LogReg,2022-2023-2024,2025,7290,2430,0.3037,0.5547,0.212939,0.211468,-0.001471,0.6184,0.614,0.4095,-0.4563,True
F5_TeamTotals_home,over_3.0,LightGBM,2022-2023-2024,2025,7290,2430,0.3037,0.5281,0.216054,0.211468,-0.004586,0.6266,0.614,0.2543,-0.58,True
F5_TeamTotals_away,over_1.5,LogReg,2022,2023,2430,2430,0.5823,0.5105,0.285161,0.243226,-0.041935,0.7888,0.6795,0.0317,0.3341,False
F5_TeamTotals_away,over_1.5,LightGBM,2022,2023,2430,2430,0.5823,0.539,0.264359,0.243226,-0.021133,0.7289,0.6795,0.1809,0.314,True
F5_TeamTotals_away,over_1.5,LogReg,2022-2023,2024,4860,2430,0.565,0.5439,0.251002,0.245772,-0.00523,0.6981,0.6847,0.2691,0.2,False
F5_TeamTotals_away,over_1.5,LightGBM,2022-2023,2024,4860,2430,0.565,0.5367,0.253607,0.245772,-0.007834,0.7025,0.6847,0.2503,0.1866,True
F5_TeamTotals_away,over_1.5,LogReg,2022-2023-2024,2025,7290,2430,0.5523,0.5628,0.246964,0.247269,0.000305,0.6884,0.6877,0.4891,0.0706,True
F5_TeamTotals_away,over_1.5,LightGBM,2022-2023-2024,2025,7290,2430,0.5523,0.5503,0.249726,0.247269,-0.002457,0.6938,0.6877,0.3953,0.0908,True
F5_TeamTotals_away,over_2.0,LogReg,2022,2023,2430,2430,0.4152,0.5337,0.264135,0.242813,-0.021322,0.7427,0.6787,0.1513,-0.2362,False
F5_TeamTotals_away,over_2.0,LightGBM,2022,2023,2430,2430,0.4152,0.5304,0.264096,0.242813,-0.021283,0.7374,0.6787,0.1388,-0.2415,True
F5_TeamTotals_away,over_2.0,LogReg,2022-2023,2024,4860,2430,0.3864,0.5295,0.247285,0.2371,-0.010185,0.6908,0.6671,0.1834,-0.3836,True
F5_TeamTotals_away,over_2.0,LightGBM,2022-2023,2024,4860,2430,0.3864,0.5314,0.24713,0.2371,-0.01003,0.6903,0.6671,0.1886,-0.3832,True
F5_TeamTotals_away,over_2.0,LogReg,2022-2023-2024,2025,7290,2430,0.3807,0.5606,0.235955,0.235758,-0.000197,0.6654,0.6644,0.4759,-0.2656,True
F5_TeamTotals_away,over_2.0,LightGBM,2022-2023-2024,2025,7290,2430,0.3807,0.549,0.23937,0.235758,-0.003612,0.673,0.6644,0.3355,-0.3322,False
F5_TeamTotals_away,over_2.5,LogReg,2022,2023,2430,2430,0.4152,0.5337,0.264135,0.242813,-0.021322,0.7427,0.6787,0.1513,-0.2362,False
F5_TeamTotals_away,over_2.5,LightGBM,2022,2023,2430,2430,0.4152,0.5304,0.264096,0.242813,-0.021283,0.7374,0.6787,0.1388,-0.2415,True
F5_TeamTotals_away,over_2.5,LogReg,2022-2023,2024,4860,2430,0.3864,0.5295,0.247285,0.2371,-0.010185,0.6908,0.6671,0.1834,-0.3836,True
F5_TeamTotals_away,over_2.5,LightGBM,2022-2023,2024,4860,2430,0.3864,0.5314,0.24713,0.2371,-0.01003,0.6903,0.6671,0.1886,-0.3832,True
F5_TeamTotals_away,over_2.5,LogReg,2022-2023-2024,2025,7290,2430,0.3807,0.5606,0.235955,0.235758,-0.000197,0.6654,0.6644,0.4759,-0.2656,True
F5_TeamTotals_away,over_2.5,LightGBM,2022-2023-2024,2025,7290,2430,0.3807,0.549,0.23937,0.235758,-0.003612,0.673,0.6644,0.3355,-0.3322,False
F5_TeamTotals_away,over_3.0,LogReg,2022,2023,2430,2430,0.2852,0.5394,0.218773,0.203855,-0.014918,0.6599,0.5978,0.1692,-0.6828,True
F5_TeamTotals_away,over_3.0,LightGBM,2022,2023,2430,2430,0.2852,0.5493,0.218943,0.203855,-0.015089,0.657,0.5978,0.2152,-0.5789,True
F5_TeamTotals_away,over_3.0,LogReg,2022-2023,2024,4860,2430,0.2543,0.541,0.198499,0.189642,-0.008857,0.5903,0.567,0.2101,-0.8517,True
F5_TeamTotals_away,over_3.0,LightGBM,2022-2023,2024,4860,2430,0.2543,0.5429,0.195547,0.189642,-0.005905,0.5835,0.567,0.243,-0.7984,True
F5_TeamTotals_away,over_3.0,LogReg,2022-2023-2024,2025,7290,2430,0.2568,0.5573,0.192701,0.190849,-0.001852,0.5759,0.5697,0.3705,-0.637,True
F5_TeamTotals_away,over_3.0,LightGBM,2022-2023-2024,2025,7290,2430,0.2568,0.5568,0.192806,0.190849,-0.001958,0.5747,0.5697,0.3962,-0.601,False
NRFI,nrfi,LogReg,2022,2023,2430,2430,0.4979,0.5122,0.269522,0.249996,-0.019526,0.7396,0.6931,0.068,-0.0217,False
NRFI,nrfi,LightGBM,2022,2023,2430,2430,0.4979,0.5105,0.270227,0.249996,-0.020232,0.7405,0.6931,0.0439,-0.013,False
NRFI,nrfi,LogReg,2022-2023,2024,4860,2427,0.5328,0.5082,0.260969,0.248927,-0.012042,0.7167,0.691,0.063,0.1352,True
NRFI,nrfi,LightGBM,2022-2023,2024,4860,2427,0.5328,0.5057,0.262777,0.248927,-0.01385,0.7211,0.691,0.0312,0.1321,True
NRFI,nrfi,LogReg,2022-2023-2024,2025,7287,2430,0.4979,0.5212,0.253852,0.249996,-0.003856,0.7012,0.6931,0.2607,-0.0314,True
NRFI,nrfi,LightGBM,2022-2023-2024,2025,7287,2430,0.4979,0.5218,0.255654,0.249996,-0.005658,0.7051,0.6931,0.2259,-0.0232,True
YRFI,yrfi,LogReg,2022,2023,2430,2430,0.5021,0.5121,0.269518,0.249996,-0.019522,0.7395,0.6931,0.0678,0.0216,False
YRFI,yrfi,LightGBM,2022,2023,2430,2430,0.5021,0.5105,0.270227,0.249996,-0.020232,0.7405,0.6931,0.0439,0.013,False
YRFI,yrfi,LogReg,2022-2023,2024,4860,2427,0.4672,0.5082,0.260915,0.248927,-0.011988,0.7166,0.691,0.0637,-0.1352,True
YRFI,yrfi,LightGBM,2022-2023,2024,4860,2427,0.4672,0.5057,0.262777,0.248927,-0.01385,0.7211,0.691,0.0312,-0.1321,True
YRFI,yrfi,LogReg,2022-2023-2024,2025,7287,2430,0.5021,0.521,0.253898,0.249996,-0.003902,0.7013,0.6931,0.2577,0.0311,True
YRFI,yrfi,LightGBM,2022-2023-2024,2025,7287,2430,0.5021,0.5218,0.255654,0.249996,-0.005658,0.7051,0.6931,0.2259,0.0232,True
