market,target,model,train_years,test_year,n_train,n_test,naive_mae,model_mae,mae_improvement_pct,rmse,r2,monthly_mae,max_monthly_mae,min_monthly_mae,monthly_stable
F5_Totals,y_f5_total,Ridge,2022,2023,2430,2430,2.7449,2.8853,-5.11,3.7996,-0.1747,"{""3"": 3.3617, ""4"": 2.928, ""5"": 3.0341, ""6"": 2.858, ""7"": 2.7424, ""8"": 2.7387, ""9"": 2.9808, ""10"": 2.8203}",3.3617,2.7387,True
F5_Totals,y_f5_total,LightGBM,2022,2023,2430,2430,2.7449,2.8234,-2.86,3.6301,-0.0722,"{""3"": 3.9174, ""4"": 2.8139, ""5"": 2.9587, ""6"": 2.8219, ""7"": 2.7124, ""8"": 2.7621, ""9"": 2.8034, ""10"": 3.1138}",3.9174,2.7124,True
F5_Totals,y_f5_total,Ridge,2022-2023,2024,4860,2430,2.5557,2.6381,-3.22,3.315,-0.055,"{""3"": 2.6896, ""4"": 2.5969, ""5"": 2.6254, ""6"": 2.7073, ""7"": 2.612, ""8"": 2.5344, ""9"": 2.7417}",2.7417,2.5344,True
F5_Totals,y_f5_total,LightGBM,2022-2023,2024,4860,2430,2.5557,2.6144,-2.3,3.2785,-0.0319,"{""3"": 2.6444, ""4"": 2.493, ""5"": 2.5895, ""6"": 2.6923, ""7"": 2.6081, ""8"": 2.5283, ""9"": 2.7688}",2.7688,2.493,True
F5_Totals,y_f5_total,Ridge,2022-2023-2024,2025,7290,2430,2.6082,2.6014,0.26,3.3056,0.0121,"{""3"": 2.5391, ""4"": 2.5319, ""5"": 2.6275, ""6"": 2.6558, ""7"": 2.5303, ""8"": 2.7111, ""9"": 2.5459}",2.7111,2.5303,True
F5_Totals,y_f5_total,LightGBM,2022-2023-2024,2025,7290,2430,2.6082,2.6374,-1.12,3.3497,-0.0145,"{""3"": 2.6202, ""4"": 2.6033, ""5"": 2.6473, ""6"": 2.6942, ""7"": 2.5651, ""8"": 2.7199, ""9"": 2.5837}",2.7199,2.5651,True
F5_TeamTotals_home,y_home_f5,Ridge,2022,2023,2430,2430,1.9225,1.9823,-3.11,2.5926,-0.1089,"{""3"": 1.9624, ""4"": 1.9943, ""5"": 1.9879, ""6"": 1.9992, ""7"": 1.9376, ""8"": 1.8817, ""9"": 2.099, ""10"": 1.8463}",2.099,1.8463,True
F5_TeamTotals_home,y_home_f5,LightGBM,2022,2023,2430,2430,1.9225,1.9492,-1.39,2.5255,-0.0523,"{""3"": 1.9886, ""4"": 2.0023, ""5"": 1.9694, ""6"": 1.9089, ""7"": 1.9135, ""8"": 1.896, ""9"": 1.9967, ""10"": 1.9929}",2.0023,1.896,True
F5_TeamTotals_home,y_home_f5,Ridge,2022-2023,2024,4860,2430,1.9106,1.9405,-1.56,2.4355,-0.04,"{""3"": 1.9145, ""4"": 1.9342, ""5"": 1.9852, ""6"": 1.9128, ""7"": 2.0191, ""8"": 1.9003, ""9"": 1.8997}",2.0191,1.8997,True
F5_TeamTotals_home,y_home_f5,LightGBM,2022-2023,2024,4860,2430,1.9106,1.9235,-0.68,2.4225,-0.0289,"{""3"": 2.169, ""4"": 1.8877, ""5"": 1.956, ""6"": 1.9251, ""7"": 1.991, ""8"": 1.8576, ""9"": 1.895}",2.169,1.8576,True
F5_TeamTotals_home,y_home_f5,Ridge,2022-2023-2024,2025,7290,2430,1.8769,1.8763,0.03,2.3832,-0.0049,"{""3"": 1.8805, ""4"": 1.8405, ""5"": 1.7864, ""6"": 1.9048, ""7"": 1.8679, ""8"": 1.9708, ""9"": 1.8834}",1.9708,1.7864,True
F5_TeamTotals_home,y_home_f5,LightGBM,2022-2023-2024,2025,7290,2430,1.8769,1.8812,-0.23,2.4029,-0.0216,"{""3"": 1.858, ""4"": 1.8919, ""5"": 1.776, ""6"": 1.9441, ""7"": 1.8631, ""8"": 1.9518, ""9"": 1.861}",1.9518,1.776,True
F5_TeamTotals_away,y_away_f5,Ridge,2022,2023,2430,2430,1.8666,1.9574,-4.87,2.6025,-0.1541,"{""3"": 2.2601, ""4"": 1.9734, ""5"": 1.983, ""6"": 1.9586, ""7"": 1.9045, ""8"": 1.9149, ""9"": 1.9848, ""10"": 2.1511}",2.2601,1.9045,True
F5_TeamTotals_away,y_away_f5,LightGBM,2022,2023,2430,2430,1.8666,1.8925,-1.39,2.4907,-0.057,"{""3"": 2.2243, ""4"": 1.9259, ""5"": 1.9241, ""6"": 1.9695, ""7"": 1.816, ""8"": 1.8229, ""9"": 1.8537, ""10"": 2.4707}",2.4707,1.816,True
F5_TeamTotals_away,y_away_f5,Ridge,2022-2023,2024,4860,2430,1.7866,1.8099,-1.31,2.301,-0.0321,"{""3"": 1.7757, ""4"": 1.8259, ""5"": 1.7719, ""6"": 1.9328, ""7"": 1.7188, ""8"": 1.8056, ""9"": 1.7986}",1.9328,1.7188,True
F5_TeamTotals_away,y_away_f5,LightGBM,2022-2023,2024,4860,2430,1.7866,1.8166,-1.68,2.2997,-0.031,"{""3"": 1.6718, ""4"": 1.842, ""5"": 1.7619, ""6"": 1.961, ""7"": 1.7459, ""8"": 1.7952, ""9"": 1.8055}",1.961,1.6718,True
F5_TeamTotals_away,y_away_f5,Ridge,2022-2023-2024,2025,7290,2430,1.8446,1.8097,1.89,2.3298,0.0112,"{""3"": 1.4065, ""4"": 1.7674, ""5"": 1.8691, ""6"": 1.8174, ""7"": 1.7412, ""8"": 1.9383, ""9"": 1.771}",1.9383,1.4065,True
F5_TeamTotals_away,y_away_f5,LightGBM,2022-2023-2024,2025,7290,2430,1.8446,1.8264,0.99,2.3416,0.0011,"{""3"": 1.5678, ""4"": 1.8473, ""5"": 1.8563, ""6"": 1.8213, ""7"": 1.7565, ""8"": 1.9263, ""9"": 1.7767}",1.9263,1.5678,True
