market,threshold,model,train_years,test_year,n_train,n_test,base_rate,auc,brier_model,brier_naive,brier_improvement,logloss_model,logloss_naive,logloss_improvement,cal_slope,cal_intercept,ece,is_monotonic,p_model_min,p_model_max,p_model_mean,p_model_std
F5_Totals,over_3.5,LogReg,2022,2023,2430,2430,0.635,0.5125,0.258241,0.231781,-0.02646,0.7203,0.6563,-0.064,0.0268,0.5462,0.1217,False,0.063045,1.0,0.56241,0.154729
F5_Totals,over_3.5,LightGBM,2022,2023,2430,2430,0.635,0.51,0.249378,0.231781,-0.017598,0.6978,0.6563,-0.0416,0.0592,0.523,0.1092,True,0.188673,0.946922,0.616228,0.140749
F5_Totals,over_3.5,LogReg,2022-2023,2024,4860,2430,0.6181,0.5207,0.244728,0.236051,-0.008677,0.687,0.665,-0.022,0.0903,0.4382,0.0767,False,0.031147,0.995771,0.612745,0.107968
F5_Totals,over_3.5,LightGBM,2022-2023,2024,4860,2430,0.6181,0.5227,0.243626,0.236051,-0.007576,0.6828,0.665,-0.0178,0.1612,0.3943,0.0714,False,0.249431,0.950251,0.62673,0.106836
F5_Totals,over_3.5,LogReg,2022-2023-2024,2025,7290,2430,0.6255,0.5423,0.236138,0.234246,-0.001892,0.6657,0.6613,-0.0044,0.3758,0.3376,0.0469,True,0.079369,0.850791,0.612483,0.088364
F5_Totals,over_3.5,LightGBM,2022-2023-2024,2025,7290,2430,0.6255,0.5215,0.240094,0.234246,-0.005848,0.6742,0.6613,-0.0129,0.1897,0.4176,0.0668,True,0.142003,0.87858,0.619628,0.096738
F5_Totals,over_4.0,LogReg,2022,2023,2430,2430,0.5325,0.5092,0.280453,0.248943,-0.03151,0.7737,0.691,-0.0826,0.024,0.1378,0.1467,False,9e-05,1.0,0.429531,0.155419
F5_Totals,over_4.0,LightGBM,2022,2023,2430,2430,0.5325,0.5014,0.276364,0.248943,-0.027421,0.7536,0.691,-0.0626,0.0078,0.132,0.1362,True,0.078009,0.883322,0.449687,0.144137
F5_Totals,over_4.0,LogReg,2022-2023,2024,4860,2430,0.4947,0.5288,0.259632,0.249971,-0.00966,0.7163,0.6931,-0.0232,0.1589,-0.0392,0.0826,False,0.009332,0.925955,0.526367,0.118572
F5_Totals,over_4.0,LightGBM,2022-2023,2024,4860,2430,0.4947,0.5299,0.256839,0.249971,-0.006868,0.7081,0.6931,-0.0151,0.2429,-0.035,0.0747,True,0.162309,0.889126,0.513042,0.114599
F5_Totals,over_4.0,LogReg,2022-2023-2024,2025,7290,2430,0.4959,0.5503,0.250358,0.249983,-0.000375,0.6944,0.6931,-0.0013,0.4621,-0.003,0.0542,True,0.062857,0.775525,0.493062,0.095788
F5_Totals,over_4.0,LightGBM,2022-2023-2024,2025,7290,2430,0.4959,0.5451,0.251611,0.249983,-0.001628,0.6969,0.6931,-0.0038,0.406,-0.0051,0.0524,False,0.093938,0.811895,0.493261,0.100147
F5_Totals,over_4.5,LogReg,2022,2023,2430,2430,0.5325,0.5092,0.280453,0.248943,-0.03151,0.7737,0.691,-0.0826,0.024,0.1378,0.1467,False,9e-05,1.0,0.429531,0.155419
F5_Totals,over_4.5,LightGBM,2022,2023,2430,2430,0.5325,0.5014,0.276364,0.248943,-0.027421,0.7536,0.691,-0.0626,0.0078,0.132,0.1362,True,0.078009,0.883322,0.449687,0.144137
F5_Totals,over_4.5,LogReg,2022-2023,2024,4860,2430,0.4947,0.5288,0.259632,0.249971,-0.00966,0.7163,0.6931,-0.0232,0.1589,-0.0392,0.0826,False,0.009332,0.925955,0.526367,0.118572
F5_Totals,over_4.5,LightGBM,2022-2023,2024,4860,2430,0.4947,0.5299,0.256839,0.249971,-0.006868,0.7081,0.6931,-0.0151,0.2429,-0.035,0.0747,True,0.162309,0.889126,0.513042,0.114599
F5_Totals,over_4.5,LogReg,2022-2023-2024,2025,7290,2430,0.4959,0.5503,0.250358,0.249983,-0.000375,0.6944,0.6931,-0.0013,0.4621,-0.003,0.0542,True,0.062857,0.775525,0.493062,0.095788
F5_Totals,over_4.5,LightGBM,2022-2023-2024,2025,7290,2430,0.4959,0.5451,0.251611,0.249983,-0.001628,0.6969,0.6931,-0.0038,0.406,-0.0051,0.0524,False,0.093938,0.811895,0.493261,0.100147
F5_Totals,over_5.0,LogReg,2022,2023,2430,2430,0.4148,0.4895,0.272341,0.242743,-0.029598,0.766,0.6786,-0.0874,-0.065,-0.3905,0.1451,False,4.7e-05,1.0,0.345398,0.149235
F5_Totals,over_5.0,LightGBM,2022,2023,2430,2430,0.4148,0.5043,0.266538,0.242743,-0.023795,0.7432,0.6786,-0.0646,0.0182,-0.33,0.1265,True,0.028598,0.847951,0.330037,0.133018
