"Player","Prop Type","Bet Side","Vegas Line","Prediction","Edge %","Confidence %","Odds","Book","Model"
"Jordan Clarkson","points","OVER",15.5,"0.6262422717924367","30.366162663114643",63,210,"Bovada","points_lightgbm"
"Ben Sheppard","points","OVER",8.5,"0.6204617691104402","29.788112394914982",62,210,"Bovada","points_lightgbm"
"LaMelo Ball","points","OVER",22.5,"0.640140707383303","29.53131211764064",64,190,"Bovada","points_lightgbm"
"Brandon Miller","points","UNDER",14.5,"0.6275670345628418","28.273944835594524",63,190,"Bovada","points_lightgbm"
"T.J. McConnell","points","OVER",12.5,"0.6051251657623364","27.725631330332007",61,205,"Bovada","points_lightgbm"
"Luke Kornet","points","OVER",12.5,"0.6038941276493516","27.602527519033522",60,205,"Bovada","points_lightgbm"
"Jamal Shead","points","OVER",9.5,"0.6086277110253192","27.52943776919859",61,200,"Bovada","points_lightgbm"
"Will Richard","rebounds","OVER",3.5,"0.6066393536250964","27.330602029176305",61,200,"Bovada","rebounds_lightgbm"
"Jakob Poeltl","points","OVER",15.5,"0.6105253137400383","26.56977275331417",61,190,"Bovada","points_lightgbm"
"Kon Knueppel","points","UNDER",14.5,"0.6201093526059486","25.647298896958493",62,175,"Bovada","points_lightgbm"
"Jarace Walker","points","OVER",11.5,"0.6006004854403861","24.972329245793002",60,185,"Bovada","points_lightgbm"
"Jordan Clarkson","points","OVER",14.5,"0.6262422717924367","24.8883781226399",63,165,"Bovada","points_lightgbm"
"LaMelo Ball","points","OVER",21.5,"0.640140707383303","24.798384463820494",64,155,"Bovada","points_lightgbm"
"Jock Landale","points","OVER",11.5,"0.6131107645225233","23.575227395648557",61,165,"Bovada","points_lightgbm"
"Andrew Wiggins","points","UNDER",10.5,"0.605520458116715","23.51500877463446",61,170,"Bovada","points_lightgbm"
"Brandon Miller","points","UNDER",15.5,"0.6275670345628418","22.75670345628418",63,150,"Bovada","points_lightgbm"
"Ben Sheppard","points","OVER",7.5,"0.6204617691104402","22.046176911044014",62,150,"Bovada","points_lightgbm"
"Isaiah Jackson","rebounds","OVER",6.5,"0.5597872946321834","21.495970842528678",56,190,"Bovada","rebounds_lightgbm"
"T.J. McConnell","points","OVER",11.5,"0.6051251657623364","21.29683030172384",61,155,"Bovada","points_lightgbm"
"Luke Kornet","points","OVER",11.5,"0.6038941276493516","21.173726490425356",60,155,"Bovada","points_lightgbm"
"Jakob Poeltl","points","OVER",14.5,"0.6105253137400383","21.052531374003824",61,150,"Bovada","points_lightgbm"
"DeMar DeRozan","rebounds","UNDER",2.5,"0.5372093433811486","20.387601004781526",54,200,"Bovada","rebounds_lightgbm"
"Andrew Nembhard","rebounds","UNDER",1.5,"0.5733796150347615","20.30092446643912",57,170,"Bovada","rebounds_lightgbm"
"Jamal Shead","points","OVER",8.5,"0.6086277110253192","20.046444571919675",61,145,"Bovada","points_lightgbm"
"Josh Okogie","rebounds","OVER",4.5,"0.6242994227586111","19.694899540818373",62,134,"FanDuel","rebounds_lightgbm"
"LaMelo Ball","points","OVER",20.5,"0.640140707383303","19.569626293885854",64,125,"Bovada","points_lightgbm"
"Kon Knueppel","points","UNDER",15.5,"0.6201093526059486","19.457743771233154",62,135,"Bovada","points_lightgbm"
"Kel'el Ware","rebounds","OVER",12.5,"0.5762136931383653","18.405683039326732",58,155,"Bovada","rebounds_lightgbm"
"Jarace Walker","points","OVER",10.5,"0.6006004854403861","18.393381877371944",60,140,"Bovada","points_lightgbm"
"Jordan Clarkson","points","OVER",13.5,"0.6262422717924367","18.179782734799232",63,125,"Bovada","points_lightgbm"
"Mark Williams","assists","OVER",1.5,"0.5548747448540093","17.75162542879716",55,165,"BetMGM","assists_logistic_pra"
"Chet Holmgren","rebounds","OVER",8.5,"0.5256843753885287","17.480718240607263",53,185,"Bovada","rebounds_lightgbm"
"Ja'Kobe Walter","rebounds","UNDER",2.5,"0.6186448437075438","17.42003992630994",62,125,"BetMGM","rebounds_lightgbm"
"Brandon Miller","points","UNDER",16.5,"0.6275670345628418","17.302158001738725",63,120,"Bovada","points_lightgbm"
"Andrew Wiggins","points","UNDER",11.5,"0.605520458116715","17.07378494210628",61,130,"Bovada","points_lightgbm"
"Clint Capela","rebounds","OVER",7.5,"0.5274298870326877","17.028702988983053",53,180,"Bovada","rebounds_lightgbm"
"Miles McBride","points","OVER",12.5,"0.6044929821218662","16.971037342621404",60,130,"Bovada","points_lightgbm"
"Jock Landale","points","OVER",10.5,"0.6131107645225233","16.86663200780789",61,125,"Bovada","points_lightgbm"
"Collin Murray-Boyles","rebounds","OVER",3.5,"0.6013047507737751","15.686030632933068",60,125,"BetMGM","rebounds_lightgbm"
"LaMelo Ball","points","OVER",19.5,"0.640140707383303","15.23358293345225",64,105,"Bovada","points_lightgbm"
"T.J. McConnell","points","OVER",10.5,"0.6051251657623364","15.05797112168819",61,120,"Bovada","points_lightgbm"
"Luke Kornet","points","OVER",10.5,"0.6038941276493516","14.934867310389704",60,120,"Bovada","points_lightgbm"
"Bam Adebayo","assists","OVER",3.5,"0.5650683977942428","14.84017311275761",57,140,"Bovada","assists_logistic_pra"
